datetime,open,high,low,close,volume
1569504600000,2.95,2.98,2.9,2.94,24943
1569505500000,2.93,2.98,2.93,2.94,32442
1569506400000,2.95,2.95,2.91,2.91,4924
1569507300000,2.91,2.94,2.87,2.93,19167
1569508200000,2.92,2.96,2.92,2.95,32310
1569509100000,2.935,3.03,2.93,2.9945,46987
1569510000000,3.0,3.03,2.99,3.015,21230
1569510900000,3.02,3.04,2.99,2.995,51285
1569511800000,2.99,3.0309,2.985,3.025,24150
1569512700000,3.02,3.06,3.02,3.05,76304
1569513600000,3.0599,3.16,3.0599,3.06,155272
1569514500000,3.06,3.085,3.06,3.07,19445
1569515400000,3.07,3.076,3.05,3.05,27363
1569516300000,3.05,3.06,3.05,3.05,9912
1569517200000,3.05,3.06,3.02,3.03,18100
1569518100000,3.02,3.02,3.01,3.012,20621
1569519000000,3.025,3.04,2.98,3.0,36736
1569519900000,2.991,3.0,2.97,2.9859,17393
1569520800000,2.995,2.995,2.975,2.99,6788
1569521700000,2.99,3.0,2.98,2.99,19680
1569522600000,2.98,3.0,2.97,2.98,13603
1569523500000,2.98,2.99,2.98,2.98,935
1569524400000,2.98,3.0,2.97,2.9936,25063
1569525300000,2.995,3.0,2.9837,2.9942,10828
1569526200000,3.0,3.0,2.975,2.98,23262
1569527100000,2.98,2.99,2.97,2.97,45170
1569591000000,2.96,3.05,2.96,3.05,48753
1569591900000,3.04,3.1103,3.04,3.07,33512
1569592800000,3.07,3.08,3.05,3.08,28738
1569593700000,3.0638,3.15,3.0638,3.13,57170
1569594600000,3.14,3.16,3.12,3.1206,43565
1569595500000,3.12,3.16,3.11,3.15,26067
1569596400000,3.16,3.195,3.15,3.19,122208
1569597300000,3.19,3.19,3.17,3.19,98903
1569598200000,3.18,3.22,3.16,3.18,199111
1569599100000,3.18,3.22,3.1701,3.205,66884
1569600000000,3.205,3.205,3.17,3.1999,23161
1569600900000,3.1934,3.1934,3.17,3.18,6839
1569601800000,3.1801,3.2,3.1801,3.2,11363
1569602700000,3.19,3.2,3.16,3.18,50671
1569603600000,3.17,3.18,3.15,3.16,71106
1569604500000,3.17,3.17,3.16,3.165,17488
1569605400000,3.16,3.165,3.11,3.115,51952
1569606300000,3.1199,3.1384,3.11,3.1384,17901
1569607200000,3.135,3.145,3.12,3.14,16318
1569608100000,3.14,3.14,3.1244,3.14,26279
1569609000000,3.14,3.14,3.12,3.12,2544
1569609900000,3.12,3.13,3.11,3.13,10890
1569610800000,3.13,3.14,3.11,3.135,59413
1569611700000,3.13,3.16,3.13,3.16,8320
1569612600000,3.15,3.2096,3.15,3.205,61934
1569613500000,3.2081,3.22,3.19,3.21,151652
1569850200000,3.26,3.26,3.09,3.09,90648
1569851100000,3.1,3.14,3.07,3.13,41678
1569852000000,3.13,3.13,3.08,3.11,40189
1569852900000,3.11,3.1694,3.11,3.13,106154
1569853800000,3.12,3.12,3.1,3.115,1404
1569854700000,3.1196,3.15,3.11,3.13,13434
1569855600000,3.1453,3.1453,3.13,3.13,39800
1569856500000,3.12,3.125,3.11,3.1177,18423
1569857400000,3.115,3.14,3.11,3.135,30352
1569858300000,3.13,3.15,3.11,3.14,24584
1569859200000,3.14,3.17,3.14,3.145,15835
1569860100000,3.145,3.155,3.1411,3.155,2863
1569861000000,3.1536,3.1672,3.153,3.16,6150
1569861900000,3.16,3.16,3.15,3.16,14016
1569862800000,3.17,3.17,3.1306,3.1306,6216
1569863700000,3.13,3.1357,3.12,3.13,13448
1569864600000,3.12,3.1599,3.12,3.15,24649
1569865500000,3.155,3.1956,3.155,3.19,129570
1569866400000,3.18,3.185,3.16,3.175,16187
1569867300000,3.17,3.2,3.165,3.2,35605
1569868200000,3.2,3.21,3.19,3.205,39921
1569869100000,3.2,3.205,3.16,3.17,22326
1569870000000,3.175,3.185,3.15,3.15,44754
1569870900000,3.16,3.21,3.155,3.21,48019
1569871800000,3.205,3.21,3.19,3.19,58629
1569872700000,3.19,3.23,3.185,3.21,124603
1569936600000,3.18,3.2,3.16,3.2,5839
1569937500000,3.2,3.2357,3.18,3.225,59983
1569938400000,3.21,3.25,3.18,3.2,37011
1569939300000,3.1886,3.21,3.18,3.2,2890
1569940200000,3.21,3.25,3.19,3.19,13653
1569941100000,3.19,3.22,3.16,3.18,7473
1569942000000,3.17,3.19,3.17,3.1766,14829
1569942900000,3.17,3.18,3.14,3.155,35882
1569943800000,3.15,3.15,3.13,3.13,3714
1569944700000,3.15,3.15,3.11,3.12,26692
1569945600000,3.12,3.13,3.11,3.13,8780
1569946500000,3.1373,3.15,3.127,3.13,13792
1569947400000,3.13,3.13,3.12,3.12,3039
1569948300000,3.125,3.125,3.11,3.12,2506
1569949200000,3.11,3.11,3.1,3.105,8346
1569950100000,3.1,3.1,3.08,3.085,33194
1569951000000,3.085,3.12,3.085,3.12,47688
1569951900000,3.12,3.12,3.1,3.103,65126
1569952800000,3.11,3.11,3.08,3.1,61367
1569953700000,3.095,3.1,3.085,3.085,48563
1569954600000,3.085,3.135,3.08,3.13,78382
1569955500000,3.13,3.14,3.1,3.11,18028
1569956400000,3.11,3.125,3.11,3.12,15126
1569957300000,3.115,3.12,3.1,3.11,10947
1569958200000,3.11,3.12,3.105,3.115,17250
1569959100000,3.1199,3.14,3.11,3.12,53909
1570023000000,3.08,3.08,3.01,3.03,31333
1570023900000,3.039,3.07,3.039,3.07,5431
1570024800000,3.04,3.15,3.04,3.13,31676
1570025700000,3.14,3.16,3.12,3.13,61854
1570026600000,3.13,3.13,3.1,3.11,25164
1570027500000,3.12,3.12,3.08,3.11,90427
1570028400000,3.09,3.12,3.09,3.12,15420
1570029300000,3.12,3.16,3.12,3.15,18312
1570030200000,3.16,3.175,3.14,3.16,32807
1570031100000,3.17,3.17,3.15,3.16,15441
1570032000000,3.16,3.17,3.15,3.15,3349
1570032900000,3.16,3.1684,3.15,3.15,9241
1570033800000,3.16,3.1601,3.1301,3.1301,18298
1570034700000,3.135,3.1401,3.115,3.13,26975
1570035600000,3.14,3.17,3.14,3.17,29815
1570036500000,3.17,3.2,3.17,3.1999,7603
1570037400000,3.19,3.193,3.17,3.18,24816
1570038300000,3.1701,3.18,3.17,3.18,13412
1570039200000,3.19,3.19,3.185,3.19,7600
1570040100000,3.185,3.195,3.18,3.195,4400
1570041000000,3.19,3.19,3.17,3.17,5422
1570041900000,3.17,3.19,3.16,3.16,16623
1570042800000,3.1566,3.17,3.155,3.16,16602
1570043700000,3.165,3.18,3.14,3.18,19026
1570044600000,3.18,3.19,3.17,3.19,17618
1570045500000,3.19,3.205,3.18,3.18,81879
1570109400000,3.21,3.21,3.13,3.14,9529
1570110300000,3.16,3.16,3.14,3.14,6009
1570111200000,3.12,3.12,3.06,3.1,14400
1570112100000,3.115,3.13,3.1113,3.13,1076
1570113000000,3.13,3.13,3.12,3.12,1224
1570113900000,3.12,3.14,3.09,3.14,19594
1570114800000,3.16,3.16,3.1378,3.1378,3000
1570115700000,3.14,3.14,3.1,3.1,3508
1570116600000,3.1,3.105,3.07,3.08,42988
1570117500000,3.08,3.08,3.075,3.08,11000
1570118400000,3.1,3.1,3.08,3.08,4230
1570119300000,3.0995,3.0995,3.07,3.09,15194
1570120200000,3.09,3.13,3.09,3.11,36551
1570121100000,3.1056,3.12,3.1,3.1,4479
1570122000000,3.105,3.1064,3.1,3.105,1550
1570122900000,3.12,3.125,3.11,3.1101,7097
1570123800000,3.1106,3.12,3.1,3.12,6582
1570124700000,3.11,3.13,3.09,3.095,19674
1570125600000,3.09,3.1,3.08,3.1,11807
1570126500000,3.1,3.15,3.095,3.135,29594
1570127400000,3.135,3.15,3.12,3.125,21791
1570128300000,3.125,3.14,3.125,3.13,3785
1570129200000,3.125,3.125,3.11,3.117,3000
1570130100000,3.115,3.115,3.08,3.09,13824
1570131000000,3.09,3.1,3.09,3.095,12464
1570131900000,3.095,3.1,3.08,3.09,60144
1570195800000,3.06,3.14,3.05,3.0699,45485
1570196700000,3.07,3.12,3.05,3.12,20163
1570197600000,3.11,3.11,3.1,3.11,4670
1570198500000,3.11,3.14,3.105,3.13,10684
1570199400000,3.1201,3.13,3.11,3.13,6575
1570200300000,3.12,3.15,3.11,3.14,20002
1570201200000,3.13,3.16,3.13,3.16,5251
1570202100000,3.16,3.18,3.16,3.18,22250
1570203000000,3.18,3.18,3.16,3.16,41136
1570203900000,3.16,3.18,3.16,3.17,13411
1570204800000,3.18,3.18,3.17,3.18,15691
1570205700000,3.1824,3.1824,3.17,3.18,6250
1570206600000,3.1805,3.1805,3.14,3.14,28788
1570207500000,3.13,3.14,3.13,3.135,3500
1570208400000,3.1315,3.135,3.12,3.135,17630
1570209300000,3.13,3.135,3.11,3.12,24781
1570210200000,3.14,3.18,3.12,3.174,69040
1570211100000,3.17,3.18,3.17,3.18,12389
1570212000000,3.18,3.2,3.18,3.19,29441
1570212900000,3.19,3.2,3.19,3.19,31907
1570213800000,3.19,3.2,3.19,3.2,4969
1570214700000,3.2,3.2,3.19,3.19,48071
1570215600000,3.195,3.2,3.185,3.185,37025
1570216500000,3.185,3.22,3.18,3.205,115640
1570217400000,3.205,3.23,3.2,3.215,101607
1570218300000,3.215,3.25,3.21,3.25,78986
1570455000000,3.21,3.25,3.1777,3.22,28679
1570455900000,3.23,3.325,3.2299,3.32,170116
1570456800000,3.31,3.34,3.3,3.3,147933
1570457700000,3.309,3.32,3.3,3.315,37523
1570458600000,3.31,3.395,3.31,3.3904,124155
1570459500000,3.39,3.45,3.375,3.44,376557
1570460400000,3.44,3.46,3.42,3.44,162051
1570461300000,3.43,3.44,3.43,3.43,91921
1570462200000,3.43,3.47,3.43,3.455,103672
1570463100000,3.45,3.46,3.44,3.445,110627
1570464000000,3.445,3.46,3.42,3.43,185117
1570464900000,3.435,3.4409,3.3662,3.37,87628
1570465800000,3.36,3.36,3.34,3.3427,15684
1570466700000,3.345,3.35,3.34,3.345,19389
1570467600000,3.35,3.36,3.34,3.36,26701
1570468500000,3.36,3.36,3.35,3.351,22471
1570469400000,3.355,3.4,3.355,3.375,25166
1570470300000,3.37,3.37,3.3,3.3,108732
1570471200000,3.3077,3.31,3.27,3.28,23103
1570472100000,3.29,3.3,3.27,3.28,7604
1570473000000,3.28,3.3,3.2542,3.26,17241
1570473900000,3.26,3.31,3.26,3.3,21018
1570474800000,3.3,3.31,3.29,3.3,17130
1570475700000,3.305,3.305,3.26,3.265,17017
1570476600000,3.265,3.27,3.25,3.26,13480
1570477500000,3.26,3.3,3.255,3.28,76993
1570541400000,3.24,3.2726,3.2,3.2726,14470
1570542300000,3.23,3.25,3.2,3.21,27603
1570543200000,3.2373,3.24,3.1849,3.1925,12756
1570544100000,3.2,3.23,3.2,3.2016,7180
1570545000000,3.2,3.2,3.11,3.13,36170
1570545900000,3.135,3.1873,3.11,3.18,43548
1570546800000,3.18,3.19,3.13,3.16,34510
1570547700000,3.165,3.17,3.14,3.15,22146
1570548600000,3.15,3.15,3.14,3.145,5565
1570549500000,3.145,3.16,3.145,3.16,2400
1570550400000,3.155,3.165,3.15,3.16,6047
1570551300000,3.16,3.19,3.16,3.19,25089
1570552200000,3.19,3.19,3.17,3.1799,14506
1570553100000,3.19,3.1987,3.18,3.18,12076
1570554000000,3.189,3.189,3.18,3.18,7287
1570554900000,3.18,3.18,3.17,3.175,7631
1570555800000,3.175,3.18,3.17,3.17,16656
1570556700000,3.175,3.175,3.145,3.15,23826
1570557600000,3.155,3.16,3.15,3.16,6037
1570558500000,3.16,3.1601,3.16,3.16,800
1570559400000,3.16,3.165,3.15,3.15,6317
1570560300000,3.15,3.17,3.15,3.155,12783
1570561200000,3.16,3.16,3.12,3.12,18800
1570562100000,3.125,3.13,3.11,3.12,17210
1570563000000,3.115,3.12,3.09,3.09,29245
1570563900000,3.09,3.0971,3.05,3.05,104073
1570627800000,3.09,3.16,3.07,3.1105,40886
1570628700000,3.11,3.14,3.1,3.1,28300
1570629600000,3.1027,3.11,3.1,3.1,3723
1570630500000,3.1,3.1,3.07,3.09,1571
1570631400000,3.09,3.13,3.09,3.11,9675
1570632300000,3.11,3.11,3.06,3.06,4654
1570633200000,3.06,3.065,3.05,3.05,17727
1570634100000,3.05,3.0697,3.04,3.04,15784
1570635000000,3.04,3.04,3.02,3.04,13980
1570635900000,3.0587,3.0587,3.02,3.02,9006
1570636800000,3.02,3.0474,3.02,3.02,10975
1570637700000,3.03,3.04,3.02,3.0268,11620
1570638600000,3.0392,3.04,3.005,3.01,25569
1570639500000,3.01,3.03,3.0,3.03,21779
1570640400000,3.025,3.045,3.02,3.045,6800
1570641300000,3.05,3.08,3.05,3.06,22500
1570642200000,3.07,3.085,3.06,3.08,12099
1570643100000,3.08,3.15,3.07,3.13,51122
1570644000000,3.13,3.13,3.11,3.11,3960
1570644900000,3.11,3.13,3.11,3.12,1511
1570645800000,3.12,3.12,3.11,3.1194,3800
1570646700000,3.12,3.145,3.11,3.14,10508
1570647600000,3.14,3.17,3.14,3.15,61987
