datetime,open,high,low,close,volume
1591968600000,4.75,4.91,4.75,4.9,170518
1591969500000,4.91,4.96,4.89,4.915,153540
1591970400000,4.92,4.92,4.8599,4.86,64594
1591971300000,4.86,4.92,4.86,4.91,48642
1591972200000,4.92,4.92,4.84,4.85,79006
1591973100000,4.85,4.885,4.77,4.77,72734
1591974000000,4.7616,4.79,4.7,4.71,248522
1591974900000,4.72,4.74,4.66,4.68,140294
1591975800000,4.685,4.755,4.665,4.735,159480
1591976700000,4.73,4.82,4.73,4.81,66230
1591977600000,4.8,4.84,4.78,4.787,51142
1591978500000,4.78,4.79,4.74,4.765,42312
1591979400000,4.76,4.76,4.72,4.74,23941
1591980300000,4.73,4.78,4.71,4.775,53330
1591981200000,4.77,4.77,4.72,4.745,37219
1591982100000,4.74,4.77,4.73,4.73,34397
1591983000000,4.74,4.76,4.725,4.745,70321
1591983900000,4.74,4.74,4.71,4.715,40220
1591984800000,4.72,4.75,4.685,4.705,50300
1591985700000,4.7099,4.74,4.69,4.74,69128
1591986600000,4.75,4.77,4.74,4.74,39389
1591987500000,4.75,4.77,4.75,4.77,16343
1591988400000,4.77,4.78,4.74,4.75,36686
1591989300000,4.75,4.75,4.7004,4.73,69639
1591990200000,4.72,4.7431,4.7,4.705,116291
1591991100000,4.71,4.73,4.69,4.72,195025
