datetime,open,high,low,close,volume
1591968600000,5.94,6.07,5.89,6.03,15226
1591969500000,6.02,6.03,5.99,6.02,12847
1591970400000,6.02,6.05,5.99,6.0,6764
1591971300000,6.0,6.01,5.98,5.98,3294
1591972200000,5.985,6.0,5.94,5.96,10478
1591973100000,5.96,5.975,5.9,5.9,6952
1591974000000,5.89,5.91,5.83,5.86,9911
1591974900000,5.87,5.88,5.84,5.88,4850
1591975800000,5.88,5.905,5.865,5.87,4310
1591976700000,5.87,5.93,5.87,5.92,6587
1591977600000,5.92,5.97,5.92,5.96,8056
1591978500000,5.96,5.96,5.93,5.94,5850
1591979400000,5.93,5.94,5.92,5.94,3453
1591980300000,5.94,5.94,5.92,5.94,4153
1591981200000,5.94,5.94,5.9,5.91,4411
1591982100000,5.91,5.91,5.88,5.88,3113
1591983000000,5.88,5.88,5.85,5.86,4773
1591983900000,5.865,5.865,5.83,5.85,4940
1591984800000,5.84,5.86,5.83,5.855,4523
1591985700000,5.85,5.88,5.85,5.88,1500
1591986600000,5.89,5.91,5.87,5.87,3716
1591987500000,5.88,5.91,5.88,5.9,7635
1591988400000,5.91,5.93,5.91,5.93,8351
1591989300000,5.93,5.93,5.865,5.87,11824
1591990200000,5.88,5.9,5.875,5.895,9692
1591991100000,5.9,5.92,5.89,5.9,21650
