datetime,open,high,low,close,volume
1569504600000,21.83,22.0,21.17,21.265,4141
1569505500000,21.27,21.45,21.02,21.25,6200
1569506400000,21.46,21.46,21.18,21.18,1200
1569507300000,21.25,21.42,21.25,21.35,2900
1569508200000,21.32,21.32,21.115,21.115,4257
1569509100000,21.115,21.14,21.0,21.1394,5320
1569510000000,21.06,21.26,21.06,21.2,2400
1569510900000,21.09,21.21,21.05,21.15,1830
1569511800000,21.17,21.4,21.17,21.3,1711
1569512700000,21.26,21.3,21.2,21.2,400
1569513600000,21.195,21.37,21.195,21.37,3125
1569514500000,21.33,21.41,21.29,21.41,1525
1569515400000,21.41,21.45,21.39,21.39,900
1569516300000,21.39,21.39,21.27,21.34,1527
1569517200000,21.33,21.35,21.225,21.23,3136
1569518100000,21.22,21.22,21.12,21.12,7805
1569519000000,21.11,21.17,21.03,21.03,5853
1569519900000,21.065,21.1,21.0,21.06,7659
1569520800000,21.02,21.06,20.98,21.06,1100
1569521700000,21.07,21.21,21.06,21.17,4238
1569522600000,21.22,21.22,21.11,21.11,1300
1569523500000,21.15,21.16,21.09,21.09,1000
1569524400000,21.17,21.215,21.16,21.19,2504
1569525300000,21.16,21.21,21.1,21.16,3298
1569526200000,21.16,21.19,21.11,21.1825,27629
1569527100000,21.2,21.3,21.18,21.27,18815
1569591000000,20.88,21.28,20.84,21.28,2686
1569591900000,21.4,21.4,21.12,21.13,1000
1569592800000,21.26,21.33,21.13,21.33,2283
1569593700000,21.4403,21.51,21.34,21.51,2000
1569594600000,21.51,21.55,21.4,21.49,1671
1569595500000,21.58,21.58,21.46,21.46,738
1569596400000,21.4,21.6,21.39,21.5,2100
1569597300000,21.5,21.5,21.41,21.43,2853
1569598200000,21.51,21.51,21.25,21.345,2500
1569599100000,21.345,21.47,21.28,21.39,1200
1569600000000,21.38,21.49,21.365,21.49,1726
1569600900000,21.52,21.52,21.37,21.51,1372
1569601800000,21.48,21.48,21.28,21.28,700
1569602700000,21.3262,21.3262,21.19,21.2,2595
1569603600000,21.165,21.29,21.165,21.29,500
1569604500000,21.34,21.34,21.24,21.3,700
1569605400000,21.23,21.29,21.19,21.23,1220
1569606300000,21.2,21.3,21.18,21.3,1636
1569607200000,21.3,21.34,21.25,21.27,3421
1569608100000,21.31,21.34,21.24,21.32,2320
1569609000000,21.32,21.33,21.285,21.31,832
1569609900000,21.25,21.29,21.21,21.21,1200
1569610800000,21.21,21.245,21.16,21.2,1642
1569611700000,21.2,21.27,21.2,21.2,800
1569612600000,21.27,21.33,21.21,21.27,3800
1569613500000,21.25,21.31,21.22,21.24,22107
