datetime,open,high,low,close,volume
1569504600000,10.08,10.26,10.08,10.1,7470
1569505500000,10.12,10.14,10.0,10.0411,10259
1569506400000,10.02,10.08,10.0,10.01,19216
1569507300000,10.0,10.05,9.99,10.01,8272
1569508200000,10.01,10.05,10.0,10.01,4282
1569509100000,10.02,10.09,10.0,10.02,4050
1569510000000,10.02,10.09,10.0,10.0,19115
1569510900000,10.0,10.05,9.99,10.0,28230
1569511800000,10.005,10.03,10.0,10.02,5926
1569512700000,10.01,10.02,9.99,10.005,19045
1569513600000,10.02,10.06,9.99,10.0,120143
1569514500000,10.0,10.03,10.0,10.03,10961
1569515400000,10.0,10.04,10.0,10.02,2915
1569516300000,10.0,10.05,10.0,10.03,276059
1569517200000,10.0,10.0297,10.0,10.0,3876
1569518100000,10.0,10.01,9.99,10.0,4000
1569519000000,10.0,10.04,10.0,10.035,14348
1569519900000,10.01,10.03,10.0,10.03,2642
1569520800000,10.04,10.06,10.01,10.035,3153
1569521700000,10.04,10.07,10.02,10.05,3608
1569522600000,10.07,10.14,10.07,10.1,3202
1569523500000,10.11,10.18,10.06,10.15,6152
1569524400000,10.17,10.22,10.17,10.17,2407
1569525300000,10.17,10.175,10.085,10.0944,6822
1569526200000,10.1,10.22,10.1,10.15,6500
1569527100000,10.17,10.24,10.13,10.15,29871
1569591000000,10.13,10.13,10.13,10.13,1225
1569591900000,10.205,10.335,10.08,10.15,30132
1569592800000,10.12,10.12,9.995,10.02,19325
1569593700000,10.025,10.135,10.0,10.135,18442
1569594600000,10.14,10.16,10.03,10.15,25132
1569595500000,10.155,10.17,10.1,10.15,24535
1569596400000,10.135,10.2,10.08,10.11,11620
1569597300000,10.13,10.18,10.09,10.15,11806
1569598200000,10.16,10.18,10.03,10.14,22440
1569599100000,10.14,10.2,10.095,10.16,12158
1569600000000,10.16,10.17,10.11,10.12,18923
1569600900000,10.145,10.15,10.09,10.13,19721
1569601800000,10.11,10.12,10.06,10.07,4600
1569602700000,10.07,10.11,10.04,10.045,8946
1569603600000,10.03,10.09,10.01,10.09,11130
1569604500000,10.08,10.13,10.04,10.09,15542
1569605400000,10.09,10.09,10.05,10.0899,1803
1569606300000,10.09,10.16,10.08,10.13,11600
1569607200000,10.13,10.15,10.08,10.1,11910
1569608100000,10.13,10.13,10.05,10.065,7810
1569609000000,10.05,10.07,10.02,10.055,7640
1569609900000,10.07,10.09,10.01,10.07,10753
1569610800000,10.03,10.1,10.03,10.07,12416
1569611700000,10.08,10.12,10.07,10.12,11265
1569612600000,10.1,10.12,10.07,10.1,15212
1569613500000,10.1,10.1,10.02,10.07,30617
1569850200000,10.03,10.11,10.0,10.01,13324
1569851100000,10.02,10.04,10.0,10.0,105800
