datetime,open,high,low,close,volume
1569504600000,56.28,56.37,55.695,55.75,16182
1569505500000,55.91,55.97,55.645,55.72,8600
1569506400000,55.705,55.87,55.59,55.68,4915
1569507300000,55.54,55.56,55.4,55.54,5040
1569508200000,55.52,55.67,55.43,55.65,3500
1569509100000,55.7,55.82,55.65,55.77,7456
1569510000000,55.78,55.8,55.56,55.585,4110
1569510900000,55.6,55.64,55.31,55.43,18159
1569511800000,55.39,55.58,55.33,55.58,14410
1569512700000,55.56,55.56,55.29,55.325,4300
1569513600000,55.315,55.47,55.29,55.335,7700
1569514500000,55.34,55.35,55.22,55.31,3900
1569515400000,55.34,55.45,55.33,55.34,5164
1569516300000,55.3,55.365,55.22,55.27,3400
1569517200000,55.27,55.3,55.12,55.17,9809
1569518100000,55.13,55.16,54.97,54.985,6250
1569519000000,55.01,55.18,54.97,55.155,7132
1569519900000,55.17,55.31,55.09,55.31,5746
1569520800000,55.31,55.36,55.14,55.2,12316
1569521700000,55.17,55.2,54.96,54.995,8250
1569522600000,54.95,55.03,54.93,55.0,8697
1569523500000,55.01,55.13,54.995,55.08,10141
1569524400000,55.08,55.15,55.06,55.09,9978
1569525300000,55.1,55.1,54.885,54.92,11701
1569526200000,54.925,54.94,54.79,54.845,14567
1569527100000,54.83,54.85,54.57,54.65,39140
1569591000000,55.12,56.22,55.12,56.22,6362
1569591900000,56.22,56.38,55.83,55.92,6226
1569592800000,55.75,55.76,55.02,55.35,24048
1569593700000,55.25,55.56,55.25,55.45,4701
1569594600000,55.49,55.56,55.34,55.34,10704
1569595500000,55.41,55.59,55.355,55.55,2398
1569596400000,55.55,55.605,55.42,55.425,5317
1569597300000,55.375,55.375,55.22,55.33,2500
1569598200000,55.36,55.44,54.81,54.99,4966
1569599100000,55.0,55.29,54.94,55.15,4086
1569600000000,55.175,55.23,55.04,55.175,2400
1569600900000,55.185,55.185,54.92,54.94,1513
1569601800000,54.94,55.05,54.915,54.915,1700
1569602700000,54.83,54.93,54.66,54.7,3375
1569603600000,54.7,54.91,54.69,54.89,2500
1569604500000,54.91,54.91,54.78,54.81,1886
1569605400000,54.875,54.875,54.67,54.71,3000
1569606300000,54.66,54.835,54.59,54.815,3500
1569607200000,54.865,54.94,54.8,54.94,1900
1569608100000,54.93,55.0,54.885,54.9,2602
1569609000000,54.92,54.92,54.74,54.74,2400
1569609900000,54.66,54.71,54.55,54.59,5900
1569610800000,54.62,54.63,54.515,54.6,3200
1569611700000,54.57,54.77,54.57,54.655,8857
1569612600000,54.63,54.81,54.63,54.75,10119
1569613500000,54.74,54.86,54.685,54.83,33233
1569850200000,55.18,55.44,54.73,54.73,5089
1569851100000,54.565,54.62,54.36,54.4,3200
1569852000000,54.46,54.61,54.35,54.61,4200
1569852900000,54.65,54.67,54.49,54.49,2600
1569853800000,54.5,54.51,54.39,54.4,2800
1569854700000,54.49,54.595,54.44,54.51,6912
1569855600000,54.5,54.54,54.35,54.47,5605
