datetime,open,high,low,close,volume
1569504600000,27.0,27.24,26.41,26.63,108454
1569505500000,26.52,26.77,26.3,26.3,41565
1569506400000,26.33,26.6398,26.3,26.545,37094
1569507300000,26.5,26.8536,26.38,26.8536,37387
1569508200000,26.79,26.8099,26.46,26.6,28315
1569509100000,26.6,26.6294,26.43,26.5228,12452
1569510000000,26.46,26.6,26.3,26.47,28363
1569510900000,26.4752,26.4752,26.25,26.39,8253
1569511800000,26.4,26.53,26.37,26.47,13991
1569512700000,26.45,26.45,26.03,26.0796,51869
1569513600000,26.0821,26.2003,26.0,26.1721,18677
1569514500000,26.1506,26.41,26.0501,26.3315,15674
1569515400000,26.3545,26.37,26.23,26.26,6947
1569516300000,26.26,26.28,26.1,26.11,18348
1569517200000,26.135,26.42,26.135,26.21,21122
1569518100000,26.225,26.28,26.06,26.28,11113
1569519000000,26.261,26.38,26.1757,26.3496,16225
1569519900000,26.38,26.44,26.311,26.4049,12818
1569520800000,26.3863,26.5175,26.38,26.41,38414
1569521700000,26.42,26.6,26.42,26.4964,25096
1569522600000,26.4999,26.6552,26.48,26.6552,21304
1569523500000,26.6604,26.75,26.57,26.58,42364
1569524400000,26.6,26.7238,26.53,26.5601,9482
1569525300000,26.55,26.9,26.51,26.82,168975
1569526200000,26.82,26.9799,26.78,26.8,36356
1569527100000,26.815,26.87,26.63,26.67,139816
1569591000000,26.37,26.6,26.0,26.19,92436
1569591900000,26.14,26.29,26.0,26.05,62188
1569592800000,26.055,26.33,26.02,26.2,31916
1569593700000,26.19,26.3,26.07,26.29,44922
1569594600000,26.2868,26.55,26.26,26.4742,63600
1569595500000,26.48,26.6188,26.43,26.505,28354
1569596400000,26.48,26.9,26.48,26.8797,38818
1569597300000,26.88,26.9625,26.76,26.905,79944
1569598200000,26.93,27.21,26.43,26.73,125935
1569599100000,26.67,27.0898,26.61,26.9114,36761
1569600000000,26.87,26.9797,26.83,26.96,21560
1569600900000,26.98,27.04,26.57,26.57,52515
1569601800000,26.58,26.74,26.56,26.7,14422
1569602700000,26.7025,26.73,26.5,26.51,38802
1569603600000,26.5,26.62,26.5,26.5925,37958
1569604500000,26.57,26.58,26.3804,26.3804,31841
