datetime,open,high,low,close,volume
1569504600000,14.07,14.08,13.97,14.05,11556
1569505500000,14.05,14.07,13.98,14.06,4800
1569506400000,14.08,14.165,14.065,14.145,13819
1569507300000,14.13,14.14,13.99,14.02,5658
1569508200000,14.025,14.0693,14.0,14.05,7100
1569509100000,14.05,14.2,14.04,14.19,11694
1569510000000,14.19,14.23,14.12,14.225,13814
1569510900000,14.225,14.27,14.2,14.26,18911
1569511800000,14.25,14.355,14.25,14.34,27193
1569512700000,14.345,14.41,14.285,14.365,31210
1569513600000,14.365,14.42,14.35,14.35,24757
1569514500000,14.35,14.44,14.34,14.44,15739
1569515400000,14.44,14.5,14.425,14.48,6930
1569516300000,14.475,14.475,14.365,14.365,9566
1569517200000,14.36,14.415,14.34,14.345,16777
1569518100000,14.34,14.41,14.33,14.33,15761
1569519000000,14.325,14.4,14.31,14.355,9367
1569519900000,14.355,14.44,14.33,14.44,13025
1569520800000,14.44,14.48,14.41,14.47,20012
1569521700000,14.47,14.51,14.46,14.5,14411
1569522600000,14.5,14.6,14.49,14.58,20156
1569523500000,14.58,14.61,14.56,14.59,26561
1569524400000,14.6,14.64,14.58,14.605,28822
1569525300000,14.605,14.61,14.5,14.535,115376
1569526200000,14.54,14.57,14.51,14.51,33623
1569527100000,14.51,14.51,14.42,14.45,97534
1569591000000,14.58,14.82,14.48,14.82,20982
1569591900000,14.8237,14.85,14.66,14.69,11456
1569592800000,14.66,14.75,14.56,14.665,47179
1569593700000,14.65,14.665,14.47,14.61,13195
1569594600000,14.6,14.68,14.6,14.64,16383
1569595500000,14.65,14.7,14.6,14.7,19453
1569596400000,14.7,14.75,14.69,14.745,24238
1569597300000,14.74,14.7575,14.69,14.74,23926
1569598200000,14.7325,14.74,14.55,14.61,24732
1569599100000,14.61,14.7,14.59,14.68,33273
1569600000000,14.69,14.72,14.68,14.72,18886
1569600900000,14.72,14.73,14.54,14.57,11500
1569601800000,14.56,14.56,14.5,14.56,6326
1569602700000,14.55,14.56,14.48,14.53,85482
1569603600000,14.54,14.61,14.51,14.585,20714
1569604500000,14.57,14.6,14.515,14.585,38565
1569605400000,14.6,14.6,14.5369,14.58,37314
1569606300000,14.58,14.58,14.34,14.39,10484
1569607200000,14.39,14.47,14.35,14.36,7609
1569608100000,14.34,14.41,14.24,14.24,16744
1569609000000,14.23,14.265,14.23,14.25,5500
1569609900000,14.27,14.27,14.155,14.2,19149
1569610800000,14.19,14.19,14.11,14.13,22401
1569611700000,14.13,14.14,14.06,14.06,25976
1569612600000,14.06,14.205,14.05,14.2,62450
1569613500000,14.2,14.24,14.17,14.19,83018
1569850200000,14.25,14.36,14.09,14.15,6131
1569851100000,14.15,14.27,14.14,14.27,7864
1569852000000,14.25,14.25,14.17,14.2,1600
1569852900000,14.2,14.24,14.15,14.15,4140
1569853800000,14.1425,14.16,14.05,14.05,11945
1569854700000,14.05,14.13,14.03,14.09,13772
1569855600000,14.105,14.15,14.07,14.125,6901
1569856500000,14.11,14.19,14.07,14.19,8797
1569857400000,14.2,14.2,14.15,14.18,6400
1569858300000,14.18,14.185,14.15,14.15,11891
1569859200000,14.13,14.18,14.13,14.15,3850
1569860100000,14.15,14.31,14.15,14.28,9469
1569861000000,14.29,14.33,14.27,14.33,5509
1569861900000,14.31,14.33,14.28,14.3,4160
1569862800000,14.3,14.32,14.27,14.315,3300
1569863700000,14.31,14.31,14.25,14.25,3526
1569864600000,14.25,14.31,14.23,14.29,5337
1569865500000,14.29,14.32,14.28,14.3,8907
1569866400000,14.31,14.34,14.31,14.335,7926
1569867300000,14.34,14.37,14.33,14.355,8989
1569868200000,14.35,14.37,14.34,14.35,5529
1569869100000,14.36,14.43,14.34,14.42,13894
1569870000000,14.41,14.42,14.38,14.405,7805
1569870900000,14.405,14.45,14.395,14.446,19658
1569871800000,14.445,14.465,14.38,14.4,19338
1569872700000,14.395,14.4,14.31,14.33,60774
1569936600000,14.49,14.565,14.265,14.565,3222
1569937500000,14.58,14.58,14.545,14.55,7200
1569938400000,14.53,14.53,14.1,14.195,12563
1569939300000,14.2,14.255,14.195,14.23,5749
1569940200000,14.23,14.25,14.1,14.11,15314
1569941100000,14.115,14.18,14.07,14.18,12061
1569942000000,14.19,14.29,14.15,14.23,28598
1569942900000,14.225,14.26,14.16,14.25,9852
1569943800000,14.25,14.255,14.17,14.17,8189
1569944700000,14.19,14.2,14.13,14.15,7273
1569945600000,14.16,14.16,14.09,14.095,10475
1569946500000,14.1,14.14,14.06,14.06,7613
1569947400000,14.06,14.07,14.03,14.06,11250
1569948300000,14.07,14.1,14.02,14.02,17497
1569949200000,14.02,14.02,14.0,14.02,40544
1569950100000,14.02,14.03,13.9,13.91,154537
1569951000000,13.9,13.91,13.84,13.89,25556
1569951900000,13.89,13.89,13.795,13.82,21834
1569952800000,13.825,13.89,13.805,13.89,12485
1569953700000,13.88,13.88,13.83,13.86,12373
1569954600000,13.86,13.875,13.84,13.855,12983
1569955500000,13.855,13.89,13.84,13.855,27935
1569956400000,13.855,13.89,13.815,13.815,203783
1569957300000,13.815,13.9,13.81,13.87,24256
1569958200000,13.88,13.885,13.81,13.87,32421
1569959100000,13.88,13.91,13.85,13.88,54926
1570023000000,13.73,13.73,13.4,13.58,11118
1570023900000,13.6296,13.6725,13.51,13.51,13686
1570024800000,13.53,13.71,13.48,13.63,18813
1570025700000,13.63,13.76,13.63,13.69,14016
1570026600000,13.67,13.67,13.57,13.64,8768
1570027500000,13.62,13.66,13.54,13.66,10283
1570028400000,13.65,13.77,13.64,13.69,12602
1570029300000,13.69,13.7,13.61,13.61,13114
1570030200000,13.58,13.65,13.57,13.63,6749
1570031100000,13.62,13.64,13.59,13.59,5249
1570032000000,13.62,13.62,13.5,13.5,6200
1570032900000,13.52,13.535,13.47,13.51,11796
1570033800000,13.505,13.53,13.49,13.49,5147
1570034700000,13.49,13.51,13.44,13.44,10864
1570035600000,13.43,13.54,13.42,13.515,52997
1570036500000,13.51,13.52,13.47,13.51,9130
1570037400000,13.51,13.51,13.41,13.425,6623
1570038300000,13.43,13.43,13.3669,13.38,5862
1570039200000,13.38,13.39,13.33,13.335,7157
1570040100000,13.34,13.3888,13.325,13.3823,10596
1570041000000,13.37,13.38,13.36,13.365,6571
1570041900000,13.38,13.43,13.38,13.41,7835
1570042800000,13.4,13.49,13.39,13.44,19872
1570043700000,13.43,13.5,13.43,13.49,9048
1570044600000,13.48,13.5,13.45,13.46,19047
1570045500000,13.465,13.49,13.4,13.45,43548
1570109400000,13.37,13.51,13.31,13.49,66685
1570110300000,13.48,13.56,13.455,13.49,4065
1570111200000,13.52,13.52,13.39,13.39,11300
1570112100000,13.35,13.52,13.35,13.475,4600
1570113000000,13.46,13.46,13.37,13.45,4141
1570113900000,13.45,13.49,13.38,13.49,5433
1570114800000,13.5025,13.65,13.5,13.57,3664
1570115700000,13.57,13.61,13.51,13.51,2500
1570116600000,13.51,13.52,13.42,13.435,2700
1570117500000,13.45,13.46,13.39,13.43,6584
1570118400000,13.43,13.52,13.43,13.51,2607
1570119300000,13.5,13.5,13.47,13.49,4411
1570120200000,13.495,13.5141,13.43,13.48,11636
1570121100000,13.47,13.515,13.47,13.48,3419
1570122000000,13.46,13.46,13.4,13.44,2900
1570122900000,13.45,13.485,13.45,13.485,1800
1570123800000,13.485,13.52,13.47,13.52,9821
1570124700000,13.5,13.53,13.45,13.45,4300
1570125600000,13.42,13.47,13.42,13.45,3372
1570126500000,13.45,13.495,13.45,13.475,7868
1570127400000,13.47,13.49,13.45,13.47,5393
1570128300000,13.4828,13.525,13.43,13.525,26123
1570129200000,13.52,13.53,13.49,13.51,8127
1570130100000,13.51,13.515,13.41,13.445,12632
1570131000000,13.44,13.46,13.415,13.45,19668
1570131900000,13.45,13.51,13.43,13.5,35012
1570195800000,13.57,13.65,13.45,13.62,7407
1570196700000,13.6,13.705,13.6,13.62,8074
1570197600000,13.68,13.68,13.59,13.59,1071
1570198500000,13.58,13.68,13.53,13.53,12193
1570199400000,13.5565,13.7,13.46,13.7,60805
1570200300000,13.73,13.83,13.73,13.79,2537
1570201200000,13.79,13.85,13.78,13.79,2600
1570202100000,13.83,13.87,13.83,13.86,1543
1570203000000,13.844,13.91,13.84,13.84,3095
1570203900000,13.85,13.89,13.83,13.89,1300
1570204800000,13.89,13.9,13.88,13.88,1694
1570205700000,13.87,13.87,13.85,13.87,2720
1570206600000,13.88,13.9,13.88,13.9,853
1570207500000,13.91,13.91,13.86,13.865,1400
1570208400000,13.85,13.89,13.84,13.87,2404
1570209300000,13.86,13.88,13.85,13.88,1085
1570210200000,13.85,13.9279,13.85,13.91,3232
1570211100000,13.9234,13.9234,13.9,13.91,1877
1570212000000,13.92,13.93,13.91,13.93,1419
1570212900000,13.94,13.98,13.94,13.98,800
1570213800000,13.98,14.03,13.9763,14.015,5496
1570214700000,14.02,14.02,13.96,13.96,6341
1570215600000,13.98,14.015,13.98,14.01,4184
1570216500000,14.01,14.035,13.9834,14.035,9796
1570217400000,14.035,14.08,14.03,14.07,9631
1570218300000,14.075,14.08,14.04,14.04,38298
1570455000000,13.95,13.96,13.77,13.96,44112
1570455900000,14.0,14.115,13.96,14.115,5837
1570456800000,14.17,14.17,14.08,14.08,3700
1570457700000,14.09,14.155,14.09,14.155,3705
1570458600000,14.13,14.13,14.07,14.1,3995
1570459500000,14.1,14.15,14.04,14.1,23552
1570460400000,14.05,14.09,14.005,14.005,22048
1570461300000,14.02,14.055,13.99,14.055,3600
1570462200000,14.04,14.055,14.0,14.055,3818
1570463100000,14.03,14.03,13.94,13.9411,4965
1570464000000,13.96,13.97,13.94,13.94,700
1570464900000,13.96,13.98,13.96,13.965,3000
1570465800000,13.965,13.985,13.9,13.95,65251
1570466700000,13.94,14.04,13.92,14.04,38139
1570467600000,14.045,14.045,13.96,13.97,3800
1570468500000,13.96,13.96,13.92,13.935,2000
1570469400000,13.94,14.06,13.94,14.02,5400
1570470300000,14.035,14.0845,14.035,14.0845,6308
1570471200000,14.07,14.07,13.97,13.99,2233
1570472100000,13.99,14.07,13.99,14.07,500
1570473000000,14.05,14.07,14.0,14.03,3862
1570473900000,14.03,14.11,14.0,14.11,6848
1570474800000,14.13,14.135,14.09,14.135,3700
1570475700000,14.14,14.14,14.07,14.105,5292
1570476600000,14.11,14.12,14.09,14.09,2505
1570477500000,14.11,14.12,14.03,14.07,33895
1570541400000,13.9,13.9,13.77,13.85,6009
1570542300000,13.89,13.95,13.78,13.82,3844
1570543200000,13.78,13.94,13.78,13.94,2663
1570544100000,13.96,14.02,13.95,13.95,3704
1570545000000,13.96,14.01,13.915,13.9345,1600
1570545900000,13.91,14.0,13.88,14.0,3310
1570546800000,13.99,14.04,13.97,14.01,2728
1570547700000,14.02,14.02,13.91,13.92,2008
1570548600000,13.9,13.9,13.84,13.855,1101
1570549500000,13.87,13.93,13.87,13.92,1406
1570550400000,13.9,13.9,13.86,13.86,1604
1570551300000,13.87,13.91,13.87,13.91,2100
1570552200000,13.91,13.92,13.87,13.89,1613
1570553100000,13.92,13.93,13.89,13.89,2390
1570554000000,13.9,13.905,13.89,13.9,1522
1570554900000,13.9,13.9201,13.9,13.91,2873
