datetime,open,high,low,close,volume
1569504600000,19.38,19.43,19.21,19.43,12889
1569505500000,19.445,19.55,19.37,19.55,7517
1569506400000,19.52,19.54,19.39,19.39,4356
1569507300000,19.43,19.445,19.36,19.42,6895
1569508200000,19.45,19.59,19.37,19.56,15891
1569509100000,19.56,19.56,19.385,19.42,6292
1569510000000,19.42,19.45,19.39,19.415,19296
1569510900000,19.4,19.43,19.39,19.42,8005
1569511800000,19.42,19.475,19.42,19.45,3867
1569512700000,19.47,19.55,19.47,19.49,4792
1569513600000,19.46,19.62,19.46,19.61,12023
1569514500000,19.6,19.63,19.5869,19.5869,4946
1569515400000,19.58,19.59,19.56,19.58,3710
1569516300000,19.56,19.57,19.51,19.51,3023
1569517200000,19.53,19.55,19.4955,19.545,7436
1569518100000,19.545,19.57,19.53,19.55,10736
1569519000000,19.56,19.59,19.53,19.56,7706
1569519900000,19.55,19.56,19.53,19.56,7895
1569520800000,19.57,19.58,19.525,19.54,22344
1569521700000,19.535,19.535,19.49,19.495,5808
1569522600000,19.5,19.52,19.45,19.45,9378
1569523500000,19.455,19.455,19.34,19.355,12158
1569524400000,19.36,19.43,19.36,19.43,7128
1569525300000,19.43,19.43,19.385,19.39,8669
1569526200000,19.4,19.43,19.34,19.35,10372
1569527100000,19.35,19.46,19.34,19.45,60110
1569591000000,19.4,19.485,19.33,19.48,10582
1569591900000,19.465,19.5,19.45,19.455,15853
1569592800000,19.45,19.57,19.45,19.47,23686
1569593700000,19.47,19.54,19.45,19.5,5060
1569594600000,19.47,19.485,19.395,19.395,11006
1569595500000,19.37,19.45,19.35,19.35,14225
1569596400000,19.38,19.43,19.35,19.38,15380
1569597300000,19.38,19.43,19.35,19.42,10910
1569598200000,19.42,19.47,19.38,19.425,27460
1569599100000,19.41,19.41,19.09,19.09,16487
1569600000000,19.08,19.11,18.95,19.02,14668
1569600900000,18.98,19.07,18.95,19.05,13770
1569601800000,19.065,19.09,19.0,19.02,6815
1569602700000,19.015,19.05,19.0,19.01,17005
1569603600000,19.0,19.0,18.92,18.94,20175
1569604500000,18.94,19.01,18.91,18.97,7065
1569605400000,18.99,19.01,18.9,18.9,9699
1569606300000,18.885,18.9,18.77,18.84,8264
1569607200000,18.88,18.96,18.71,18.74,17451
1569608100000,18.73,18.76,18.66,18.67,7665
1569609000000,18.64,18.71,18.63,18.69,7420
1569609900000,18.65,18.71,18.605,18.71,10266
1569610800000,18.7,18.86,18.67,18.765,10075
1569611700000,18.76,18.82,18.72,18.805,9598
1569612600000,18.8,18.8,18.725,18.78,13114
1569613500000,18.77,18.81,18.67,18.79,49682
1569850200000,18.79,18.8,18.55,18.56,4724
1569851100000,18.56,18.57,18.43,18.46,3497
1569852000000,18.53,18.56,18.5,18.54,5296
1569852900000,18.53,18.56,18.4,18.465,11012
1569853800000,18.475,18.475,18.4,18.4,11554
1569854700000,18.4,18.43,18.27,18.27,16114
1569855600000,18.27,18.28,18.2,18.24,16200
