datetime,open,high,low,close,volume
1569504600000,10.1,10.12,10.06,10.12,25936
1569505500000,10.1,10.11,10.02,10.02,6132
1569506400000,10.04,10.08,10.03,10.05,6311
1569507300000,10.06,10.06,10.01,10.03,8046
1569508200000,10.03,10.05,10.01,10.04,6715
1569509100000,10.03,10.05,10.015,10.03,3936
1569510000000,10.02,10.02,9.99,9.995,4310
1569510900000,9.99,9.99,9.955,9.955,7306
1569511800000,9.95,9.97,9.94,9.94,4237
1569512700000,9.93,9.945,9.925,9.945,2722
1569513600000,9.94,9.98,9.94,9.97,6812
1569514500000,9.965,9.97,9.95,9.97,2901
1569515400000,9.97,9.99,9.97,9.98,2964
1569516300000,9.98,10.01,9.96,10.01,7842
1569517200000,10.01,10.02,10.0,10.01,7483
1569518100000,10.0,10.01,10.0,10.005,5845
1569519000000,10.01,10.035,10.0,10.03,3969
1569519900000,10.03,10.03,10.005,10.02,3600
1569520800000,10.02,10.04,10.015,10.02,3699
1569521700000,10.015,10.04,10.01,10.025,3821
1569522600000,10.02,10.04,10.02,10.035,2802
1569523500000,10.035,10.04,10.015,10.015,5000
1569524400000,10.02,10.03,10.01,10.015,6457
1569525300000,10.015,10.03,10.01,10.02,11479
1569526200000,10.03,10.03,10.02,10.02,8137
1569527100000,10.025,10.05,10.01,10.01,30931
1569591000000,10.05,10.105,10.05,10.09,3395
1569591900000,10.12,10.12,10.06,10.06,1313
1569592800000,10.05,10.064,10.03,10.05,1799
1569593700000,10.03,10.04,10.01,10.03,3089
1569594600000,10.03,10.04,10.01,10.04,3141
1569595500000,10.03,10.03,10.01,10.02,1701
1569596400000,10.01,10.03,10.01,10.03,4300
1569597300000,10.02,10.06,10.02,10.06,6709
1569598200000,10.0642,10.07,10.0,10.0,18365
1569599100000,10.0,10.06,10.0,10.045,16805
1569600000000,10.04,10.04,10.02,10.04,1704
1569600900000,10.04,10.04,10.005,10.01,3221
1569601800000,10.0,10.01,10.0,10.0,2100
1569602700000,10.0,10.01,9.99,10.0,14065
1569603600000,10.005,10.03,10.005,10.02,4805
1569604500000,10.02,10.02,10.0,10.02,3620
1569605400000,10.0,10.02,10.0,10.015,5211
1569606300000,10.01,10.02,10.005,10.015,2515
1569607200000,10.02,10.02,10.0,10.01,3577
1569608100000,10.015,10.015,10.0,10.005,3744
1569609000000,10.01,10.01,10.0,10.01,7151
1569609900000,10.005,10.005,10.0,10.005,14008
1569610800000,10.0,10.01,10.0,10.005,8562
1569611700000,10.005,10.01,9.97,9.995,12823
1569612600000,9.99,10.01,9.99,10.005,13621
1569613500000,10.0,10.02,9.99,10.0,54273
1569850200000,10.07,10.09,10.02,10.03,4299
1569851100000,10.03,10.05,10.01,10.03,1900
1569852000000,10.04,10.04,10.0,10.0,1382
1569852900000,10.0,10.01,9.97,9.97,2841
