datetime,open,high,low,close,volume
1569504600000,8.25,8.31,8.23,8.26,5776
1569505500000,8.29,8.29,8.25,8.26,2337
1569506400000,8.27,8.29,8.25,8.25,3600
1569507300000,8.24,8.25,8.22,8.24,2199
1569508200000,8.23,8.23,8.23,8.23,800
1569509100000,8.235,8.26,8.235,8.25,3900
1569510000000,8.24,8.25,8.21,8.22,4771
1569510900000,8.21,8.21,8.2,8.21,2652
1569511800000,8.21,8.23,8.21,8.22,2400
1569512700000,8.21,8.21,8.18,8.19,8657
1569513600000,8.2,8.22,8.2,8.22,3363
1569514500000,8.22,8.22,8.21,8.22,800
1569515400000,8.21,8.23,8.21,8.22,1111
1569516300000,8.215,8.215,8.21,8.21,813
1569517200000,8.205,8.205,8.18,8.18,3431
1569518100000,8.19,8.19,8.165,8.17,2190
1569519000000,8.17,8.19,8.17,8.19,2010
1569519900000,8.19,8.195,8.18,8.19,2100
1569520800000,8.19,8.19,8.18,8.18,2442
1569521700000,8.18,8.19,8.18,8.18,3300
1569522600000,8.18,8.185,8.17,8.17,2533
1569523500000,8.16,8.18,8.16,8.17,1800
1569524400000,8.17,8.18,8.17,8.17,2400
1569525300000,8.17,8.17,8.16,8.16,4052
1569526200000,8.16,8.18,8.16,8.165,2835
1569527100000,8.165,8.175,8.15,8.17,18772
1569591000000,8.24,8.3,8.24,8.3,3510
1569591900000,8.32,8.32,8.24,8.24,3400
1569592800000,8.25,8.27,8.23,8.24,4138
1569593700000,8.24,8.24,8.235,8.235,960
1569594600000,8.25,8.25,8.235,8.235,2300
1569595500000,8.24,8.24,8.225,8.24,3100
1569596400000,8.24,8.24,8.225,8.235,2400
1569597300000,8.235,8.24,8.235,8.24,600
1569598200000,8.24,8.25,8.21,8.21,8891
1569599100000,8.21,8.24,8.21,8.235,1800
1569600000000,8.23,8.23,8.21,8.22,1300
1569600900000,8.22,8.22,8.22,8.22,1014
1569601800000,8.21,8.21,8.2,8.21,1200
1569602700000,8.205,8.215,8.2,8.205,1300
1569603600000,8.2,8.22,8.19,8.21,2121
1569604500000,8.21,8.21,8.2,8.2,1100
1569605400000,8.19,8.2,8.18,8.185,1500
1569606300000,8.18,8.19,8.17,8.19,1000
1569607200000,8.19,8.195,8.19,8.195,600
1569608100000,8.195,8.195,8.185,8.19,1200
1569609000000,8.2,8.2,8.16,8.17,6464
1569609900000,8.16,8.175,8.15,8.16,1700
1569610800000,8.15,8.16,8.14,8.16,2202
1569611700000,8.165,8.185,8.165,8.17,2608
1569612600000,8.175,8.19,8.17,8.19,5900
1569613500000,8.185,8.25,8.18,8.2,44585
1569850200000,8.21,8.25,8.21,8.22,1914
1569851100000,8.22,8.23,8.2,8.2,1100
1569852000000,8.195,8.22,8.19,8.22,4237
1569852900000,8.22,8.22,8.2,8.2,1412
1569853800000,8.2,8.2,8.18,8.18,2200
1569854700000,8.185,8.19,8.185,8.19,1011
1569855600000,8.19,8.2,8.175,8.2,1771
1569856500000,8.195,8.2,8.19,8.2,1800
1569857400000,8.19,8.19,8.18,8.19,2000
1569858300000,8.19,8.19,8.16,8.16,1966
1569859200000,8.17,8.18,8.17,8.17,1500
1569860100000,8.165,8.195,8.165,8.19,2377
1569861000000,8.18,8.18,8.18,8.18,200
1569861900000,8.18,8.19,8.17,8.19,900
1569862800000,8.18,8.19,8.18,8.19,1000
1569863700000,8.18,8.19,8.18,8.18,700
1569864600000,8.19,8.19,8.18,8.18,1600
1569865500000,8.175,8.2,8.175,8.19,853
1569866400000,8.2,8.2,8.19,8.2,1900
1569867300000,8.2,8.2,8.185,8.185,2970
1569868200000,8.18,8.21,8.18,8.21,1700
1569869100000,8.21,8.21,8.2,8.21,1200
1569870000000,8.22,8.22,8.21,8.22,2200
1569870900000,8.22,8.22,8.17,8.17,7986
1569871800000,8.18,8.19,8.17,8.17,4917
1569872700000,8.175,8.175,8.14,8.14,37547
1569936600000,8.24,8.33,8.1907,8.32,19323
1569937500000,8.32,8.33,8.28,8.28,9131
1569938400000,8.28,8.28,8.22,8.225,3861
1569939300000,8.2282,8.2282,8.19,8.2,13946
1569940200000,8.21,8.215,8.2,8.2,4415
1569941100000,8.2,8.215,8.2,8.2,5561
1569942000000,8.2,8.23,8.2,8.22,8346
1569942900000,8.22,8.22,8.19,8.2,4467
1569943800000,8.21,8.21,8.18,8.19,5557
1569944700000,8.18,8.19,8.18,8.185,4670
1569945600000,8.18,8.18,8.15,8.15,3535
1569946500000,8.15,8.16,8.14,8.16,4820
1569947400000,8.15,8.17,8.15,8.17,3075
1569948300000,8.16,8.17,8.13,8.14,4971
1569949200000,8.13,8.13,8.11,8.11,27196
1569950100000,8.115,8.115,8.08,8.1,6077
1569951000000,8.1,8.1,8.08,8.08,3612
1569951900000,8.08,8.08,8.06,8.06,8798
1569952800000,8.06,8.07,8.035,8.04,13058
1569953700000,8.04,8.05,8.03,8.05,4600
1569954600000,8.035,8.06,8.035,8.05,12197
1569955500000,8.06,8.06,8.03,8.035,7753
1569956400000,8.035,8.035,8.0,8.01,21529
1569957300000,8.01,8.03,8.0,8.015,4295
1569958200000,8.01,8.02,7.98,8.02,8195
1569959100000,8.015,8.1,8.01,8.03,82802
1570023000000,8.05,8.05,7.98,7.995,12563
1570023900000,7.99,8.02,7.985,8.02,1942
1570024800000,8.02,8.07,8.016,8.07,6958
1570025700000,8.07,8.08,8.04,8.04,1500
1570026600000,8.035,8.035,8.01,8.03,4782
1570027500000,8.03,8.03,8.01,8.02,3279
1570028400000,8.015,8.04,8.015,8.04,1447
1570029300000,8.035,8.04,8.03,8.04,2886
1570030200000,8.03,8.035,8.02,8.025,2000
1570031100000,8.03,8.03,8.02,8.03,1932
1570032000000,8.02,8.02,8.01,8.01,2453
1570032900000,8.01,8.01,7.99,8.01,3280
1570033800000,8.0039,8.01,7.99,7.99,4751
1570034700000,7.99,8.01,7.99,8.01,2480
1570035600000,8.01,8.025,8.0,8.0128,7919
1570036500000,8.02,8.03,8.01,8.02,1134
1570037400000,8.025,8.025,8.01,8.025,3300
1570038300000,8.02,8.03,8.02,8.025,1700
1570039200000,8.02,8.04,8.02,8.025,2972
1570040100000,8.02,8.05,8.02,8.05,4654
1570041000000,8.04,8.06,8.04,8.05,2576
1570041900000,8.05,8.06,8.05,8.05,1600
1570042800000,8.05,8.07,8.05,8.055,4275
1570043700000,8.055,8.06,8.04,8.055,4997
1570044600000,8.05,8.07,8.04,8.055,5188
1570045500000,8.055,8.07,8.04,8.06,33533
1570109400000,8.0,8.01,7.99,8.0,15376
1570110300000,8.005,8.01,7.99,7.99,5229
1570111200000,7.99,7.99,7.92,7.94,14607
1570112100000,7.935,7.97,7.93,7.96,5243
1570113000000,7.98,7.98,7.95,7.95,900
