datetime,open,high,low,close,volume
1569504600000,43.36,43.36,42.86,42.98,19590
1569505500000,43.185,43.365,43.04,43.13,9840
1569506400000,43.115,43.31,43.115,43.31,1719
1569507300000,43.27,43.27,43.09,43.22,9238
1569508200000,43.22,43.55,43.22,43.55,6265
1569509100000,43.485,43.6225,43.33,43.52,5011
1569510000000,43.39,43.48,43.34,43.43,2388
1569510900000,43.525,43.56,43.43,43.5,3400
1569511800000,43.5,43.56,43.25,43.34,14825
1569512700000,43.39,43.45,43.25,43.4,6718
1569513600000,43.37,43.65,43.31,43.63,8526
1569514500000,43.66,43.66,43.56,43.58,5081
1569515400000,43.58,43.74,43.54,43.65,14720
1569516300000,43.655,43.655,43.46,43.5101,3927
1569517200000,43.52,43.55,43.4,43.44,3510
1569518100000,43.385,43.42,43.35,43.4,2569
1569519000000,43.43,43.59,43.4,43.59,6108
1569519900000,43.61,43.68,43.48,43.645,5632
1569520800000,43.74,43.78,43.63,43.78,3910
1569521700000,43.72,43.77,43.64,43.7,3880
1569522600000,43.66,43.77,43.66,43.74,4005
1569523500000,43.74,43.7701,43.63,43.705,8568
1569524400000,43.7052,43.76,43.63,43.63,8714
1569525300000,43.62,43.64,43.46,43.48,4822
1569526200000,43.485,43.585,43.4,43.425,16198
1569527100000,43.425,43.425,43.21,43.24,30064
1569591000000,43.32,44.55,43.085,44.54,24285
1569591900000,44.54,44.61,43.63,43.74,16439
1569592800000,43.69,43.87,43.475,43.85,4766
1569593700000,43.85,44.18,43.85,44.17,5845
1569594600000,44.19,44.43,44.1,44.13,7206
1569595500000,44.11,44.13,43.8275,44.065,12756
1569596400000,44.03,44.0337,43.88,43.92,6781
1569597300000,43.92,43.92,43.78,43.87,3607
1569598200000,43.855,43.97,43.24,43.61,11521
1569599100000,43.61,43.87,43.57,43.77,11818
1569600000000,43.71,43.96,43.59,43.89,4475
1569600900000,43.93,43.93,43.63,43.73,5150
1569601800000,43.73,43.73,43.48,43.5,9181
1569602700000,43.48,43.48,43.23,43.31,6660
1569603600000,43.22,43.52,43.18,43.475,4760
1569604500000,43.475,43.51,43.35,43.41,3907
1569605400000,43.4,43.5345,43.36,43.47,11367
1569606300000,43.47,43.56,43.32,43.54,5002
1569607200000,43.54,43.55,43.38,43.46,7067
1569608100000,43.45,43.49,43.29,43.36,6140
1569609000000,43.38,43.38,43.25,43.25,7248
1569609900000,43.255,43.26,43.02,43.02,7474
1569610800000,43.055,43.12,42.965,43.03,8230
1569611700000,43.02,43.12,43.02,43.105,9572
1569612600000,43.09,43.2,43.09,43.15,13945
1569613500000,43.145,43.205,43.06,43.09,47206
1569850200000,43.12,43.29,42.76,43.07,12326
1569851100000,43.07,43.07,42.74,42.87,8749
1569852000000,42.87,42.93,42.45,42.84,4611
1569852900000,42.93,43.01,42.67,42.67,3100
1569853800000,42.77,42.88,42.7,42.88,9016
1569854700000,42.82,43.29,42.82,43.22,3443
1569855600000,43.26,43.26,43.02,43.02,10140
1569856500000,43.0,43.11,43.0,43.105,3636
1569857400000,43.07,43.18,43.02,43.18,5113
1569858300000,43.13,43.13,42.855,42.9,4710
1569859200000,42.97,43.07,42.93,42.93,2933
1569860100000,42.96,43.07,42.85,43.05,5726
1569861000000,43.075,43.075,42.97,42.98,3018
1569861900000,42.99,42.99,42.865,42.865,7203
1569862800000,42.875,42.91,42.78,42.91,5325
1569863700000,42.92,42.95,42.88,42.88,5500
1569864600000,42.87,43.065,42.87,43.065,3766
1569865500000,43.1,43.26,43.1,43.26,2742
1569866400000,43.22,43.4,43.22,43.38,4340
1569867300000,43.38,43.42,43.345,43.345,3153
1569868200000,43.36,43.445,43.3153,43.325,10073
1569869100000,43.3,43.31,43.08,43.18,11443
1569870000000,43.185,43.185,43.13,43.15,2232
1569870900000,43.15,43.18,43.1,43.1,5921
1569871800000,43.12,43.14,43.02,43.02,10675
1569872700000,42.98,43.01,42.76,42.91,55563
1569936600000,43.32,44.22,43.115,44.22,17555
1569937500000,44.145,44.66,44.05,44.46,24850
1569938400000,44.41,44.41,43.07,43.16,5813
1569939300000,43.16,43.245,42.81,42.93,7490
1569940200000,42.93,42.935,42.55,42.55,6520
1569941100000,42.58,42.62,42.42,42.57,5879
1569942000000,42.58,42.75,42.475,42.64,4492
1569942900000,42.6,42.72,42.52,42.58,7102
1569943800000,42.615,42.66,42.33,42.35,8586
1569944700000,42.35,42.36,42.17,42.24,3563
1569945600000,42.2,42.2,41.89,41.9697,5910
1569946500000,41.97,42.14,41.86,41.86,12048
1569947400000,41.86,42.05,41.86,42.0,4400
1569948300000,42.0,42.0,41.61,41.6101,4374
1569949200000,41.6,41.63,41.43,41.48,7354
1569950100000,41.47,41.49,41.34,41.385,4138
1569951000000,41.39,41.39,41.19,41.29,5042
1569951900000,41.27,41.29,41.02,41.03,7204
1569952800000,41.0,41.02,40.83,40.965,10054
1569953700000,40.95,40.99,40.88,40.98,6255
1569954600000,40.98,41.09,40.94,41.02,5063
1569955500000,41.09,41.09,40.88,40.9775,6867
1569956400000,40.97,40.97,40.85,40.86,4447
1569957300000,40.86,40.99,40.86,40.9609,8338
1569958200000,40.94,40.94,40.73,40.79,11124
1569959100000,40.795,40.91,40.76,40.83,27226
1570023000000,40.11,40.29,39.0617,39.515,16886
1570023900000,39.73,39.91,39.615,39.83,3301
1570024800000,39.8,40.47,39.71,40.46,7339
1570025700000,40.525,40.6,40.29,40.29,3809
1570026600000,40.17,40.18,39.88,40.03,9064
1570027500000,40.03,40.19,39.86,40.0,11098
1570028400000,40.0,40.3,39.77,39.77,12306
1570029300000,39.75,39.93,39.7,39.7,8259
1570030200000,39.76,39.9,39.63,39.67,4896
1570031100000,39.63,39.69,39.545,39.58,4679
1570032000000,39.54,39.56,39.35,39.37,7869
1570032900000,39.41,39.55,39.36,39.53,6482
1570033800000,39.51,39.51,39.38,39.4,6664
1570034700000,39.43,39.43,39.29,39.37,6054
1570035600000,39.38,39.61,39.34,39.585,4885
1570036500000,39.59,39.69,39.51,39.65,4416
1570037400000,39.675,39.675,39.56,39.58,4849
1570038300000,39.57,39.6,39.52,39.59,4316
1570039200000,39.59,39.74,39.59,39.65,5891
1570040100000,39.61,39.8301,39.61,39.75,6349
1570041000000,39.76,39.81,39.69,39.81,4515
1570041900000,39.82,39.895,39.77,39.78,4876
1570042800000,39.8,39.91,39.74,39.87,6220
1570043700000,39.85,39.95,39.8,39.92,7746
1570044600000,39.88,40.01,39.85,39.95,15749
1570045500000,39.96,39.96,39.71,39.76,72203
1570109400000,39.49,39.64,39.49,39.515,2934
1570110300000,39.59,39.84,39.55,39.74,2917
1570111200000,39.72,39.72,38.915,39.12,3600
1570112100000,39.24,39.73,39.13,39.47,3864
1570113000000,39.56,39.62,39.3,39.42,2000
1570113900000,39.37,39.58,39.09,39.58,1949
1570114800000,39.71,39.98,39.71,39.92,4200
1570115700000,39.92,40.04,39.75,39.75,2300
1570116600000,39.72,39.76,39.47,39.5,15459
1570117500000,39.45,39.46,39.39,39.39,1300
1570118400000,39.4849,39.61,39.4,39.6,2652
1570119300000,39.61,39.61,39.37,39.6,2300
1570120200000,39.56,39.71,39.56,39.6758,3618
1570121100000,39.73,39.73,39.61,39.61,2000
1570122000000,39.54,39.64,39.52,39.64,1500
1570122900000,39.58,39.79,39.58,39.79,1880
1570123800000,39.81,39.92,39.78,39.9111,2511
1570124700000,39.88,39.92,39.82,39.85,1702
1570125600000,39.84,39.84,39.75,39.76,3470
1570126500000,39.76,39.8906,39.76,39.87,8593
1570127400000,39.92,39.95,39.88,39.9,2020
1570128300000,39.945,39.97,39.85,39.855,3019
1570129200000,39.84,39.9,39.84,39.9,1489
1570130100000,39.9,39.9,39.82,39.82,4149
1570131000000,39.85,39.89,39.79,39.86,4410
1570131900000,39.84,40.08,39.71,40.07,44108
1570195800000,40.13,40.89,40.085,40.385,4393
1570196700000,40.36,40.36,39.96,40.0,3900
1570197600000,40.09,40.12,39.79,39.79,3100
1570198500000,39.86,39.97,39.7,39.74,3327
1570199400000,39.895,39.895,39.7,39.77,2535
1570200300000,39.77,40.09,39.77,39.92,3212
1570201200000,39.85,39.95,39.81,39.89,1700
1570202100000,40.05,40.115,39.94,40.1,3698
1570203000000,40.1,40.17,40.03,40.03,2803
1570203900000,40.05,40.18,40.05,40.13,2052
1570204800000,40.15,40.266,40.15,40.18,2937
1570205700000,40.16,40.3299,40.13,40.31,1807
1570206600000,40.34,40.3699,40.29,40.32,1713
1570207500000,40.28,40.29,40.25,40.26,1400
1570208400000,40.26,40.47,40.25,40.45,1827
1570209300000,40.51,40.53,40.41,40.438,7010
1570210200000,40.44,40.44,40.33,40.39,3587
1570211100000,40.4,40.49,40.4,40.435,1085
1570212000000,40.47,40.495,40.45,40.46,2131
1570212900000,40.48,40.57,40.48,40.51,2394
1570213800000,40.52,40.53,40.39,40.39,2948
1570214700000,40.38,40.44,40.35,40.44,3905
1570215600000,40.47,40.53,40.44,40.44,2945
1570216500000,40.44,40.46,40.41,40.42,7871
