datetime,open,high,low,close,volume
1569504600000,12.41,12.41,12.32,12.35,8356
1569505500000,12.35,12.37,12.31,12.33,6500
1569506400000,12.36,12.41,12.35,12.37,6179
1569507300000,12.36,12.41,12.34,12.41,4911
1569508200000,12.4,12.41,12.38,12.41,3300
1569509100000,12.41,12.43,12.36,12.36,5190
1569510000000,12.36,12.37,12.31,12.37,10830
1569510900000,12.38,12.38,12.33,12.335,10110
1569511800000,12.34,12.34,12.3,12.32,36688
1569512700000,12.32,12.32,12.29,12.3,6601
1569513600000,12.31,12.37,12.31,12.37,9376
1569514500000,12.36,12.37,12.325,12.34,13741
1569515400000,12.35,12.395,12.345,12.37,3800
1569516300000,12.38,12.47,12.33,12.37,136079
1569517200000,12.38,12.43,12.34,12.415,67520
1569518100000,12.415,12.425,12.39,12.415,24983
1569519000000,12.42,12.46,12.42,12.45,12744
1569519900000,12.44,12.44,12.39,12.41,9892
1569520800000,12.41,12.43,12.41,12.42,7410
1569521700000,12.42,12.45,12.4,12.4,11155
1569522600000,12.41,12.42,12.37,12.37,5902
1569523500000,12.375,12.38,12.335,12.35,22245
1569524400000,12.36,12.4,12.36,12.385,15875
1569525300000,12.38,12.4,12.35,12.39,33878
1569526200000,12.395,12.415,12.38,12.385,14363
1569527100000,12.385,12.415,12.37,12.38,72538
1569591000000,12.42,12.63,12.42,12.58,19786
1569591900000,12.57,12.57,12.41,12.41,31272
1569592800000,12.39,12.4097,12.3,12.32,5412
1569593700000,12.31,12.36,12.3,12.325,5757
1569594600000,12.325,12.4,12.325,12.4,4912
1569595500000,12.4,12.41,12.38,12.395,16537
1569596400000,12.4,12.41,12.38,12.385,3912
1569597300000,12.37,12.395,12.37,12.395,2094
1569598200000,12.39,12.4,12.24,12.28,8703
1569599100000,12.27,12.33,12.27,12.32,2700
1569600000000,12.31,12.36,12.3,12.355,7102
1569600900000,12.355,12.355,12.31,12.31,3000
1569601800000,12.31,12.34,12.29,12.31,5586
1569602700000,12.305,12.31,12.2,12.21,14910
1569603600000,12.21,12.275,12.21,12.27,5500
1569604500000,12.27,12.29,12.2623,12.28,2295
1569605400000,12.275,12.2774,12.255,12.26,5151
1569606300000,12.25,12.275,12.23,12.275,2978
1569607200000,12.28,12.28,12.25,12.26,6012
1569608100000,12.26,12.26,12.22,12.22,6264
1569609000000,12.22,12.23,12.21,12.22,7715
1569609900000,12.2201,12.24,12.2,12.23,18689
1569610800000,12.235,12.2401,12.21,12.21,9783
1569611700000,12.21,12.2711,12.21,12.265,10925
1569612600000,12.265,12.295,12.245,12.25,18450
1569613500000,12.255,12.27,12.23,12.27,69708
1569850200000,12.28,12.35,12.22,12.23,16381
1569851100000,12.23,12.27,12.21,12.26,3928
1569852000000,12.25,12.25,12.19,12.24,4600
1569852900000,12.26,12.28,12.25,12.2717,6035
1569853800000,12.26,12.295,12.26,12.26,6000
1569854700000,12.26,12.31,12.255,12.3,5100
1569855600000,12.3,12.305,12.28,12.28,3300
1569856500000,12.29,12.34,12.27,12.32,12910
1569857400000,12.32,12.32,12.26,12.275,8315
1569858300000,12.27,12.27,12.2286,12.24,4269
1569859200000,12.25,12.27,12.24,12.24,9886
1569860100000,12.25,12.31,12.25,12.31,4728
1569861000000,12.31,12.32,12.2984,12.32,4253
1569861900000,12.31,12.34,12.31,12.33,4473
1569862800000,12.33,12.33,12.315,12.315,4300
1569863700000,12.31,12.33,12.31,12.32,6536
1569864600000,12.325,12.34,12.31,12.34,4928
1569865500000,12.34,12.37,12.34,12.355,4712
1569866400000,12.36,12.39,12.36,12.37,6783
1569867300000,12.37,12.38,12.345,12.36,4541
1569868200000,12.355,12.365,12.325,12.335,9504
1569869100000,12.34,12.35,12.305,12.32,10750
1569870000000,12.32,12.335,12.31,12.33,10960
1569870900000,12.34,12.355,12.28,12.28,29228
1569871800000,12.285,12.285,12.26,12.27,9700
1569872700000,12.275,12.275,12.18,12.19,112752
1569936600000,12.28,12.44,12.25,12.4,30217
1569937500000,12.42,12.42,12.31,12.33,29638
1569938400000,12.32,12.34,12.1,12.1,21692
1569939300000,12.11,12.18,12.05,12.1,52099
1569940200000,12.105,12.12,12.08,12.09,11025
1569941100000,12.09,12.11,12.03,12.05,11136
1569942000000,12.04,12.06,12.02,12.03,7003
1569942900000,12.02,12.085,12.01,12.08,10424
1569943800000,12.09,12.13,12.05,12.1,14754
1569944700000,12.095,12.11,12.05,12.06,14911
1569945600000,12.06,12.06,11.98,11.98,15561
1569946500000,11.98,12.01,11.95,11.95,7268
1569947400000,11.95,12.01,11.945,12.01,9438
1569948300000,12.005,12.03,11.99,11.99,15030
1569949200000,11.985,11.99,11.94,11.95,16109
1569950100000,11.95,11.95,11.9,11.91,13179
1569951000000,11.9,11.9,11.84,11.85,10118
1569951900000,11.85,11.855,11.81,11.82,10263
1569952800000,11.82,11.835,11.785,11.82,18053
1569953700000,11.82,11.88,11.805,11.875,18176
1569954600000,11.88,11.95,11.875,11.885,27903
1569955500000,11.88,11.9,11.845,11.87,13234
1569956400000,11.875,11.9,11.855,11.88,13032
1569957300000,11.88,11.94,11.87,11.92,16545
1569958200000,11.92,11.93,11.83,11.89,79728
1569959100000,11.89,11.905,11.84,11.85,75685
1570023000000,11.82,11.87,11.68,11.73,26360
1570023900000,11.73,11.77,11.71,11.72,6642
1570024800000,11.73,11.855,11.72,11.85,31395
1570025700000,11.85,11.87,11.825,11.85,17891
1570026600000,11.83,11.83,11.74,11.78,13146
1570027500000,11.78,11.8,11.75,11.79,13311
1570028400000,11.79,11.82,11.76,11.77,19412
1570029300000,11.78,11.815,11.77,11.8,14190
1570030200000,11.8,11.81,11.73,11.75,8480
1570031100000,11.76,11.76,11.71,11.72,11276
1570032000000,11.72,11.74,11.69,11.69,9040
1570032900000,11.7,11.74,11.7,11.72,8941
1570033800000,11.725,11.745,11.7,11.71,6134
1570034700000,11.71,11.715,11.69,11.71,12147
1570035600000,11.71,11.77,11.7,11.77,15939
1570036500000,11.77,11.8,11.76,11.8,4152
1570037400000,11.79,11.8,11.77,11.8,17875
1570038300000,11.8,11.805,11.75,11.76,9410
1570039200000,11.76,11.79,11.75,11.7728,3524
1570040100000,11.77,11.81,11.77,11.79,18601
1570041000000,11.79,11.82,11.78,11.82,7699
1570041900000,11.82,11.83,11.79,11.795,12205
1570042800000,11.8,11.84,11.775,11.825,26128
1570043700000,11.82,11.85,11.81,11.825,17255
1570044600000,11.82,11.86,11.81,11.82,41695
1570045500000,11.815,11.85,11.795,11.83,60655
1570109400000,11.78,11.78,11.52,11.7,11206
1570110300000,11.73,11.79,11.73,11.78,7559
1570111200000,11.74,11.74,11.62,11.71,18790
1570112100000,11.7,11.8,11.695,11.78,15118
1570113000000,11.77,11.79,11.73,11.765,11642
1570113900000,11.77,11.82,11.74,11.81,12750
1570114800000,11.81,11.89,11.8,11.89,10115
1570115700000,11.89,11.93,11.845,11.845,8719
1570116600000,11.845,11.85,11.77,11.8,6438
1570117500000,11.79,11.805,11.78,11.795,4600
1570118400000,11.8,11.88,11.8,11.88,18135
1570119300000,11.88,11.88,11.815,11.845,5714
1570120200000,11.85,11.88,11.85,11.87,5291
1570121100000,11.88,11.9,11.865,11.875,6328
1570122000000,11.865,11.885,11.86,11.885,2500
1570122900000,11.88,11.92,11.88,11.91,2900
1570123800000,11.92,11.96,11.915,11.945,9879
1570124700000,11.95,11.96,11.9167,11.925,6053
1570125600000,11.92,11.945,11.91,11.935,7942
1570126500000,11.94,11.99,11.935,11.98,5818
1570127400000,11.975,11.99,11.965,11.965,5443
1570128300000,11.97,11.985,11.95,11.96,9499
1570129200000,11.96,11.965,11.93,11.95,8822
1570130100000,11.95,11.975,11.94,11.95,15277
1570131000000,11.945,11.945,11.9,11.93,22829
1570131900000,11.93,11.97,11.895,11.95,63629
1570195800000,12.0,12.12,11.975,12.008,22460
1570196700000,11.98,12.03,11.9501,12.01,4759
1570197600000,12.04,12.04,11.98,11.99,10026
1570198500000,11.99,12.07,11.98,12.04,11936
1570199400000,12.04,12.07,12.03,12.06,8611
1570200300000,12.06,12.1,12.0484,12.07,6351
1570201200000,12.06,12.09,12.04,12.04,21316
1570202100000,12.05,12.05,12.04,12.04,5982
1570203000000,12.05,12.11,12.05,12.085,11562
1570203900000,12.09,12.12,12.09,12.11,6438
1570204800000,12.12,12.175,12.1127,12.175,9493
1570205700000,12.17,12.18,12.17,12.18,3341
1570206600000,12.18,12.18,12.175,12.175,4300
1570207500000,12.17,12.18,12.16,12.17,14257
1570208400000,12.17,12.19,12.16,12.19,7440
1570209300000,12.19,12.19,12.18,12.185,5465
1570210200000,12.18,12.195,12.15,12.165,7002
1570211100000,12.17,12.185,12.17,12.185,3670
1570212000000,12.19,12.195,12.17,12.17,3326
1570212900000,12.175,12.2,12.17,12.2,11206
1570213800000,12.195,12.215,12.195,12.205,5108
1570214700000,12.2,12.205,12.18,12.185,10659
1570215600000,12.19,12.205,12.19,12.19,9179
1570216500000,12.19,12.205,12.19,12.205,8762
1570217400000,12.2,12.24,12.2,12.24,17874
1570218300000,12.245,12.29,12.24,12.29,37940
1570455000000,12.24,12.26,12.15,12.2,15525
1570455900000,12.22,12.3,12.22,12.235,9312
1570456800000,12.24,12.27,12.215,12.25,30204
1570457700000,12.255,12.26,12.25,12.25,17568
1570458600000,12.255,12.33,12.255,12.27,56893
1570459500000,12.25,12.27,12.25,12.255,6960
1570460400000,12.26,12.34,12.25,12.28,47677
1570461300000,12.29,12.29,12.25,12.25,5400
1570462200000,12.25,12.25,12.19,12.21,7869
1570463100000,12.21,12.22,12.19,12.22,4800
1570464000000,12.22,12.22,12.195,12.21,5462
1570464900000,12.22,12.23,12.18,12.18,8055
1570465800000,12.185,12.2,12.165,12.2,7939
1570466700000,12.2,12.21,12.2,12.2,1700
1570467600000,12.19,12.19,12.12,12.12,5900
1570468500000,12.11,12.12,12.1,12.12,5200
1570469400000,12.12,12.21,12.1194,12.185,10419
1570470300000,12.18,12.19,12.17,12.18,3900
1570471200000,12.18,12.18,12.12,12.13,4626
1570472100000,12.13,12.15,12.12,12.14,5584
1570473000000,12.13,12.13,12.08,12.09,11743
1570473900000,12.09,12.13,12.07,12.13,8343
1570474800000,12.12,12.13,12.105,12.13,8575
1570475700000,12.125,12.125,12.1,12.12,10613
1570476600000,12.13,12.13,12.07,12.07,15504
1570477500000,12.07,12.08,12.025,12.04,73824
1570541400000,11.91,11.91,11.73,11.79,21935
1570542300000,11.81,11.91,11.81,11.91,20944
1570543200000,11.9,11.92,11.765,11.79,19499
1570544100000,11.79,11.79,11.74,11.75,11231
1570545000000,11.74,11.77,11.68,11.76,9901
1570545900000,11.77,11.805,11.76,11.8,6419
1570546800000,11.79,11.835,11.77,11.835,8461
1570547700000,11.835,11.86,11.76,11.76,5319
1570548600000,11.76,11.77,11.69,11.7,9134
1570549500000,11.7,11.77,11.69,11.77,15498
1570550400000,11.77,11.77,11.69,11.69,8494
1570551300000,11.695,11.75,11.695,11.74,8041
1570552200000,11.74,11.745,11.72,11.745,7436
1570553100000,11.745,11.79,11.715,11.715,13316
1570554000000,11.715,11.73,11.7,11.7,7624
1570554900000,11.71,11.73,11.7,11.725,5272
1570555800000,11.725,11.75,11.705,11.745,8297
1570556700000,11.75,11.78,11.745,11.755,3355
1570557600000,11.76,11.76,11.72,11.755,15249
1570558500000,11.76,11.76,11.73,11.735,5093
1570559400000,11.735,11.83,11.735,11.81,12687
1570560300000,11.81,11.84,11.73,11.76,15173
1570561200000,11.79,11.8,11.735,11.755,5792
1570562100000,11.75,11.78,11.74,11.775,8663
1570563000000,11.77,11.8,11.715,11.715,17575
1570563900000,11.72,11.73,11.67,11.68,63992
1570627800000,11.81,11.9,11.61,11.7,25804
1570628700000,11.7,11.73,11.67,11.71,7375
1570629600000,11.72,11.77,11.715,11.74,6769
1570630500000,11.74,11.75,11.69,11.75,8733
1570631400000,11.74,11.76,11.73,11.73,4654
1570632300000,11.72,11.72,11.69,11.69,2612
1570633200000,11.7,11.7,11.61,11.63,10243
1570634100000,11.635,11.675,11.61,11.66,12573
1570635000000,11.66,11.675,11.63,11.635,18597
1570635900000,11.635,11.675,11.6,11.655,444972
1570636800000,11.655,11.66,11.64,11.65,24121
1570637700000,11.645,11.735,11.645,11.725,30871
1570638600000,11.725,11.73,11.705,11.725,6025
1570639500000,11.72,11.73,11.71,11.715,11105
1570640400000,11.715,11.73,11.655,11.655,28867
1570641300000,11.655,11.665,11.645,11.66,6554
1570642200000,11.67,11.73,11.67,11.72,23228
1570643100000,11.71,11.71,11.66,11.68,28120
1570644000000,11.69,11.7,11.67,11.68,10168
1570644900000,11.68,11.71,11.68,11.7,19449
1570645800000,11.695,11.71,11.67,11.68,45053
1570646700000,11.68,11.68,11.62,11.64,23405
1570647600000,11.635,11.64,11.61,11.615,26873
1570648500000,11.615,11.62,11.59,11.61,24863
1570649400000,11.61,11.62,11.52,11.525,97014
1570650300000,11.52,11.58,11.51,11.53,120041
1570714200000,11.6,11.6,11.42,11.46,44850
1570715100000,11.46,11.55,11.46,11.49,99129
1570716000000,11.49,11.55,11.47,11.55,131938
1570716900000,11.54,11.69,11.54,11.66,52025
1570717800000,11.67,11.745,11.67,11.685,20053
1570718700000,11.69,11.7,11.67,11.7,55751
