datetime,open,high,low,close,volume
1569504600000,17.29,17.29,17.13,17.17,5060
1569505500000,17.1,17.1,16.91,16.915,6969
1569506400000,16.93,16.95,16.75,16.8,15626
1569507300000,16.795,16.85,16.75,16.8,10133
1569508200000,16.79,16.79,16.62,16.67,32401
1569509100000,16.65,16.66,16.5616,16.615,29611
1569510000000,16.635,16.69,16.6,16.69,19766
1569510900000,16.695,16.735,16.4774,16.5,58722
1569511800000,16.5,16.51,16.4244,16.45,15630
1569512700000,16.44,16.48,16.39,16.425,10345
1569513600000,16.44,16.54,16.42,16.49,13127
1569514500000,16.5,16.54,16.4951,16.53,8065
1569515400000,16.535,16.64,16.535,16.615,7410
1569516300000,16.615,16.62,16.585,16.61,11810
1569517200000,16.605,16.74,16.6,16.68,19509
1569518100000,16.665,16.665,16.595,16.615,3501
1569519000000,16.615,16.7369,16.6,16.73,11912
1569519900000,16.735,16.8018,16.73,16.8,7361
1569520800000,16.81,16.86,16.78,16.86,13259
1569521700000,16.86,16.92,16.86,16.88,17858
1569522600000,16.88,16.88,16.76,16.77,14654
1569523500000,16.77,16.8,16.74,16.75,16181
1569524400000,16.76,16.76,16.71,16.74,17971
1569525300000,16.75,16.83,16.749,16.81,9373
1569526200000,16.805,16.85,16.78,16.82,13941
1569527100000,16.82,16.89,16.78,16.78,62988
1569591000000,16.85,17.05,16.8,17.05,8143
1569591900000,17.06,17.13,16.9,16.92,5950
1569592800000,16.92,16.92,16.67,16.7,15016
1569593700000,16.69,16.89,16.665,16.88,7757
1569594600000,16.88,16.9,16.8182,16.82,8667
1569595500000,16.85,16.85,16.7,16.755,6050
1569596400000,16.77,16.8,16.66,16.665,3800
1569597300000,16.66,16.79,16.66,16.76,6729
1569598200000,16.74,16.75,16.64,16.685,11166
1569599100000,16.67,16.755,16.65,16.72,4892
1569600000000,16.63,16.65,16.59,16.59,8821
1569600900000,16.595,16.655,16.59,16.655,4307
1569601800000,16.65,16.66,16.59,16.61,6797
1569602700000,16.605,16.61,16.45,16.47,13772
1569603600000,16.48,16.5683,16.48,16.53,6259
1569604500000,16.52,16.58,16.505,16.57,5447
1569605400000,16.555,16.58,16.54,16.56,5526
1569606300000,16.545,16.6,16.52,16.5834,5396
1569607200000,16.59,16.59,16.57,16.58,6969
1569608100000,16.575,16.64,16.565,16.63,11996
1569609000000,16.62,16.62,16.55,16.56,3799
1569609900000,16.56,16.56,16.395,16.43,16414
1569610800000,16.41,16.44,16.3725,16.385,4200
1569611700000,16.385,16.52,16.385,16.5,8198
1569612600000,16.495,16.51,16.45,16.46,15217
1569613500000,16.4669,16.573,16.44,16.52,45364
1569850200000,16.48,16.665,16.32,16.51,12634
1569851100000,16.54,16.57,16.32,16.4,7028
1569852000000,16.41,16.4526,16.385,16.43,4389
1569852900000,16.41,16.46,16.4,16.42,2980
1569853800000,16.41,16.445,16.36,16.43,8197
1569854700000,16.43,16.52,16.43,16.45,6644
1569855600000,16.43,16.43,16.38,16.4,8339
1569856500000,16.3778,16.39,16.25,16.27,9381
1569857400000,16.26,16.34,16.26,16.34,6821
1569858300000,16.3,16.3,16.265,16.265,5700
1569859200000,16.27,16.4,16.24,16.265,45837
1569860100000,16.255,16.41,16.255,16.39,8562
1569861000000,16.4,16.42,16.38,16.41,5702
1569861900000,16.4,16.45,16.38,16.43,4300
1569862800000,16.43,16.5,16.42,16.485,5999
1569863700000,16.48,16.6,16.48,16.55,6049
1569864600000,16.56,16.66,16.55,16.66,4099
1569865500000,16.66,16.69,16.65,16.65,7803
1569866400000,16.655,16.6795,16.57,16.665,9089
1569867300000,16.67,16.68,16.6464,16.68,5641
1569868200000,16.68,16.71,16.67,16.7,3970
1569869100000,16.7,16.7,16.61,16.66,6869
1569870000000,16.655,16.655,16.56,16.6,8670
1569870900000,16.605,16.605,16.58,16.6,3177
1569871800000,16.59,16.71,16.58,16.68,15858
1569872700000,16.685,16.73,16.63,16.63,69925
1569936600000,16.64,16.9,16.64,16.78,5978
1569937500000,16.85,16.97,16.72,16.92,7692
1569938400000,16.98,16.98,16.49,16.49,9800
1569939300000,16.6,16.6,16.39,16.43,7221
1569940200000,16.485,16.52,16.42,16.42,5362
1569941100000,16.48,16.48,16.38,16.39,5048
1569942000000,16.4,16.47,16.2894,16.45,8144
1569942900000,16.45,16.56,16.42,16.515,6611
1569943800000,16.51,16.555,16.43,16.43,3728
1569944700000,16.51,16.51,16.36,16.405,7998
1569945600000,16.42,16.42,16.3351,16.345,14727
1569946500000,16.37,16.37,16.27,16.28,4500
1569947400000,16.29,16.3,16.25,16.27,18196
1569948300000,16.25,16.26,16.175,16.185,27827
1569949200000,16.19,16.27,16.18,16.21,8076
1569950100000,16.23,16.23,16.12,16.15,11968
1569951000000,16.15,16.16,16.11,16.15,10331
1569951900000,16.155,16.19,16.15,16.155,14161
1569952800000,16.16,16.17,16.145,16.16,11448
1569953700000,16.1689,16.19,16.15,16.165,12467
1569954600000,16.17,16.22,16.155,16.16,12700
1569955500000,16.16,16.21,16.15,16.2,11850
1569956400000,16.22,16.23,16.17,16.18,6405
1569957300000,16.19,16.27,16.18,16.25,7597
1569958200000,16.255,16.37,16.255,16.36,13333
1569959100000,16.36,16.42,16.35,16.36,40085
1570023000000,16.2,16.2,15.745,15.86,16559
1570023900000,15.805,15.88,15.75,15.815,22290
1570024800000,15.8,15.95,15.77,15.93,19975
1570025700000,15.891,15.9317,15.85,15.85,12886
1570026600000,15.85,16.025,15.85,15.97,35620
1570027500000,15.98,16.01,15.92,15.96,9981
1570028400000,15.96,16.0,15.91,15.925,5300
1570029300000,15.91,15.96,15.86,15.87,14399
1570030200000,15.86,15.88,15.85,15.85,11732
1570031100000,15.85,15.875,15.85,15.85,18479
1570032000000,15.855,15.86,15.72,15.795,15588
1570032900000,15.8,15.805,15.72,15.77,24525
1570033800000,15.76,15.79,15.75,15.77,5162
1570034700000,15.77,15.81,15.75,15.78,11814
1570035600000,15.76,15.85,15.76,15.79,8157
1570036500000,15.78,15.8,15.75,15.755,15912
1570037400000,15.755,15.81,15.75,15.795,9606
1570038300000,15.7949,15.7949,15.75,15.785,23290
1570039200000,15.77,15.785,15.75,15.78,14535
1570040100000,15.79,15.87,15.79,15.84,10035
1570041000000,15.86,15.95,15.855,15.935,7544
1570041900000,15.935,15.99,15.935,15.965,6790
1570042800000,15.97,15.97,15.915,15.94,6396
1570043700000,15.93,15.94,15.9,15.91,3761
1570044600000,15.9,15.92,15.86,15.86,14942
1570045500000,15.86,15.9,15.78,15.88,55987
1570109400000,15.88,15.965,15.66,15.66,11044
1570110300000,15.7,15.74,15.59,15.6,35583
1570111200000,15.6,15.6,15.21,15.3365,49209
1570112100000,15.35,15.3602,15.27,15.33,12405
1570113000000,15.31,15.31,15.03,15.06,59620
1570113900000,15.07,15.2,15.01,15.18,14463
1570114800000,15.18,15.23,15.08,15.08,11293
1570115700000,15.08,15.155,15.04,15.045,10648
1570116600000,15.04,15.08,15.0,15.02,13261
1570117500000,15.03,15.03,15.0,15.02,10305
1570118400000,15.03,15.07,15.0,15.01,28003
