datetime,open,high,low,close,volume
1569504600000,13.72,13.72,13.58,13.625,65834
1569505500000,13.625,13.64,13.5601,13.58,132012
1569506400000,13.575,13.62,13.56,13.605,72803
1569507300000,13.605,13.62,13.6,13.61,51663
1569508200000,13.61,13.655,13.6,13.655,31565
1569509100000,13.65,13.655,13.63,13.635,20294
1569510000000,13.635,13.64,13.6,13.603,35732
1569510900000,13.6,13.605,13.58,13.6,53115
1569511800000,13.6,13.625,13.59,13.62,37273
1569512700000,13.615,13.615,13.595,13.6,18840
1569513600000,13.5999,13.63,13.5965,13.605,17887
1569514500000,13.605,13.6172,13.59,13.605,35288
1569515400000,13.6085,13.63,13.6,13.62,40181
1569516300000,13.62,13.62,13.6,13.61,24617
1569517200000,13.61,13.62,13.59,13.59,24379
1569518100000,13.595,13.61,13.59,13.59,29244
1569519000000,13.595,13.6,13.58,13.59,20550
1569519900000,13.595,13.6,13.58,13.5863,17489
1569520800000,13.58,13.6,13.58,13.5963,30607
1569521700000,13.5963,13.6,13.58,13.585,26145
1569522600000,13.59,13.6,13.5835,13.59,14474
1569523500000,13.585,13.6,13.58,13.58,33198
1569524400000,13.585,13.61,13.585,13.59,24815
1569525300000,13.6,13.62,13.59,13.615,44712
1569526200000,13.615,13.63,13.61,13.63,69804
1569527100000,13.625,13.63,13.61,13.62,232262
1569591000000,13.28,13.3,13.12,13.17,317731
1569591900000,13.1779,13.19,13.13,13.16,106307
1569592800000,13.17,13.185,13.14,13.16,51483
1569593700000,13.16,13.18,13.135,13.18,96723
1569594600000,13.1701,13.21,13.165,13.19,36772
1569595500000,13.19,13.23,13.185,13.2166,42621
1569596400000,13.215,13.23,13.21,13.22,18887
1569597300000,13.225,13.26,13.22,13.25,40789
1569598200000,13.25,13.255,13.1945,13.1945,41026
1569599100000,13.19,13.2,13.1737,13.19,27612
1569600000000,13.185,13.19,13.165,13.175,27202
1569600900000,13.17,13.17,13.15,13.16,29113
1569601800000,13.16,13.175,13.16,13.17,14996
1569602700000,13.18,13.18,13.14,13.14,26348
1569603600000,13.14,13.175,13.1367,13.165,17909
1569604500000,13.17,13.18,13.14,13.1455,20100
1569605400000,13.1436,13.1436,13.12,13.1235,8768
1569606300000,13.125,13.15,13.11,13.145,34062
1569607200000,13.14,13.14,13.13,13.14,4978
1569608100000,13.14,13.15,13.13,13.14,26643
1569609000000,13.1424,13.15,13.1324,13.137,20874
1569609900000,13.14,13.1478,13.13,13.1399,19303
1569610800000,13.135,13.14,13.11,13.11,28708
1569611700000,13.115,13.14,13.11,13.125,40129
1569612600000,13.125,13.16,13.12,13.15,113363
1569613500000,13.15,13.16,13.13,13.16,129190
1569850200000,13.14,13.17,13.12,13.14,58999
1569851100000,13.13,13.135,13.08,13.095,71841
1569852000000,13.095,13.1,13.06,13.09,42440
1569852900000,13.085,13.09,13.06,13.0647,27810
1569853800000,13.06,13.08,13.06,13.06,23947
1569854700000,13.0697,13.095,13.0625,13.07,74495
1569855600000,13.07,13.075,13.05,13.06,27267
1569856500000,13.05,13.06,13.05,13.06,24778
1569857400000,13.0537,13.0659,13.04,13.0593,33029
1569858300000,13.06,13.06,13.03,13.04,36439
1569859200000,13.04,13.09,13.035,13.09,28104
1569860100000,13.09,13.115,13.085,13.115,20459
1569861000000,13.115,13.12,13.1,13.105,9426
1569861900000,13.105,13.12,13.1,13.105,23304
1569862800000,13.1071,13.125,13.105,13.11,21187
1569863700000,13.11,13.12,13.095,13.115,23729
1569864600000,13.12,13.12,13.11,13.11,16374
1569865500000,13.12,13.12,13.1,13.105,26546
1569866400000,13.105,13.11,13.1,13.11,19713
1569867300000,13.1,13.11,13.07,13.07,28538
1569868200000,13.075,13.1,13.0701,13.1,15277
1569869100000,13.1,13.13,13.09,13.11,38915
1569870000000,13.115,13.14,13.1,13.135,69197
1569870900000,13.14,13.14,13.12,13.12,26376
1569871800000,13.12,13.15,13.115,13.15,65427
1569872700000,13.15,13.16,13.11,13.13,214579
1569936600000,13.17,13.22,13.14,13.16,85535
1569937500000,13.16,13.1859,13.15,13.18,36602
1569938400000,13.17,13.18,13.075,13.08,48849
1569939300000,13.07,13.09,13.0375,13.07,81959
1569940200000,13.075,13.085,13.05,13.055,35104
1569941100000,13.06,13.1,13.0501,13.085,20532
1569942000000,13.08,13.09,13.0717,13.08,23402
1569942900000,13.0733,13.13,13.07,13.13,56977
1569943800000,13.13,13.16,13.12,13.13,24674
1569944700000,13.125,13.125,13.105,13.115,8095
1569945600000,13.11,13.115,13.1,13.105,22266
1569946500000,13.105,13.12,13.1,13.12,33001
1569947400000,13.12,13.13,13.12,13.125,5167
1569948300000,13.12,13.13,13.1,13.11,22839
1569949200000,13.1,13.11,13.05,13.05,109936
1569950100000,13.0553,13.0553,13.025,13.025,18465
1569951000000,13.025,13.03,13.005,13.015,124124
1569951900000,13.01,13.02,12.98,12.995,106850
1569952800000,12.996,13.01,12.96,12.985,78804
1569953700000,12.9876,12.99,12.96,12.98,19717
1569954600000,12.98,13.0,12.971,12.985,118369
1569955500000,12.99,13.01,12.98,13.0044,45808
1569956400000,13.01,13.02,12.99,13.005,25478
1569957300000,13.01,13.05,13.009,13.045,33399
1569958200000,13.045,13.0452,13.0,13.0,52223
1569959100000,13.005,13.02,13.0,13.01,131148
1570023000000,12.95,12.99,12.92,12.95,72697
1570023900000,12.96,12.96,12.855,12.88,82862
1570024800000,12.87,12.88,12.82,12.84,179954
1570025700000,12.83,12.87,12.8216,12.86,84906
1570026600000,12.86,12.86,12.81,12.82,30160
1570027500000,12.83,12.85,12.8152,12.84,27218
1570028400000,12.8456,12.87,12.8456,12.87,19156
1570029300000,12.86,12.87,12.84,12.84,46061
1570030200000,12.85,12.85,12.81,12.81,40642
1570031100000,12.81,12.85,12.81,12.85,49934
1570032000000,12.84,12.85,12.813,12.825,24614
1570032900000,12.825,12.84,12.81,12.84,24462
1570033800000,12.84,12.845,12.81,12.82,37197
1570034700000,12.82,12.835,12.81,12.835,29405
1570035600000,12.83,12.87,12.825,12.865,33251
1570036500000,12.86,12.86,12.84,12.8507,25329
1570037400000,12.855,12.88,12.85,12.865,28238
1570038300000,12.86,12.877,12.845,12.87,22441
1570039200000,12.8754,12.89,12.86,12.8821,54935
