datetime,open,high,low,close,volume
1569504600000,34.62,34.91,34.59,34.78,16958
1569505500000,34.8213,34.86,34.7,34.77,10323
1569506400000,34.77,34.9,34.75,34.89,11496
1569507300000,34.9,34.9,34.74,34.78,8847
1569508200000,34.76,34.83,34.7,34.79,12249
1569509100000,34.79,34.89,34.74,34.75,11560
1569510000000,34.75,34.75,34.63,34.72,10795
1569510900000,34.76,34.775,34.65,34.67,10057
1569511800000,34.69,34.78,34.65,34.72,17037
1569512700000,34.72,34.8,34.72,34.8,10779
1569513600000,34.815,34.91,34.74,34.74,15415
1569514500000,34.75,34.785,34.72,34.785,5914
1569515400000,34.79,34.91,34.79,34.86,10267
1569516300000,34.8659,34.87,34.7898,34.79,6870
1569517200000,34.8,34.84,34.79,34.8,7155
1569518100000,34.81,34.8212,34.7,34.735,6735
1569519000000,34.73,34.83,34.73,34.79,8611
1569519900000,34.79,34.82,34.73,34.77,10722
1569520800000,34.81,34.89,34.77,34.89,10614
1569521700000,34.89,34.93,34.87,34.88,7895
1569522600000,34.895,34.93,34.89,34.92,7997
1569523500000,34.92,34.93,34.87,34.9,8752
1569524400000,34.91,34.94,34.89,34.91,7217
1569525300000,34.92,35.01,34.9,34.97,14104
1569526200000,34.97,35.01,34.91,34.92,15323
1569527100000,34.91,34.91,34.82,34.83,49038
1569591000000,35.05,35.72,34.92,35.66,17131
1569591900000,35.66,35.695,35.315,35.365,23072
1569592800000,35.37,35.39,35.15,35.19,24181
1569593700000,35.18,35.41,35.18,35.38,11319
1569594600000,35.38,35.5,35.37,35.45,10822
1569595500000,35.46,35.58,35.45,35.58,8964
1569596400000,35.6,35.62,35.44,35.44,10378
1569597300000,35.44,35.49,35.41,35.49,13313
1569598200000,35.49,35.5833,35.14,35.25,20137
1569599100000,35.22,35.56,35.22,35.505,10086
1569600000000,35.49,35.49,35.4,35.49,9078
1569600900000,35.49,35.49,35.38,35.43,9951
1569601800000,35.43,35.44,35.39,35.41,7127
1569602700000,35.39,35.41,35.28,35.29,13997
1569603600000,35.27,35.37,35.27,35.3675,14322
1569604500000,35.385,35.435,35.35,35.435,12252
1569605400000,35.45,35.49,35.415,35.47,10537
1569606300000,35.47,35.49,35.38,35.49,11789
1569607200000,35.49,35.61,35.48,35.61,23825
1569608100000,35.61,35.65,35.52,35.57,30481
1569609000000,35.55,35.575,35.36,35.36,11798
1569609900000,35.36,35.39,35.22,35.24,14133
1569610800000,35.25,35.345,35.21,35.34,21663
1569611700000,35.33,35.48,35.33,35.44,16838
1569612600000,35.44,35.4423,35.37,35.38,25635
1569613500000,35.385,35.52,35.3,35.48,84398
1569850200000,35.56,35.76,35.56,35.7,17169
1569851100000,35.76,35.76,35.53,35.61,19455
1569852000000,35.59,35.66,35.43,35.66,18980
1569852900000,35.64,35.74,35.61,35.64,17362
1569853800000,35.64,35.7,35.64,35.67,11977
1569854700000,35.665,35.79,35.65,35.73,18670
1569855600000,35.71,35.71,35.52,35.56,15547
1569856500000,35.53,35.67,35.53,35.66,18765
