datetime,open,high,low,close,volume
1591968600000,15.87,15.87,15.15,15.78,222606
1591969500000,15.8599,16.35,15.79,16.27,215627
1591970400000,16.23,16.53,16.12,16.24,173067
1591971300000,16.3,16.55,16.24,16.3,135963
1591972200000,16.33,16.45,16.2,16.43,80422
1591973100000,16.4001,16.5699,15.94,15.94,77898
1591974000000,15.96,16.19,15.88,16.07,59187
1591974900000,16.08,16.11,15.7,15.9229,64957
1591975800000,15.93,15.9764,15.8,15.8334,41505
1591976700000,15.8301,16.12,15.8301,16.08,33110
1591977600000,16.08,16.21,16.0,16.06,47588
1591978500000,16.055,16.19,16.0,16.12,31063
1591979400000,16.13,16.155,15.94,15.94,30217
1591980300000,15.92,15.92,15.72,15.805,37474
1591981200000,15.82,15.84,15.65,15.75,42434
1591982100000,15.75,15.92,15.7095,15.88,44954
1591983000000,15.89,15.91,15.77,15.796,32981
1591983900000,15.8,15.83,15.59,15.62,34732
1591984800000,15.6001,15.82,15.6001,15.76,25793
1591985700000,15.77,15.84,15.7,15.79,23743
1591986600000,15.81,15.86,15.22,15.225,125707
1591987500000,15.225,15.48,15.225,15.35,74624
1591988400000,15.37,15.45,15.36,15.38,82215
1591989300000,15.37,15.42,15.16,15.23,100621
1591990200000,15.23,15.51,15.16,15.39,103908
1591991100000,15.4,15.58,15.39,15.435,271027
