datetime,open,high,low,close,volume
1591968600000,8.62,8.62,8.44,8.53,101996
1591969500000,8.55,8.63,8.45,8.61,70783
1591970400000,8.61,8.7,8.575,8.66,36081
1591971300000,8.66,8.67,8.595,8.615,29594
1591972200000,8.62,8.655,8.61,8.655,51444
1591973100000,8.65,8.67,8.51,8.55,35403
1591974000000,8.56,8.59,8.41,8.47,44184
1591974900000,8.48,8.52,8.37,8.475,23661
1591975800000,8.48,8.61,8.48,8.575,22570
1591976700000,8.58,8.656,8.56,8.656,12176
1591977600000,8.66,8.66,8.6029,8.61,14513
1591978500000,8.61,8.615,8.535,8.575,19131
1591979400000,8.575,8.6,8.535,8.535,21163
1591980300000,8.52,8.57,8.5,8.55,19070
1591981200000,8.57,8.57,8.5,8.53,22863
1591982100000,8.53,8.55,8.46,8.515,28528
1591983000000,8.51,8.53,8.43,8.45,29428
1591983900000,8.44,8.47,8.36,8.3699,55401
1591984800000,8.36,8.47,8.36,8.425,55704
1591985700000,8.43,8.5,8.4,8.485,28917
1591986600000,8.5,8.53,8.38,8.42,48115
1591987500000,8.43,8.49,8.41,8.48,23448
1591988400000,8.48,8.53,8.469,8.505,34629
1591989300000,8.51,8.52,8.435,8.47,34668
1591990200000,8.47,8.52,8.43,8.51,48161
1591991100000,8.51,8.64,8.5001,8.62,225189
