datetime,open,high,low,close,volume
1569504600000,16.96,16.98,16.96,16.98,1844
1569505500000,16.955,17.0,16.955,16.98,1100
1569506400000,17.0,17.11,17.0,17.11,1500
1569507300000,17.11,17.145,17.09,17.1,3696
1569508200000,17.07,17.15,17.07,17.11,3490
1569509100000,17.12,17.19,17.12,17.17,4988
1569510000000,17.16,17.2,17.1313,17.15,5067
1569510900000,17.13,17.16,17.13,17.15,5410
1569511800000,17.15,17.17,17.12,17.13,6322
1569512700000,17.16,17.16,17.11,17.15,5950
1569513600000,17.125,17.15,17.1,17.125,450
1569514500000,17.15,17.15,17.13,17.15,1100
1569515400000,17.13,17.14,17.13,17.14,200
1569516300000,17.13,17.15,17.13,17.15,900
1569517200000,17.11,17.14,17.11,17.13,900
1569518100000,17.13,17.15,17.11,17.15,2200
1569519000000,17.1258,17.15,17.1258,17.15,606
1569519900000,17.13,17.15,17.12,17.135,1380
1569520800000,17.14,17.15,17.12,17.15,1498
1569521700000,17.125,17.17,17.125,17.16,1801
1569522600000,17.13,17.17,17.07,17.11,12900
1569523500000,17.13,17.16,17.1203,17.14,900
1569524400000,17.14,17.15,17.13,17.14,1400
1569525300000,17.14,17.14,17.12,17.12,1000
1569526200000,17.12,17.135,17.11,17.11,1200
1569527100000,17.11,17.135,17.08,17.1,7176
1569591000000,17.04,17.23,17.04,17.22,11616
1569591900000,17.1691,17.25,17.15,17.15,3236
1569592800000,17.1552,17.18,17.12,17.14,766
1569593700000,17.14,17.18,17.14,17.18,1455
1569594600000,17.2,17.3,17.2,17.2173,5815
1569595500000,17.22,17.23,17.2001,17.23,1912
1569596400000,17.23,17.3,17.2,17.265,6410
1569597300000,17.26,17.32,17.25,17.255,11683
1569598200000,17.235,17.24,17.16,17.1851,5015
1569599100000,17.17,17.25,17.17,17.2072,1645
1569600000000,17.25,17.25,17.2,17.22,1709
1569600900000,17.21,17.22,17.18,17.22,1395
1569601800000,17.2,17.2,17.1185,17.15,6100
1569602700000,17.14,17.14,17.07,17.11,8562
1569603600000,17.085,17.23,17.085,17.16,7112
1569604500000,17.1501,17.19,17.1501,17.19,1100
1569605400000,17.17,17.21,17.17,17.2,1453
1569606300000,17.18,17.18,17.1501,17.165,900
1569607200000,17.16,17.2,17.16,17.2,700
1569608100000,17.17,17.2,17.17,17.2,1274
1569609000000,17.198,17.23,17.198,17.23,1500
1569609900000,17.22,17.23,17.21,17.23,2100
1569610800000,17.23,17.23,17.21,17.21,1358
1569611700000,17.22,17.22,17.21,17.22,1100
1569612600000,17.2065,17.28,17.2065,17.255,6648
1569613500000,17.27,17.3,17.25,17.29,9349
1569850200000,17.35,17.35,17.09,17.33,14668
1569851100000,17.33,17.33,17.27,17.2804,2526
1569852000000,17.27,17.38,17.27,17.35,9690
1569852900000,17.345,17.345,17.26,17.27,2274
1569853800000,17.25,17.27,17.18,17.25,6443
1569854700000,17.25,17.29,17.25,17.28,2185
1569855600000,17.2619,17.2619,17.18,17.18,3938
1569856500000,17.18,17.18,17.1401,17.1712,826
1569857400000,17.165,17.29,17.15,17.25,12511
1569858300000,17.25,17.25,17.21,17.2395,2467
1569859200000,17.24,17.28,17.2347,17.25,5900
