datetime,open,high,low,close,volume
1569504600000,50.85,51.12,50.7,50.98,17380
1569505500000,51.08,51.1,50.8,51.04,8500
1569506400000,51.0,51.09,50.91,51.05,8356
1569507300000,51.08,51.09,50.93,51.05,4200
1569508200000,51.01,51.1,50.96,51.05,5600
1569509100000,51.05,51.1,51.0,51.09,4418
1569510000000,51.08,51.12,51.02,51.05,2350
1569510900000,51.0,51.45,50.89,51.45,5583
1569511800000,51.38,51.6,51.34,51.525,5469
1569512700000,51.535,51.73,51.52,51.59,3300
1569513600000,51.59,51.85,51.59,51.85,5561
1569514500000,51.8851,51.93,51.79,51.93,2917
1569515400000,51.9286,51.9286,51.83,51.86,3444
1569516300000,51.8748,51.945,51.81,51.87,6132
1569517200000,51.88,51.9,51.645,51.665,30353
1569518100000,51.61,51.62,51.35,51.4625,3944
1569519000000,51.465,51.795,51.43,51.795,9985
1569519900000,51.795,51.9016,51.77,51.9016,1900
1569520800000,51.9158,52.17,51.87,51.955,5237
1569521700000,51.98,52.07,51.98,51.995,1566
1569522600000,51.995,52.07,51.995,52.0498,2000
1569523500000,52.08,52.12,51.98,51.98,4700
1569524400000,52.03,52.12,52.0166,52.09,7516
1569525300000,52.045,52.19,52.04,52.08,4759
1569526200000,52.12,52.28,52.0,52.005,9863
1569527100000,52.03,52.33,52.02,52.29,36612
1569591000000,52.38,52.64,51.85,52.34,5310
1569591900000,52.57,52.59,51.81,52.495,40382
1569592800000,52.27,52.49,52.19,52.3537,3600
1569593700000,52.35,52.95,52.35,52.95,20600
1569594600000,52.82,52.97,52.62,52.84,19499
1569595500000,52.885,52.99,52.63,52.7,3068
1569596400000,52.62,52.68,52.565,52.68,2582
1569597300000,52.67,52.67,52.45,52.67,8197
1569598200000,52.67,52.85,52.2446,52.53,3725
1569599100000,52.52,52.9,52.52,52.9,1100
1569600000000,52.8061,52.9,52.46,52.765,3800
1569600900000,52.83,52.93,52.7313,52.81,2650
1569601800000,52.8,52.94,52.8,52.935,3311
1569602700000,52.84,52.8629,52.695,52.71,14159
1569603600000,52.74,53.1,52.666,53.1,9517
1569604500000,53.15,53.19,52.995,53.05,2843
1569605400000,53.0,53.265,52.98,53.265,4743
1569606300000,53.265,53.48,53.085,53.405,3685
1569607200000,53.44,53.55,53.29,53.53,10743
1569608100000,53.53,53.59,53.1738,53.1738,7909
1569609000000,53.13,53.28,53.075,53.28,5672
1569609900000,53.25,53.5,53.19,53.36,24680
1569610800000,53.4,53.49,53.32,53.36,5443
1569611700000,53.38,53.5,53.32,53.5,8522
1569612600000,53.46,53.5,53.3,53.47,17104
1569613500000,53.49,53.77,53.41,53.77,43556
1569850200000,53.9,54.0,53.75,53.95,9091
1569851100000,54.0,55.69,54.0,55.25,36593
1569852000000,55.02,55.87,55.02,55.225,39040
1569852900000,55.32,55.32,55.0514,55.235,25403
1569853800000,55.235,55.5,55.2145,55.49,15015
1569854700000,55.49,55.64,55.3934,55.46,20078
1569855600000,55.53,55.8,55.5,55.6344,8030
1569856500000,55.62,55.69,55.5,55.585,29679
1569857400000,55.604,55.604,55.3517,55.4,24562
1569858300000,55.4,55.63,55.31,55.4932,23937
1569859200000,55.5,55.6571,55.3783,55.5099,21663
1569860100000,55.4904,55.705,55.45,55.65,12575
1569861000000,55.65,55.89,55.59,55.6905,11788
