datetime,open,high,low,close,volume
1569504600000,9.43,9.43,9.27,9.27,1302
1569505500000,9.28,9.3002,9.18,9.23,2454
1569506400000,9.23,9.23,9.12,9.13,1326
1569507300000,9.18,9.21,9.141,9.21,1950
1569508200000,9.1962,9.3,9.12,9.28,9092
1569509100000,9.2341,9.28,9.15,9.15,1852
1569510000000,9.15,9.17,9.03,9.03,1200
1569510900000,9.03,9.04,8.91,8.9896,11681
1569511800000,8.97,9.09,8.97,9.09,1876
1569512700000,9.04,9.13,9.01,9.13,5989
1569513600000,9.0942,9.1294,9.0942,9.11,650
1569514500000,9.1,9.13,9.09,9.09,400
1569515400000,9.1,9.2,9.02,9.2,9403
1569516300000,9.13,9.14,9.11,9.12,900
1569517200000,9.12,9.18,9.07,9.11,7350
1569518100000,9.1203,9.186,9.06,9.06,3766
1569519000000,9.085,9.19,9.085,9.17,3103
1569519900000,9.17,9.19,9.1425,9.16,1453
1569520800000,9.13,9.16,9.06,9.09,15584
1569521700000,9.065,9.1,9.0,9.0806,6138
1569522600000,9.1,9.125,9.01,9.105,5010
1569523500000,9.11,9.16,9.03,9.05,5762
1569524400000,9.12,9.17,9.06,9.09,4486
1569525300000,9.105,9.18,9.09,9.15,4136
1569526200000,9.15,9.25,9.09,9.25,11412
1569527100000,9.25,9.26,9.15,9.17,23707
1569591000000,9.17,9.17,9.17,9.17,739
1569591900000,9.14,9.14,8.86,9.12,8002
1569592800000,9.1,9.35,9.07,9.31,12738
1569593700000,9.32,9.33,9.25,9.27,2771
1569594600000,9.32,9.33,9.28,9.28,534
1569595500000,9.33,9.33,9.3,9.3,3200
1569596400000,9.25,9.25,9.21,9.21,200
1569597300000,9.17,9.36,9.17,9.36,5600
1569598200000,9.31,9.31,9.15,9.15,2860
1569599100000,9.15,9.15,9.15,9.15,100
1569600000000,9.15,9.21,9.1499,9.2096,1200
1569600900000,9.22,9.24,9.22,9.24,200
1569601800000,9.333,9.34,9.24,9.2996,4504
1569602700000,9.24,9.24,9.17,9.17,800
1569603600000,9.13,9.13,9.13,9.13,100
1569604500000,9.19,9.3,9.1896,9.3,3398
1569605400000,9.2684,9.32,9.25,9.27,3042
1569606300000,9.2,9.27,9.2,9.27,200
1569607200000,9.28,9.35,9.26,9.27,3100
1569608100000,9.3141,9.3141,9.25,9.25,1600
1569609000000,9.15,9.3,9.15,9.3,4697
1569609900000,9.31,9.315,9.16,9.19,2138
1569610800000,9.08,9.43,9.07,9.32,17449
1569611700000,9.34,9.48,9.34,9.47,7047
1569612600000,9.41,9.57,9.41,9.5,27762
1569613500000,9.525,9.64,9.5,9.56,23441
1569850200000,9.35,9.375,9.35,9.375,4903
1569851100000,9.415,9.51,9.415,9.51,2000
1569852000000,9.58,9.58,9.51,9.56,300
1569852900000,9.51,9.53,9.43,9.45,4259
1569853800000,9.45,9.45,9.42,9.45,700
1569854700000,9.45,9.48,9.42,9.48,3495
1569855600000,9.44,9.47,9.43,9.45,10359
1569856500000,9.44,9.47,9.39,9.39,13745
1569857400000,9.365,9.47,9.365,9.45,3263
1569858300000,9.4764,9.4764,9.42,9.42,3463
1569859200000,9.43,9.43,9.39,9.39,460
1569860100000,9.4,9.43,9.395,9.42,4491
1569861000000,9.445,9.445,9.4,9.42,1505
1569861900000,9.4,9.405,9.39,9.4,1045
1569862800000,9.39,9.43,9.38,9.39,11031
1569863700000,9.39,9.41,9.39,9.41,700
