datetime,open,high,low,close,volume
1569504600000,16.03,16.18,15.91,16.07,17183
1569505500000,16.0,16.02,15.93,15.93,800
1569506400000,15.97,16.02,15.83,15.99,10755
1569507300000,15.94,15.94,15.845,15.85,1700
1569508200000,15.85,15.89,15.83,15.87,8827
1569509100000,15.85,15.93,15.85,15.85,5030
1569510000000,15.85,15.87,15.58,15.67,43994
1569510900000,15.65,15.67,15.51,15.58,63788
1569511800000,15.575,15.575,15.4,15.4,37468
1569512700000,15.41,15.41,15.28,15.32,30161
1569513600000,15.29,15.31,15.246,15.25,11323
1569514500000,15.25,15.33,15.25,15.28,18175
1569515400000,15.28,15.435,15.28,15.3,24642
1569516300000,15.305,15.31,15.23,15.23,13191
1569517200000,15.265,15.28,15.23,15.25,9397
1569518100000,15.24,15.32,15.2,15.29,18202
1569519000000,15.29,15.29,15.23,15.25,9700
1569519900000,15.23,15.29,15.16,15.19,29132
1569520800000,15.2,15.23,15.12,15.15,11945
1569521700000,15.1706,15.23,15.16,15.16,15210
1569522600000,15.18,15.2105,15.14,15.14,7803
1569523500000,15.12,15.14,15.08,15.09,21495
1569524400000,15.08,15.13,15.065,15.11,18809
1569525300000,15.11,15.12,15.0,15.0,23474
1569526200000,15.01,15.03,15.0,15.01,66006
1569527100000,15.02,15.03,14.9,14.93,100801
1569591000000,14.98,15.235,14.97,15.15,15783
1569591900000,15.14,15.14,15.01,15.03,5150
1569592800000,15.04,15.2,15.03,15.15,16495
1569593700000,15.135,15.5,15.12,15.5,24577
1569594600000,15.43,15.55,15.4092,15.525,16522
1569595500000,15.51,15.565,15.48,15.5,12870
1569596400000,15.54,15.67,15.5295,15.5908,13881
1569597300000,15.59,15.67,15.58,15.61,13049
1569598200000,15.61,15.6443,15.39,15.55,9190
1569599100000,15.56,15.63,15.53,15.58,12504
1569600000000,15.565,15.565,15.47,15.48,6950
1569600900000,15.52,15.55,15.44,15.45,3500
1569601800000,15.44,15.46,15.38,15.38,7815
1569602700000,15.36,15.36,15.25,15.25,5715
1569603600000,15.24,15.27,15.15,15.17,13493
1569604500000,15.165,15.18,15.07,15.08,16382
1569605400000,15.07,15.11,15.07,15.1,6704
1569606300000,15.09,15.135,15.0,15.135,19150
1569607200000,15.13,15.14,15.04,15.1,4061
1569608100000,15.1,15.11,15.02,15.035,5296
1569609000000,15.035,15.035,14.93,14.95,18427
1569609900000,14.9442,14.97,14.93,14.965,17912
1569610800000,14.99,14.9912,14.95,14.95,9385
1569611700000,14.95,15.03,14.94,15.01,7048
1569612600000,15.0063,15.02,14.965,14.97,11648
1569613500000,14.97,15.0,14.93,14.975,25725
1569850200000,15.0,15.32,15.0,15.04,9601
1569851100000,15.03,15.2,15.03,15.07,7300
1569852000000,15.095,15.12,15.03,15.05,6527
1569852900000,15.04,15.04,14.96,14.965,3305
1569853800000,14.95,15.03,14.93,14.94,9413
1569854700000,14.93,14.98,14.93,14.96,5841
1569855600000,14.955,14.98,14.93,14.96,10971
1569856500000,14.94,15.02,14.92,14.99,12102
1569857400000,14.99,15.01,14.97,14.985,6800
1569858300000,14.97,14.975,14.94,14.96,4433
1569859200000,14.96,15.0,14.96,14.985,4185
1569860100000,14.99,15.02,14.98,14.98,15084
1569861000000,14.98,15.01,14.98,15.0,6734
1569861900000,14.99,15.0,14.97,14.995,10739
1569862800000,15.0,15.03,14.99,15.03,27908
1569863700000,15.03,15.1,15.015,15.1,11900
1569864600000,15.1,15.285,15.1,15.205,20965
1569865500000,15.205,15.26,15.07,15.09,41995
1569866400000,15.1,15.17,15.07,15.165,37008
1569867300000,15.165,15.19,15.15,15.155,9851
1569868200000,15.14,15.175,15.11,15.175,7694
1569869100000,15.175,15.175,15.11,15.13,3900
1569870000000,15.145,15.16,15.12,15.14,6021
1569870900000,15.14,15.14,15.09,15.11,9846
1569871800000,15.11,15.1299,15.07,15.09,8626
1569872700000,15.09,15.21,15.02,15.14,74656
1569936600000,15.26,15.4,15.16,15.305,28518
1569937500000,15.29,15.295,15.15,15.17,35929
1569938400000,15.17,15.195,14.65,14.68,51978
1569939300000,14.67,14.775,14.655,14.74,48285
1569940200000,14.78,14.85,14.66,14.7,17898
1569941100000,14.69,14.74,14.56,14.56,16564
1569942000000,14.575,14.61,14.49,14.5503,41490
1569942900000,14.55,14.61,14.51,14.6,7728
1569943800000,14.6,14.62,14.51,14.52,13947
1569944700000,14.52,14.55,14.41,14.43,10850
1569945600000,14.455,14.4553,14.32,14.32,14366
1569946500000,14.32,14.38,14.31,14.38,17814
1569947400000,14.38,14.4,14.2,14.21,31356
1569948300000,14.21,14.22,14.18,14.2,19868
1569949200000,14.19,14.2,13.92,13.92,92465
1569950100000,13.92,14.05,13.87,13.93,44432
1569951000000,13.93,14.0,13.89,13.98,14436
1569951900000,13.99,14.06,13.9,13.925,44681
1569952800000,13.91,13.915,13.84,13.915,23933
1569953700000,13.91,13.91,13.8,13.9,27292
1569954600000,13.9,13.92,13.85,13.905,22460
1569955500000,13.9,13.92,13.83,13.83,21312
1569956400000,13.85,13.855,13.76,13.77,16161
1569957300000,13.77,13.82,13.75,13.82,71435
1569958200000,13.8105,13.86,13.79,13.795,32268
1569959100000,13.795,13.82,13.72,13.8,80078
1570023000000,13.8,13.9,13.65,13.69,26332
1570023900000,13.73,13.84,13.58,13.785,11050
1570024800000,13.8223,14.05,13.76,14.05,25850
1570025700000,14.04,14.19,13.98,14.16,24935
1570026600000,14.13,14.2,14.02,14.17,18718
1570027500000,14.19,14.21,14.01,14.01,16907
1570028400000,13.985,14.035,13.985,14.03,9152
1570029300000,14.03,14.24,14.025,14.205,16613
1570030200000,14.22,14.32,14.18,14.235,25802
1570031100000,14.235,14.27,14.22,14.22,13287
1570032000000,14.23,14.23,14.09,14.105,9459
1570032900000,14.1,14.12,14.03,14.05,6457
1570033800000,14.04,14.15,14.04,14.085,7047
1570034700000,14.07,14.169,14.055,14.16,8167
1570035600000,14.16,14.24,14.14,14.2,6841
1570036500000,14.2,14.2,14.08,14.085,7729
1570037400000,14.085,14.12,14.06,14.11,7706
1570038300000,14.11,14.12,14.01,14.03,9376
1570039200000,14.02,14.04,13.95,13.975,7566
1570040100000,13.98,14.1,13.9725,14.07,6995
1570041000000,14.05,14.05,14.0,14.045,10045
1570041900000,14.055,14.08,14.03,14.08,7180
1570042800000,14.06,14.1,14.05,14.09,7859
1570043700000,14.09,14.125,14.0577,14.11,13850
1570044600000,14.11,14.1199,14.07,14.09,7183
1570045500000,14.07,14.14,14.045,14.14,27155
1570109400000,14.08,14.21,13.99,14.0,14415
1570110300000,14.05,14.08,13.96,13.98,9896
1570111200000,13.98,14.0,13.84,14.0,7590
1570112100000,13.985,14.025,13.87,13.9,6998
1570113000000,13.89,13.89,13.55,13.5766,51043
1570113900000,13.58,13.66,13.46,13.55,31681
1570114800000,13.56,13.65,13.45,13.49,27901
1570115700000,13.505,13.665,13.485,13.65,19271
1570116600000,13.645,13.66,13.45,13.46,16835
1570117500000,13.48,13.61,13.41,13.59,18253
1570118400000,13.6,13.61,13.53,13.605,14414
1570119300000,13.605,13.61,13.44,13.505,18917
1570120200000,13.505,13.69,13.48,13.69,20769
1570121100000,13.735,13.76,13.56,13.57,12739
1570122000000,13.58,13.63,13.52,13.6,5579
1570122900000,13.59,13.67,13.54,13.66,16937
1570123800000,13.66,13.68,13.61,13.66,6163
1570124700000,13.665,13.72,13.62,13.62,9055
1570125600000,13.59,13.64,13.485,13.49,24257
1570126500000,13.5,13.58,13.5,13.56,10601
1570127400000,13.55,13.84,13.5,13.755,28331
