datetime,open,high,low,close,volume
1569504600000,25.05,25.08,24.87,25.08,11388
1569505500000,25.1633,25.27,25.12,25.17,3755
1569506400000,25.22,25.26,25.1,25.215,9668
1569507300000,25.195,25.2,24.98,25.03,4811
1569508200000,25.0,25.13,24.99,25.05,7908
1569509100000,25.06,25.12,25.03,25.07,7520
1569510000000,25.05,25.07,24.84,24.93,7789
1569510900000,24.87,24.92,24.77,24.83,8372
1569511800000,24.845,24.86,24.8,24.855,7217
1569512700000,24.855,24.89,24.79,24.81,23574
1569513600000,24.8,24.82,24.61,24.75,12196
1569514500000,24.78,24.91,24.775,24.9,4712
1569515400000,24.885,24.93,24.82,24.86,6842
1569516300000,24.855,24.92,24.82,24.9,4332
1569517200000,24.91,24.96,24.8,24.83,4532
1569518100000,24.82,24.82,24.76,24.81,3136
1569519000000,24.815,25.0,24.815,25.0,5235
1569519900000,25.03,25.06,24.96,25.03,7075
1569520800000,25.039,25.145,25.03,25.1,7293
1569521700000,25.1,25.13,25.02,25.04,6385
1569522600000,25.08,25.09,25.03,25.03,2400
1569523500000,24.98,25.03,24.96,25.0,3695
1569524400000,25.05,25.05,24.98,25.01,5163
1569525300000,24.995,25.12,24.98,25.09,9208
1569526200000,25.06,25.09,25.02,25.02,7443
1569527100000,25.02,25.03,24.87,24.9,28818
1569591000000,24.91,25.02,24.91,25.02,1699
1569591900000,25.0841,25.15,24.76,24.76,53879
1569592800000,24.75,24.88,24.71,24.88,12620
1569593700000,24.83,24.9,24.78,24.87,6897
1569594600000,24.905,25.0,24.905,24.965,25318
1569595500000,24.94,24.97,24.91,24.97,3735
1569596400000,25.0,25.0225,24.69,24.75,13939
1569597300000,24.75,24.92,24.66,24.83,13496
1569598200000,24.85,24.85,24.64,24.715,6800
1569599100000,24.71,24.93,24.71,24.78,3106
1569600000000,24.73,24.86,24.72,24.84,5400
1569600900000,24.87,24.9,24.81,24.88,7381
1569601800000,24.85,24.93,24.79,24.85,5515
1569602700000,24.8469,24.88,24.7,24.7,4389
1569603600000,24.75,24.82,24.7,24.82,3724
1569604500000,24.77,24.85,24.77,24.79,15164
1569605400000,24.81,24.89,24.785,24.85,2424
1569606300000,24.835,24.87,24.82,24.85,1901
1569607200000,24.87,25.0,24.87,25.0,6312
1569608100000,24.95,25.0,24.93,24.96,9581
1569609000000,24.95,24.9525,24.84,24.84,5210
1569609900000,24.8,24.8,24.62,24.653,3375
1569610800000,24.66,24.71,24.6,24.65,7173
1569611700000,24.67,24.82,24.67,24.77,4436
1569612600000,24.76,24.8,24.72,24.73,5116
1569613500000,24.72,24.725,24.47,24.54,34440
1569850200000,24.44,24.44,24.26,24.34,2177
1569851100000,24.355,24.73,24.355,24.46,15703
1569852000000,24.505,24.5399,24.33,24.3875,9529
1569852900000,24.38,24.465,24.19,24.39,10704
1569853800000,24.37,24.41,24.26,24.28,4300
1569854700000,24.255,24.3899,24.17,24.34,5974
1569855600000,24.3304,24.36,24.27,24.34,5218
1569856500000,24.3,24.36,24.25,24.31,4656
1569857400000,24.34,24.43,24.31,24.32,5185
1569858300000,24.32,24.34,24.25,24.32,2300
1569859200000,24.35,24.5,24.35,24.47,4679
1569860100000,24.46,24.655,24.41,24.645,9928
1569861000000,24.645,24.66,24.6,24.645,3323
1569861900000,24.63,24.6585,24.61,24.6219,3760
1569862800000,24.62,24.7,24.62,24.7,2912
1569863700000,24.7,24.73,24.58,24.61,4602
1569864600000,24.61,24.705,24.61,24.705,3111
1569865500000,24.69,24.85,24.69,24.85,4964
1569866400000,24.86,24.88,24.81,24.83,2723
1569867300000,24.84,25.0,24.83,24.91,16363
