datetime,open,high,low,close,volume
1569504600000,24.18,24.2,23.78,24.0,9128
1569505500000,23.94,23.94,23.84,23.84,900
1569506400000,23.895,24.07,23.81,24.0237,39694
1569507300000,24.03,24.1,23.97,24.1,14512
1569508200000,24.1,24.265,24.1,24.235,10548
1569509100000,24.23,24.38,24.19,24.19,5900
1569510000000,24.1,24.1,23.96,24.07,11785
1569510900000,24.04,24.07,23.87,24.02,35710
1569511800000,24.03,24.13,23.95,24.03,9272
1569512700000,24.05,24.08,23.905,24.01,18979
1569513600000,24.0,24.15,23.97,24.13,7097
1569514500000,24.11,24.31,24.11,24.3,23054
1569515400000,24.275,24.43,24.25,24.35,87388
1569516300000,24.35,24.44,24.275,24.41,120053
1569517200000,24.41,24.7,24.4,24.63,30024
1569518100000,24.65,24.815,24.59,24.77,21498
1569519000000,24.74,24.82,24.72,24.76,5100
1569519900000,24.73,24.83,24.7,24.83,10600
1569520800000,24.8,24.83,24.59,24.65,9401
1569521700000,24.665,24.73,24.55,24.55,3957
1569522600000,24.59,24.67,24.58,24.65,3465
1569523500000,24.635,24.74,24.59,24.71,4500
1569524400000,24.71,24.79,24.64,24.64,8500
1569525300000,24.64,24.75,24.62,24.735,8803
1569526200000,24.74,24.83,24.71,24.83,10725
1569527100000,24.83,24.93,24.6,24.71,76575
1569591000000,24.63,25.04,24.44,24.85,38284
1569591900000,24.855,24.99,24.64,24.83,36570
1569592800000,24.815,25.0,24.8,24.88,10268
1569593700000,24.905,25.09,24.725,25.03,18913
1569594600000,25.07,25.19,25.05,25.1,14825
1569595500000,25.1,25.26,25.06,25.26,8538
1569596400000,25.29,25.34,25.18,25.26,9602
1569597300000,25.3,25.32,25.18,25.21,9558
1569598200000,25.21,25.28,25.13,25.23,32042
1569599100000,25.25,25.32,25.08,25.21,10578
1569600000000,25.1,25.12,24.98,25.01,35660
1569600900000,25.01,25.06,24.97,25.01,12009
1569601800000,25.01,25.03,24.81,24.85,19348
1569602700000,24.85,24.91,24.84,24.85,22020
1569603600000,24.85,24.98,24.84,24.92,9821
1569604500000,24.895,24.895,24.5723,24.5723,30125
1569605400000,24.54,24.625,24.47,24.56,11798
1569606300000,24.57,24.62,24.49,24.605,6700
1569607200000,24.605,24.605,24.54,24.55,8305
1569608100000,24.54,24.56,24.39,24.465,13608
1569609000000,24.46,24.5,24.26,24.33,42379
1569609900000,24.3,24.445,24.195,24.425,187618
1569610800000,24.415,24.61,24.3,24.32,64245
1569611700000,24.32,24.42,24.16,24.205,25131
1569612600000,24.21,24.26,24.16,24.19,16791
1569613500000,24.19,24.29,24.11,24.29,73941
1569850200000,24.26,24.26,23.68,23.93,23660
1569851100000,23.89,24.045,23.89,24.0175,7477
1569852000000,23.96,24.08,23.925,24.02,17632
1569852900000,24.05,24.06,23.93,23.97,25893
1569853800000,23.975,24.07,23.96,24.02,33064
1569854700000,24.02,24.02,23.525,23.59,30909
1569855600000,23.63,23.7,23.472,23.49,22489
1569856500000,23.49,23.64,23.49,23.6,19006
1569857400000,23.62,23.68,23.54,23.62,65740
1569858300000,23.62,23.64,23.45,23.535,40517
1569859200000,23.52,23.69,23.48,23.655,36777
1569860100000,23.63,23.73,23.525,23.725,30618
1569861000000,23.75,23.79,23.68,23.79,7845
1569861900000,23.79,23.79,23.61,23.66,9479
1569862800000,23.655,23.69,23.6,23.675,6300
1569863700000,23.7,23.715,23.59,23.715,16978
1569864600000,23.72,24.05,23.72,23.995,39788
1569865500000,23.97,24.2,23.97,24.185,14082
1569866400000,24.19,24.32,24.19,24.2925,6763
1569867300000,24.31,24.37,24.22,24.22,7700
1569868200000,24.21,24.21,24.065,24.16,6984
1569869100000,24.14,24.155,24.085,24.12,4700
1569870000000,24.11,24.15,24.03,24.05,7100
1569870900000,24.05,24.13,24.04,24.11,10263
1569871800000,24.105,24.105,23.93,23.93,97133
1569872700000,23.93,24.11,23.83,23.96,199908
1569936600000,24.02,24.4782,23.97,24.405,29036
1569937500000,24.5002,24.82,24.5002,24.62,10112
1569938400000,24.55,24.72,24.27,24.32,33333
1569939300000,24.35,24.455,24.27,24.41,37617
1569940200000,24.36,24.45,24.27,24.415,31471
1569941100000,24.403,24.61,24.33,24.37,27510
1569942000000,24.36,24.63,24.25,24.57,35792
1569942900000,24.54,24.63,24.3,24.555,60899
1569943800000,24.52,24.68,24.38,24.65,89013
1569944700000,24.68,24.68,24.45,24.61,80011
1569945600000,24.6,24.6,24.1,24.1,45694
1569946500000,24.1263,24.25,24.11,24.11,6551
1569947400000,24.09,24.25,24.03,24.24,39445
1569948300000,24.2194,24.29,23.92,24.05,20827
1569949200000,24.0,24.06,23.85,23.85,25399
1569950100000,23.86,23.98,23.82,23.95,13864
1569951000000,23.92,24.0,23.77,23.77,17269
1569951900000,23.725,23.81,23.56,23.56,13794
1569952800000,23.52,23.55,23.21,23.4,18511
1569953700000,23.395,23.395,23.25,23.3,6594
1569954600000,23.3,23.38,23.25,23.34,12000
1569955500000,23.35,23.46,23.28,23.35,16668
1569956400000,23.36,23.405,23.23,23.27,37423
1569957300000,23.25,23.28,23.12,23.195,21573
1569958200000,23.18,23.2,23.095,23.16,59560
1569959100000,23.15,23.185,22.87,22.92,79397
1570023000000,22.6,22.66,22.3,22.4,28822
1570023900000,22.35,22.35,21.71,21.98,97004
1570024800000,21.96,22.1,21.83,22.0,18602
1570025700000,22.0,22.07,21.85,21.901,19526
1570026600000,21.9,22.0,21.7,21.95,13474
1570027500000,21.95,22.01,21.77,22.0,14833
1570028400000,22.025,22.18,21.97,22.08,28792
1570029300000,22.09,22.46,22.06,22.43,12650
1570030200000,22.45,22.5,22.25,22.26,17000
1570031100000,22.23,22.245,22.1,22.16,26662
1570032000000,22.13,22.18,22.07,22.095,4461
1570032900000,22.07,22.1,21.98,22.01,10903
1570033800000,22.005,22.1,21.98,22.03,10450
1570034700000,22.04,22.04,21.85,21.85,15916
1570035600000,21.854,22.07,21.82,22.06,21211
1570036500000,22.04,22.05,21.95,21.99,7900
1570037400000,21.99,21.99,21.88,21.91,9970
1570038300000,21.915,22.09,21.86,21.94,17425
1570039200000,21.94,21.98,21.89,21.91,9962
1570040100000,21.92,22.06,21.915,22.02,6100
1570041000000,22.02,22.065,21.99,22.015,9900
1570041900000,22.015,22.1,22.0,22.07,8600
1570042800000,22.08,22.19,22.035,22.16,16064
1570043700000,22.15,22.15,22.06,22.07,13276
1570044600000,22.07,22.15,22.04,22.12,18863
1570045500000,22.12,22.14,22.04,22.13,57357
1570109400000,22.11,22.12,21.8962,22.0,7552
1570110300000,22.0,22.28,21.95,22.08,6700
1570111200000,22.08,22.08,21.6,21.7,24289
1570112100000,21.69,21.8898,21.65,21.84,34957
1570113000000,21.77,21.87,21.64,21.7,8756
1570113900000,21.7,21.84,21.655,21.79,21254
1570114800000,21.78,22.1,21.76,22.1,26845
1570115700000,22.075,22.2,22.01,22.115,13554
1570116600000,22.115,22.14,21.91,21.99,12892
1570117500000,21.98,22.045,21.93,22.01,25471
1570118400000,22.01,22.16,22.01,22.16,6159
1570119300000,22.2,22.31,22.03,22.24,9812
1570120200000,22.32,22.45,22.22,22.34,13824
1570121100000,22.34,22.4,22.31,22.31,9643
1570122000000,22.325,22.53,22.31,22.53,21119
1570122900000,22.52,22.6,22.51,22.555,6538
1570123800000,22.555,22.66,22.47,22.66,6500
1570124700000,22.64,22.76,22.64,22.66,5500
1570125600000,22.62,22.67,22.6,22.65,5594
1570126500000,22.67,22.81,22.67,22.77,8500
1570127400000,22.735,22.75,22.61,22.7,5421
1570128300000,22.7,22.8,22.66,22.785,6730
1570129200000,22.785,22.82,22.67,22.71,10516
1570130100000,22.7,22.86,22.69,22.81,22329
1570131000000,22.81,22.91,22.7,22.885,22436
1570131900000,22.885,22.92,22.755,22.89,36282
1570195800000,23.1,23.52,23.1,23.23,7521
1570196700000,23.33,23.42,23.18,23.4,2300
1570197600000,23.38,23.38,22.92,23.01,3643
1570198500000,23.0,23.06,22.91,23.06,5019
1570199400000,23.0349,23.0349,22.85,22.85,5615
1570200300000,22.82,23.06,22.82,22.85,9184
1570201200000,22.85,22.95,22.82,22.865,7216
1570202100000,22.82,22.97,22.82,22.97,4500
1570203000000,23.0281,23.14,23.015,23.14,5000
1570203900000,23.12,23.2,23.01,23.08,21154
1570204800000,23.0506,23.22,23.01,23.1302,19458
1570205700000,23.14,23.23,23.11,23.23,1100
1570206600000,23.22,23.32,23.21,23.24,4544
1570207500000,23.26,23.26,23.23,23.26,4116
1570208400000,23.27,23.34,23.23,23.24,5354
1570209300000,23.24,23.32,23.24,23.28,3858
1570210200000,23.27,23.29,23.23,23.25,4400
1570211100000,23.26,23.285,23.23,23.27,6100
1570212000000,23.25,23.32,23.24,23.32,6697
1570212900000,23.31,23.34,23.295,23.31,2000
1570213800000,23.31,23.33,23.3,23.3,1400
1570214700000,23.3,23.42,23.3,23.42,5522
1570215600000,23.425,23.425,23.3,23.3,3600
1570216500000,23.3,23.34,23.29,23.3,13361
1570217400000,23.335,23.41,23.335,23.41,2400
1570218300000,23.4,23.48,23.34,23.44,25769
1570455000000,23.26,23.63,23.26,23.52,7923
1570455900000,23.41,23.44,23.145,23.265,5045
1570456800000,23.17,23.295,23.125,23.25,3906
1570457700000,23.335,23.36,23.26,23.34,2400
1570458600000,23.3,23.4,23.2407,23.34,7354
1570459500000,23.29,23.485,23.25,23.47,4625
1570460400000,23.53,23.54,23.485,23.485,5552
1570461300000,23.5,23.5,23.44,23.46,2400
1570462200000,23.43,23.535,23.37,23.535,8840
1570463100000,23.53,23.64,23.5,23.64,3998
1570464000000,23.64,23.65,23.54,23.64,8785
1570464900000,23.68,23.75,23.53,23.53,3320
1570465800000,23.53,23.65,23.53,23.65,3500
1570466700000,23.63,23.66,23.62,23.65,1200
1570467600000,23.63,23.63,23.5,23.51,2054
1570468500000,23.51,23.65,23.5,23.65,9702
1570469400000,23.634,23.83,23.63,23.8,4900
1570470300000,23.75,23.805,23.73,23.805,2134
1570471200000,23.78,23.83,23.68,23.795,10476
1570472100000,23.82,23.89,23.78,23.8,6807
1570473000000,23.78,23.8,23.7,23.77,21222
1570473900000,23.75,23.81,23.65,23.7,12658
1570474800000,23.74,23.805,23.72,23.7936,10178
1570475700000,23.76,23.8,23.7,23.71,8906
1570476600000,23.715,23.735,23.66,23.68,45120
1570477500000,23.67,23.745,23.55,23.64,83092
1570541400000,23.51,23.51,23.07,23.07,23192
1570542300000,23.18,23.31,23.01,23.045,13308
1570543200000,23.065,23.08,22.91,23.08,76689
1570544100000,23.075,23.15,23.055,23.1,3654
1570545000000,23.11,23.25,23.095,23.19,6154
1570545900000,23.16,23.31,23.14,23.28,11113
1570546800000,23.26,23.3,23.22,23.25,11437
1570547700000,23.29,23.32,23.23,23.25,10379
1570548600000,23.25,23.29,23.1805,23.215,13237
1570549500000,23.23,23.28,23.2,23.28,12681
1570550400000,23.3,23.31,23.26,23.26,1300
1570551300000,23.3,23.44,23.3,23.355,5242
1570552200000,23.3,23.36,23.27,23.36,3231
1570553100000,23.4,23.45,23.3,23.33,3526
1570554000000,23.34,23.37,23.3,23.37,12504
1570554900000,23.34,23.51,23.31,23.51,29710
1570555800000,23.46,23.56,23.41,23.54,30774
1570556700000,23.54,23.63,23.48,23.63,25193
1570557600000,23.62,23.625,23.38,23.46,25070
1570558500000,23.45,23.53,23.42,23.47,6286
1570559400000,23.49,23.72,23.47,23.7,9901
1570560300000,23.67,23.74,23.52,23.635,18296
1570561200000,23.58,23.58,23.45,23.46,17758
1570562100000,23.47,23.52,23.45,23.485,11488
1570563000000,23.47,23.5,23.33,23.38,11343
1570563900000,23.39,23.39,23.26,23.3,52220
1570627800000,23.61,23.61,23.39,23.395,5518
1570628700000,23.435,23.87,23.27,23.7105,86122
1570629600000,23.7,23.81,23.61,23.61,6248
1570630500000,23.665,23.81,23.52,23.68,84772
1570631400000,23.74,23.8,23.71,23.73,5700
1570632300000,23.71,23.96,23.665,23.96,9035
1570633200000,23.98,24.1,23.9007,24.04,10311
1570634100000,24.02,24.3,24.02,24.18,14546
1570635000000,24.2,24.27,24.13,24.26,13571
1570635900000,24.26,24.36,24.24,24.24,3235
1570636800000,24.245,24.33,24.24,24.3,8300
1570637700000,24.27,24.35,24.26,24.32,11850
1570638600000,24.32,24.44,24.32,24.385,4600
1570639500000,24.37,24.39,24.25,24.38,17684
1570640400000,24.4,24.51,24.32,24.37,9149
1570641300000,24.36,24.4,24.325,24.4,2200
1570642200000,24.37,24.37,24.23,24.28,6352
1570643100000,24.28,24.35,24.28,24.35,2812
1570644000000,24.33,24.5,24.32,24.395,6558
1570644900000,24.38,24.43,24.36,24.39,4245
1570645800000,24.43,24.47,24.4,24.45,6265
1570646700000,24.45,24.45,24.36,24.395,4199
1570647600000,24.41,24.45,24.37,24.45,5233
1570648500000,24.48,24.515,24.425,24.5,5678
1570649400000,24.529,24.66,24.5176,24.55,22835
1570650300000,24.54,24.69,24.51,24.58,53769
1570714200000,24.43,24.88,24.32,24.705,18744
1570715100000,24.71,24.73,24.59,24.73,5125
1570716000000,24.67,24.735,24.36,24.4,6036
1570716900000,24.435,24.64,24.435,24.52,10272
1570717800000,24.48,24.48,24.31,24.375,11110
1570718700000,24.4,24.46,24.28,24.45,5700
1570719600000,24.47,24.57,24.44,24.49,30911
1570720500000,24.5,24.6,24.46,24.5,9842
1570721400000,24.5,24.65,24.485,24.615,12250
1570722300000,24.62,24.63,24.45,24.47,15032
1570723200000,24.43,24.49,24.34,24.48,13410
1570724100000,24.49,24.49,24.37,24.44,13498
1570725000000,24.41,24.425,24.38,24.42,3500
1570725900000,24.43,24.445,24.37,24.445,6222
1570726800000,24.47,24.48,24.345,24.43,15399
1570727700000,24.38,24.42,24.33,24.35,8191
1570728600000,24.34,24.4,24.31,24.34,4646
1570729500000,24.365,24.49,24.365,24.4599,6246
