datetime,open,high,low,close,volume
1569504600000,12.4,12.43,12.26,12.43,1844
1569505500000,12.395,12.395,12.32,12.375,1670
1569506400000,12.42,12.49,12.4,12.49,5328
1569507300000,12.48,12.48,12.4,12.43,2700
1569508200000,12.48,12.5,12.45,12.46,9636
1569509100000,12.43,12.53,12.42,12.45,42659
1569510000000,12.45,12.45,12.31,12.32,7500
1569510900000,12.3,12.3,12.24,12.245,2989
1569511800000,12.25,12.28,12.25,12.27,1144
1569512700000,12.27,12.3,12.26,12.26,3500
1569513600000,12.25,12.275,12.14,12.23,28112
1569514500000,12.24,12.285,12.24,12.285,1900
1569515400000,12.27,12.27,12.245,12.245,600
1569516300000,12.22,12.22,12.18,12.18,1600
1569517200000,12.18,12.2,12.15,12.15,1200
1569518100000,12.15,12.16,12.12,12.13,1400
1569519000000,12.135,12.18,12.135,12.17,1800
1569519900000,12.155,12.19,12.155,12.19,1000
1569520800000,12.2,12.21,12.19,12.21,2217
1569521700000,12.22,12.25,12.22,12.24,1800
1569522600000,12.24,12.26,12.24,12.25,2100
1569523500000,12.25,12.27,12.23,12.23,2500
1569524400000,12.24,12.25,12.23,12.25,3766
1569525300000,12.24,12.255,12.225,12.25,3850
1569526200000,12.25,12.26,12.235,12.24,8853
1569527100000,12.25,12.265,12.22,12.24,17218
1569591000000,12.18,12.2,12.135,12.2,3580
1569591900000,12.16,12.26,12.05,12.06,3100
1569592800000,12.08,12.139,12.075,12.1185,11175
1569593700000,12.0769,12.14,12.05,12.08,14450
1569594600000,12.08,12.24,12.05,12.24,57406
1569595500000,12.26,12.28,12.18,12.215,2978
1569596400000,12.24,12.24,12.23,12.23,700
1569597300000,12.18,12.21,12.18,12.19,1115
1569598200000,12.2,12.23,12.05,12.15,4567
1569599100000,12.13,12.17,12.05,12.12,11356
1569600000000,12.115,12.115,12.075,12.105,600
1569600900000,12.12,12.12,12.05,12.08,1800
1569601800000,12.05,12.07,12.05,12.05,3000
1569602700000,12.06,12.07,11.87,11.905,13555
1569603600000,11.885,11.95,11.885,11.95,3995
1569604500000,11.94,11.94,11.83,11.92,8396
1569605400000,11.91,11.94,11.85,11.87,3600
1569606300000,11.86,11.9,11.82,11.875,3100
1569607200000,11.88,11.88,11.81,11.84,1496
1569608100000,11.81,11.81,11.76,11.76,1760
1569609000000,11.74,11.75,11.72,11.72,2918
1569609900000,11.71,11.73,11.68,11.72,7230
1569610800000,11.73,11.74,11.7,11.7,3200
1569611700000,11.7,11.77,11.7,11.76,1800
1569612600000,11.76,11.795,11.76,11.78,3100
1569613500000,11.785,11.81,11.73,11.785,20449
1569850200000,11.83,11.8499,11.71,11.76,1329
1569851100000,11.73,11.79,11.7,11.72,3740
1569852000000,11.69,11.72,11.66,11.71,2000
1569852900000,11.73,11.73,11.73,11.73,100
1569853800000,11.7,11.7,11.59,11.6,5180
1569854700000,11.6,11.66,11.6,11.66,3968
1569855600000,11.66,11.71,11.64,11.66,3380
1569856500000,11.68,11.71,11.64,11.68,2224
1569857400000,11.68,11.68,11.63,11.665,1500
1569858300000,11.685,11.685,11.63,11.63,1700
1569859200000,11.64,11.705,11.64,11.68,2531
1569860100000,11.6711,11.75,11.6711,11.75,4200
1569861000000,11.765,11.8,11.73,11.74,1700
1569861900000,11.72,11.73,11.7,11.72,1900
1569862800000,11.715,11.73,11.715,11.73,1300
1569863700000,11.725,11.725,11.71,11.72,2800
1569864600000,11.71,11.72,11.71,11.72,600
1569865500000,11.73,11.76,11.73,11.76,2600
1569866400000,11.74,11.77,11.74,11.77,1500
1569867300000,11.78,11.79,11.775,11.79,800
1569868200000,11.8,11.8,11.78,11.8,1255
1569869100000,11.81,11.81,11.76,11.775,1700
1569870000000,11.77,11.77,11.72,11.76,3824
1569870900000,11.76,11.8,11.76,11.775,3208
1569871800000,11.775,11.78,11.74,11.75,3070
1569872700000,11.75,11.75,11.68,11.68,20294
1569936600000,11.75,12.0335,11.75,12.0,4252
1569937500000,12.03,12.03,11.95,11.96,2908
1569938400000,11.76,11.76,11.71,11.71,1067
1569939300000,11.69,11.73,11.62,11.62,1300
1569940200000,11.65,11.71,11.61,11.61,3675
1569941100000,11.61,11.63,11.55,11.58,5119
1569942000000,11.58,11.6,11.58,11.5801,1100
1569942900000,11.57,11.62,11.56,11.62,1550
1569943800000,11.62,11.63,11.58,11.58,1300
1569944700000,11.58,11.58,11.52,11.58,2600
1569945600000,11.57,11.57,11.51,11.51,800
1569946500000,11.51,11.54,11.5,11.525,1700
1569947400000,11.48,11.5,11.48,11.49,600
1569948300000,11.48,11.505,11.45,11.45,2400
1569949200000,11.43,11.43,11.36,11.36,1600
1569950100000,11.38,11.39,11.33,11.37,4300
1569951000000,11.37,11.37,11.31,11.35,4100
1569951900000,11.33,11.34,11.28,11.3,4600
1569952800000,11.3,11.34,11.29,11.33,2600
1569953700000,11.32,11.33,11.29,11.32,2578
1569954600000,11.32,11.35,11.32,11.34,2000
1569955500000,11.35,11.39,11.34,11.35,2400
1569956400000,11.36,11.41,11.34,11.37,4850
1569957300000,11.36,11.4,11.36,11.38,4620
1569958200000,11.38,11.38,11.35,11.37,5623
1569959100000,11.38,11.38,11.31,11.315,17360
1570023000000,11.2,11.26,10.66,11.24,13199
1570023900000,11.27,11.29,11.22,11.23,2300
1570024800000,11.16,11.31,11.16,11.31,2100
1570025700000,11.37,11.37,11.28,11.29,1200
1570026600000,11.18,11.2,11.14,11.16,2400
1570027500000,11.14,11.25,11.11,11.19,4505
1570028400000,11.24,11.24,11.15,11.19,1730
1570029300000,11.19,11.23,11.18,11.2,1500
1570030200000,11.21,11.21,11.15,11.16,600
1570031100000,11.17,11.187,11.13,11.187,3200
1570032000000,11.16,11.19,11.16,11.17,1500
1570032900000,11.17,11.2,11.14,11.19,15658
1570033800000,11.19,11.22,11.17,11.17,2400
1570034700000,11.19,11.2,11.18,11.2,1200
