datetime,open,high,low,close,volume
1569504600000,3.87,3.88,3.82,3.824,9192
1569505500000,3.81,3.94,3.8,3.9,65498
1569506400000,3.9,3.95,3.81,3.93,92275
1569507300000,3.9,3.94,3.87,3.9,24491
1569508200000,3.9,3.94,3.9,3.91,10100
1569509100000,3.92,4.13,3.92,4.1128,89411
1569510000000,4.11,4.11,4.0,4.04,24436
1569510900000,4.0257,4.04,3.96,4.01,31283
1569511800000,3.99,4.0088,3.98,4.0,8742
1569512700000,4.0,4.0,3.92,3.92,25783
1569513600000,3.92,3.98,3.92,3.96,9702
1569514500000,3.95,3.95,3.93,3.93,1300
1569515400000,3.93,3.94,3.9138,3.915,3373
1569516300000,3.91,3.91,3.86,3.88,12059
1569517200000,3.8777,3.91,3.87,3.9086,13773
1569518100000,3.91,3.91,3.86,3.86,1800
1569519000000,3.865,3.8687,3.83,3.85,14333
1569519900000,3.85,3.86,3.83,3.83,3264
1569520800000,3.83,3.85,3.83,3.83,6500
1569521700000,3.83,3.85,3.83,3.84,5800
1569522600000,3.85,3.91,3.85,3.8925,27299
1569523500000,3.885,3.915,3.83,3.9,66329
1569524400000,3.91,4.0,3.91,3.94,82306
1569525300000,3.92,3.96,3.88,3.91,41865
1569526200000,3.9,3.92,3.87,3.87,10210
1569527100000,3.87,3.88,3.83,3.83,21463
1569591000000,3.88,3.88,3.82,3.83,17658
1569591900000,3.835,3.84,3.82,3.84,7654
1569592800000,3.8253,3.91,3.82,3.88,28161
1569593700000,3.88,4.04,3.88,3.9702,71345
1569594600000,3.96,3.99,3.85,3.85,31698
1569595500000,3.85,3.9,3.85,3.88,2674
1569596400000,3.89,3.9,3.85,3.86,9120
1569597300000,3.86,3.9,3.86,3.86,6766
1569598200000,3.85,3.86,3.75,3.7771,19974
1569599100000,3.78,3.87,3.75,3.86,47818
1569600000000,3.87,3.88,3.78,3.81,36086
1569600900000,3.8104,3.88,3.8,3.85,77379
1569601800000,3.84,3.88,3.78,3.82,36679
1569602700000,3.78,3.78,3.6571,3.7,53577
1569603600000,3.7,3.7,3.68,3.69,4530
1569604500000,3.69,3.7448,3.6715,3.735,19329
1569605400000,3.74,3.77,3.73,3.755,6749
1569606300000,3.755,3.76,3.725,3.7461,12593
1569607200000,3.755,3.765,3.705,3.705,5910
1569608100000,3.705,3.705,3.67,3.675,7774
1569609000000,3.675,3.69,3.65,3.66,11600
1569609900000,3.66,3.71,3.65,3.66,8961
1569610800000,3.65,3.6862,3.65,3.6752,2100
1569611700000,3.675,3.7,3.66,3.68,10100
1569612600000,3.69,3.7,3.68,3.685,2460
1569613500000,3.7,3.71,3.67,3.68,6952
1569850200000,3.68,3.7,3.52,3.5822,36911
1569851100000,3.58,3.64,3.55,3.605,8896
1569852000000,3.605,3.6156,3.53,3.6,20201
1569852900000,3.6,3.6,3.53,3.57,15122
1569853800000,3.55,3.57,3.5301,3.57,7177
1569854700000,3.55,3.57,3.44,3.48,48343
1569855600000,3.48,3.52,3.465,3.52,11625
1569856500000,3.5001,3.52,3.49,3.51,4876
1569857400000,3.52,3.525,3.51,3.525,7400
1569858300000,3.5101,3.5277,3.5005,3.5005,9150
1569859200000,3.512,3.512,3.48,3.48,6785
1569860100000,3.48,3.5,3.45,3.5,18020
1569861000000,3.485,3.5,3.475,3.4915,2900
1569861900000,3.49,3.54,3.485,3.525,12374
1569862800000,3.525,3.54,3.515,3.515,11374
1569863700000,3.515,3.54,3.515,3.531,2772
1569864600000,3.53,3.59,3.51,3.586,43215
1569865500000,3.5892,3.63,3.57,3.63,13644
1569866400000,3.64,3.69,3.54,3.54,82783
1569867300000,3.54,3.7,3.52,3.66,95912
1569868200000,3.67,3.71,3.645,3.65,49637
1569869100000,3.65,3.65,3.605,3.605,2588
1569870000000,3.6,3.605,3.585,3.59,9261
1569870900000,3.58,3.61,3.54,3.58,44858
1569871800000,3.57,3.58,3.53,3.58,5321
1569872700000,3.56,3.61,3.55,3.5615,31925
1569936600000,3.6,3.7611,3.58,3.75,74960
1569937500000,3.74,3.77,3.67,3.6773,78500
1569938400000,3.66,3.67,3.59,3.59,54448
1569939300000,3.5544,3.67,3.5544,3.65,29020
1569940200000,3.66,3.68,3.63,3.65,58580
1569941100000,3.65,3.67,3.59,3.59,55978
1569942000000,3.59,3.62,3.58,3.59,29300
1569942900000,3.59,3.61,3.53,3.53,109592
1569943800000,3.53,3.5322,3.47,3.475,15472
