datetime,open,high,low,close,volume
1569504600000,13.94,14.13,13.94,14.13,20300
1569505500000,14.1,14.11,13.9,13.95,7884
1569506400000,13.94,13.95,13.81,13.82,8103
1569507300000,13.79,13.835,13.68,13.765,15985
1569508200000,13.76,13.78,13.71,13.74,11593
1569509100000,13.73,13.81,13.7,13.72,23577
1569510000000,13.71,13.85,13.66,13.68,28750
1569510900000,13.63,13.64,13.5,13.55,12935
1569511800000,13.58,13.59,13.48,13.48,9142
1569512700000,13.48,13.5,13.415,13.42,10063
1569513600000,13.43,13.5,13.43,13.5,6950
1569514500000,13.49,13.57,13.49,13.54,6071
1569515400000,13.545,13.59,13.52,13.52,9590
1569516300000,13.505,13.505,13.45,13.46,7069
1569517200000,13.455,13.465,13.39,13.42,8855
1569518100000,13.415,13.45,13.37,13.43,6753
1569519000000,13.43,13.46,13.41,13.41,4558
1569519900000,13.435,13.5,13.42,13.48,16405
1569520800000,13.49,13.5,13.42,13.48,7245
1569521700000,13.47,13.515,13.45,13.46,8045
1569522600000,13.47,13.5,13.46,13.46,5796
1569523500000,13.47,13.53,13.46,13.515,5910
1569524400000,13.52,13.57,13.45,13.47,14911
1569525300000,13.47,13.545,13.47,13.5,13990
1569526200000,13.49,13.53,13.48,13.48,14226
1569527100000,13.48,13.49,13.39,13.4,91406
1569591000000,13.51,13.66,13.3,13.58,16082
1569591900000,13.63,13.63,13.53,13.6,8328
1569592800000,13.6,13.66,13.56,13.61,5612
1569593700000,13.61,13.81,13.51,13.76,21443
1569594600000,13.76,13.85,13.745,13.7888,26812
1569595500000,13.8,13.86,13.77,13.85,21534
1569596400000,13.86,13.94,13.85,13.88,13455
1569597300000,13.885,13.97,13.88,13.94,12626
1569598200000,13.93,13.96,13.76,13.89,16411
1569599100000,13.92,14.04,13.905,13.97,18030
1569600000000,13.95,13.96,13.88,13.94,10640
1569600900000,13.92,13.93,13.81,13.84,9211
1569601800000,13.835,13.85,13.77,13.77,6411
1569602700000,13.755,13.755,13.66,13.67,8512
1569603600000,13.655,13.75,13.655,13.73,5907
1569604500000,13.725,13.725,13.68,13.71,6365
1569605400000,13.68,13.7,13.66,13.66,6721
1569606300000,13.655,13.73,13.63,13.72,7238
1569607200000,13.72,13.72,13.65,13.6698,6582
1569608100000,13.69,13.69,13.63,13.67,9300
1569609000000,13.66,13.67,13.61,13.62,5200
1569609900000,13.62,13.64,13.55,13.59,10844
1569610800000,13.6,13.65,13.6,13.62,7586
1569611700000,13.62,13.67,13.62,13.655,8132
1569612600000,13.665,13.68,13.61,13.615,23788
1569613500000,13.615,13.62,13.575,13.61,62939
1569850200000,13.62,13.63,13.47,13.48,10431
1569851100000,13.47,13.48,13.41,13.44,4536
1569852000000,13.42,13.42,13.32,13.42,19167
1569852900000,13.45,13.51,13.42,13.43,11529
1569853800000,13.44,13.61,13.43,13.61,12492
1569854700000,13.6,13.64,13.45,13.45,14522
1569855600000,13.47,13.475,13.35,13.35,9271
1569856500000,13.36,13.38,13.315,13.36,7705
1569857400000,13.36,13.39,13.31,13.32,6000
1569858300000,13.34,13.34,13.26,13.295,6932
1569859200000,13.29,13.329,13.285,13.285,4798
1569860100000,13.285,13.36,13.27,13.35,4200
1569861000000,13.36,13.36,13.32,13.34,4805
1569861900000,13.34,13.35,13.31,13.35,6751
1569862800000,13.35,13.41,13.35,13.41,5301
1569863700000,13.4,13.42,13.38,13.4,6958
1569864600000,13.41,13.52,13.4,13.44,14497
1569865500000,13.44,13.52,13.43,13.47,10626
1569866400000,13.46,13.48,13.44,13.45,5000
1569867300000,13.41,13.43,13.36,13.36,3206
1569868200000,13.37,13.4,13.36,13.38,5408
