datetime,open,high,low,close,volume
1591968600000,3.5,3.53,3.5,3.53,11939
1591969500000,3.52,3.53,3.52,3.53,8026
1591970400000,3.53,3.53,3.52,3.52,700
1591971300000,3.5222,3.5222,3.52,3.52,1534
1591972200000,3.52,3.53,3.52,3.53,12244
1591973100000,3.525,3.53,3.52,3.53,5122
1591974000000,3.52,3.525,3.51,3.515,5072
1591974900000,3.51,3.516,3.51,3.51,6002
1591975800000,3.51,3.53,3.51,3.52,13710
1591976700000,3.52,3.525,3.52,3.525,5996
1591977600000,3.525,3.53,3.52,3.52,5083
1591978500000,3.52,3.527,3.52,3.527,8070
1591979400000,3.52,3.525,3.515,3.515,4143
1591980300000,3.51,3.52,3.51,3.51,3190
1591981200000,3.51,3.52,3.51,3.52,3740
1591982100000,3.51,3.52,3.5,3.5,6680
1591983000000,3.5,3.51,3.5,3.505,8255
1591983900000,3.505,3.51,3.5,3.5,7708
1591984800000,3.5,3.505,3.495,3.5,6151
1591985700000,3.495,3.5,3.49,3.49,7230
1591986600000,3.49,3.5,3.49,3.49,5000
1591987500000,3.49,3.5,3.49,3.49,4944
1591988400000,3.49,3.5,3.49,3.49,12466
1591989300000,3.49,3.495,3.49,3.49,6110
1591990200000,3.49,3.5,3.49,3.49,21911
1591991100000,3.495,3.52,3.495,3.51,44996
