datetime,open,high,low,close,volume
1591968600000,9.32,9.54,9.3,9.38,5122
1591969500000,9.34,9.37,9.12,9.37,10820
1591970400000,9.31,9.31,9.2,9.2,1940
1591971300000,9.2,9.22,9.08,9.16,13374
1591972200000,9.16,9.3,9.115,9.29,7668
1591973100000,9.34,9.5,9.315,9.49,14007
1591974000000,9.46,9.57,9.46,9.5,14447
1591974900000,9.51,9.545,9.5,9.53,11913
1591975800000,9.53,9.53,9.5,9.51,5228
1591976700000,9.52,9.61,9.5,9.61,3780
1591977600000,9.65,9.65,9.56,9.585,3637
1591978500000,9.59,9.64,9.52,9.56,2475
1591979400000,9.51,9.53,9.5,9.51,3905
1591980300000,9.5,9.6,9.5,9.58,2900
1591981200000,9.58,9.58,9.52,9.53,1615
1591982100000,9.52,9.53,9.5,9.51,7969
1591983000000,9.5,9.51,9.5,9.51,894
1591983900000,9.5,9.51,9.5,9.5,5553
1591984800000,9.5,9.56,9.47,9.5,16789
1591985700000,9.505,9.51,9.5,9.5,4089
1591986600000,9.505,9.51,9.5,9.5001,3400
1591987500000,9.5001,9.61,9.5,9.61,13473
1591988400000,9.63,9.67,9.5001,9.51,9074
1591989300000,9.51,9.5198,9.5,9.505,5898
1591990200000,9.51,9.56,9.5,9.52,10471
1591991100000,9.53,9.63,9.515,9.63,18761
