datetime,open,high,low,close,volume
1569504600000,17.58,17.58,17.4,17.47,1945
1569505500000,17.345,17.51,17.2225,17.48,1000
1569506400000,17.5,17.56,17.48,17.51,1620
1569507300000,17.48,17.48,17.34,17.345,3900
1569508200000,17.38,17.38,17.34,17.345,800
1569509100000,17.33,17.34,17.26,17.26,3254
1569510000000,17.24,17.24,17.14,17.2,3000
1569510900000,17.16,17.16,17.05,17.06,1589
1569511800000,17.05,17.05,16.93,16.96,7908
1569512700000,16.97,16.98,16.89,16.93,4791
1569513600000,16.91,16.92,16.82,16.835,10821
1569514500000,16.835,16.95,16.78,16.93,5900
1569515400000,16.95,17.0,16.95,16.96,4400
1569516300000,16.97,17.01,16.93,17.01,1600
1569517200000,16.96,17.06,16.96,16.98,4690
1569518100000,16.98,17.02,16.97,16.97,1500
1569519000000,16.97,17.07,16.97,17.07,2000
1569519900000,17.07,17.16,17.03,17.145,16088
1569520800000,17.16,17.175,17.09,17.14,4300
1569521700000,17.1202,17.18,17.1,17.17,3250
1569522600000,17.17,17.17,17.14,17.145,3203
1569523500000,17.15,17.16,17.095,17.11,5778
1569524400000,17.09,17.11,17.01,17.01,2300
1569525300000,17.03,17.07,17.005,17.07,2200
1569526200000,17.075,17.09,17.03,17.04,2600
1569527100000,17.03,17.04,16.73,16.76,35737
1569591000000,16.86,17.02,16.74,16.91,3778
1569591900000,16.885,16.885,16.69,16.745,1100
1569592800000,16.8,16.81,16.78,16.81,1000
1569593700000,16.81,16.98,16.79,16.965,3482
1569594600000,16.99,17.06,16.94,16.94,5904
1569595500000,16.97,16.99,16.93,16.99,800
1569596400000,16.99,17.04,16.99,17.0,3000
1569597300000,17.0,17.01,16.95,16.97,3963
1569598200000,17.02,17.02,16.805,16.95,3100
1569599100000,16.945,16.96,16.84,16.92,2100
1569600000000,16.87,16.87,16.83,16.87,500
1569600900000,16.88,16.89,16.83,16.855,1700
1569601800000,16.83,16.87,16.76,16.76,2218
1569602700000,16.78,16.78,16.64,16.65,1700
1569603600000,16.66,16.78,16.66,16.78,1200
1569604500000,16.785,16.785,16.7,16.7,2201
1569605400000,16.7,16.7,16.645,16.69,2190
1569606300000,16.68,16.76,16.62,16.76,1600
1569607200000,16.77,16.77,16.7,16.71,2600
1569608100000,16.71,16.73,16.68,16.68,2400
1569609000000,16.69,16.73,16.67,16.7,4176
1569609900000,16.7,16.7,16.6147,16.63,2070
1569610800000,16.63,16.68,16.59,16.59,4324
1569611700000,16.585,16.64,16.585,16.6,3102
1569612600000,16.6,16.625,16.59,16.615,7098
1569613500000,16.615,16.615,16.53,16.565,18843
1569850200000,16.58,16.63,16.45,16.63,6349
1569851100000,16.68,16.79,16.6101,16.66,4583
1569852000000,16.63,16.63,16.45,16.59,12155
1569852900000,16.57,16.63,16.485,16.61,5920
1569853800000,16.61,16.675,16.6,16.63,10227
1569854700000,16.6,16.63,16.55,16.59,2700
1569855600000,16.59,16.68,16.59,16.64,7017
1569856500000,16.63,16.775,16.61,16.775,6472
1569857400000,16.75,16.8,16.74,16.775,8256
1569858300000,16.76,16.77,16.62,16.66,15762
1569859200000,16.69,16.69,16.605,16.68,23465
1569860100000,16.68,16.795,16.68,16.795,2700
1569861000000,16.815,16.84,16.81,16.84,4087
1569861900000,16.84,16.855,16.82,16.845,2425
1569862800000,16.855,16.965,16.84,16.965,2300
1569863700000,16.95,16.975,16.9,16.975,3800
1569864600000,16.96,17.04,16.96,17.01,2200
1569865500000,17.02,17.05,17.01,17.05,2400
1569866400000,17.04,17.12,17.03,17.085,3291
1569867300000,17.07,17.085,17.04,17.085,3600
1569868200000,17.07,17.1,17.01,17.01,3348
1569869100000,17.01,17.01,16.96,17.0,3100
1569870000000,17.015,17.02,16.98,17.01,4599
1569870900000,17.02,17.075,17.02,17.04,6404
1569871800000,17.03,17.04,17.0,17.03,10098
1569872700000,17.03,17.06,16.99,17.02,33105
1569936600000,17.12,17.12,17.12,17.12,1552
1569937500000,17.38,17.625,17.195,17.47,5400
1569938400000,17.545,17.545,17.155,17.155,4800
1569939300000,17.21,17.27,17.15,17.15,2000
1569940200000,17.12,17.16,17.06,17.11,3704
1569941100000,17.115,17.17,17.05,17.145,8300
1569942000000,17.1597,17.23,17.14,17.19,2875
1569942900000,17.175,17.19,17.11,17.11,3900
1569943800000,17.08,17.1,17.05,17.05,1200
1569944700000,17.03,17.03,16.96,16.995,1204
1569945600000,16.99,17.0,16.89,16.89,1300
1569946500000,16.93,16.93,16.88,16.9,3098
1569947400000,16.9,16.93,16.9,16.91,2600
1569948300000,16.9,16.9,16.85,16.85,1900
1569949200000,16.86,16.87,16.79,16.805,4300
1569950100000,16.8,16.8,16.71,16.72,4414
1569951000000,16.73,16.73,16.635,16.65,6489
1569951900000,16.65,16.675,16.61,16.62,3490
1569952800000,16.61,16.82,16.58,16.82,36107
1569953700000,16.82,16.83,16.74,16.77,3351
1569954600000,16.79,16.83,16.77,16.785,4332
1569955500000,16.785,16.79,16.74,16.79,3647
1569956400000,16.79,16.8,16.73,16.74,10105
1569957300000,16.74,16.78,16.73,16.73,5723
1569958200000,16.71,16.73,16.63,16.645,4691
1569959100000,16.66,16.67,16.61,16.63,11075
1570023000000,16.43,16.43,16.26,16.3,3524
1570023900000,16.31,16.415,16.19,16.19,2625
1570024800000,16.21,16.39,16.16,16.37,4025
1570025700000,16.355,16.36,16.09,16.18,28814
1570026600000,16.15,16.15,15.915,15.96,5377
1570027500000,15.92,15.94,15.78,15.88,7237
1570028400000,15.9054,16.26,15.9054,16.175,24611
1570029300000,16.16,16.36,16.16,16.36,4814
1570030200000,16.41,16.42,16.235,16.235,3914
1570031100000,16.2,16.2,16.1,16.135,4762
1570032000000,16.14,16.17,16.07,16.08,6249
1570032900000,16.09,16.09,16.03,16.09,2929
1570033800000,16.125,16.125,16.065,16.09,1800
1570034700000,16.05,16.095,16.03,16.06,3290
1570035600000,16.05,16.13,16.05,16.09,2800
1570036500000,16.1,16.18,16.1,16.165,3000
1570037400000,16.165,16.19,16.12,16.12,2800
1570038300000,16.105,16.12,16.08,16.11,2916
1570039200000,16.07,16.11,16.05,16.09,3739
1570040100000,16.09,16.17,16.09,16.125,4100
1570041000000,16.11,16.26,16.11,16.26,9723
1570041900000,16.26,16.29,16.23,16.29,3517
1570042800000,16.2703,16.35,16.27,16.3,6269
1570043700000,16.3,16.37,16.29,16.33,14300
1570044600000,16.33,16.36,16.29,16.34,11505
1570045500000,16.35,16.49,16.35,16.45,50352
1570109400000,16.38,16.455,16.16,16.19,5350
1570110300000,16.265,16.34,16.2,16.21,1700
1570111200000,16.2,16.23,15.88,16.01,4200
1570112100000,16.065,16.45,16.065,16.45,7201
1570113000000,16.475,16.52,16.415,16.445,6782
1570113900000,16.44,16.63,16.43,16.61,5068
1570114800000,16.64,16.8,16.64,16.755,7332
1570115700000,16.78,16.88,16.74,16.75,5700
1570116600000,16.75,16.8,16.7,16.8,7165
1570117500000,16.78,16.87,16.775,16.87,4112
1570118400000,16.87,16.94,16.85,16.915,2504
1570119300000,16.93,17.08,16.925,17.07,9593
1570120200000,17.08,17.12,17.03,17.04,4222
1570121100000,17.035,17.05,16.955,16.975,5301
1570122000000,16.975,16.975,16.87,16.89,2300
1570122900000,16.9,17.065,16.9,17.04,6284
1570123800000,17.06,17.065,16.965,16.985,3254
1570124700000,16.985,17.08,16.985,17.07,4003
1570125600000,17.08,17.1,17.055,17.085,6056
1570126500000,17.085,17.13,17.08,17.1,4274
1570127400000,17.1,17.15,17.07,17.07,6884
1570128300000,17.11,17.11,16.985,17.0,5520
1570129200000,16.995,16.995,16.88,16.94,7024
1570130100000,16.93,16.995,16.89,16.975,9969
1570131000000,16.98,16.98,16.91,16.955,7912
1570131900000,16.97,17.04,16.93,17.04,18317
