datetime,open,high,low,close,volume
1569504600000,35.3,35.455,35.17,35.18,4063
1569505500000,34.9,35.46,34.9,35.26,10040
1569506400000,35.6,35.6,35.405,35.445,330
1569507300000,35.27,35.27,35.02,35.2,2015
1569508200000,34.93,34.98,34.9,34.92,1600
1569509100000,34.94,35.035,34.88,34.955,2073
1569510000000,34.9,34.9,34.555,34.59,3182
1569510900000,34.55,34.55,34.25,34.49,3332
1569511800000,34.33,34.33,34.25,34.26,2419
1569512700000,34.31,34.33,34.25,34.31,5629
1569513600000,34.32,34.525,34.27,34.295,13734
1569514500000,34.31,34.48,34.29,34.48,2022
1569515400000,34.49,34.59,34.47,34.47,1700
1569516300000,34.43,34.46,34.3,34.31,2433
1569517200000,34.28,34.33,34.25,34.32,3218
1569518100000,34.26,34.45,34.2,34.45,6929
1569519000000,34.5,34.67,34.45,34.58,2356
1569519900000,34.62,34.72,34.6,34.69,8018
1569520800000,34.75,34.75,34.62,34.67,2800
1569521700000,34.66,34.705,34.575,34.61,3218
1569522600000,34.62,34.63,34.52,34.52,1500
1569523500000,34.52,34.575,34.38,34.48,6498
1569524400000,34.52,34.63,34.465,34.52,4387
1569525300000,34.49,34.57,34.45,34.47,4804
1569526200000,34.51,34.54,34.29,34.33,8087
1569527100000,34.315,34.33,34.24,34.3,28459
1569591000000,34.5,34.59,34.21,34.53,10612
1569591900000,34.65,34.65,34.15,34.48,4111
1569592800000,34.58,34.72,34.57,34.67,1202
1569593700000,34.57,34.85,34.21,34.85,4210
1569594600000,34.95,35.2,34.855,35.09,4495
1569595500000,35.16,35.21,35.0,35.045,5506
1569596400000,35.08,35.25,34.97,34.97,1600
1569597300000,35.07,35.34,35.07,35.34,3100
1569598200000,35.32,35.37,34.935,35.365,5058
1569599100000,35.22,35.22,35.03,35.1,2800
1569600000000,35.035,35.05,34.89,35.02,5332
1569600900000,34.86,35.0,34.85,34.96,2017
1569601800000,34.88,34.91,34.59,34.59,1367
1569602700000,34.59,34.63,34.41,34.44,3910
1569603600000,34.38,34.63,34.355,34.63,2400
1569604500000,34.5201,34.59,34.4,34.4,3317
1569605400000,34.39,34.505,34.29,34.31,6397
1569606300000,34.26,34.54,34.2,34.51,7000
1569607200000,34.47,34.47,34.1,34.19,82276
1569608100000,34.12,34.13,33.9,33.91,13830
1569609000000,33.91,33.97,33.9,33.935,3854
1569609900000,33.9,33.95,33.8,33.86,7480
1569610800000,33.88,34.11,33.86,34.04,5624
1569611700000,34.05,34.23,34.04,34.04,5300
1569612600000,34.06,34.13,34.04,34.085,5900
1569613500000,34.08,34.27,34.08,34.225,21870
1569850200000,34.08,34.41,33.81,33.81,25546
1569851100000,33.84,33.92,33.68,33.755,17575
