datetime,open,high,low,close,volume
1569504600000,7.36,7.36,7.27,7.29,17757
1569505500000,7.288,7.3,7.24,7.25,7500
1569506400000,7.26,7.27,7.21,7.215,10832
1569507300000,7.2058,7.21,7.195,7.21,6200
1569508200000,7.215,7.22,7.18,7.18,2900
1569509100000,7.1884,7.2,7.17,7.19,7540
1569510000000,7.19,7.195,7.17,7.185,13282
1569510900000,7.185,7.21,7.15,7.17,18233
1569511800000,7.175,7.175,7.16,7.16,4110
1569512700000,7.16,7.25,7.16,7.25,17971
1569513600000,7.26,7.265,7.24,7.255,7740
1569514500000,7.26,7.307,7.26,7.29,28310
1569515400000,7.2819,7.29,7.24,7.255,14698
1569516300000,7.25,7.265,7.23,7.265,11735
1569517200000,7.265,7.27,7.245,7.255,4200
1569518100000,7.255,7.255,7.23,7.245,3509
1569519000000,7.24,7.25,7.2215,7.225,5837
1569519900000,7.23,7.23,7.22,7.23,3306
1569520800000,7.24,7.26,7.235,7.2553,10104
1569521700000,7.255,7.295,7.255,7.295,18476
1569522600000,7.295,7.35,7.295,7.35,35242
1569523500000,7.35,7.405,7.34,7.34,42039
1569524400000,7.35,7.42,7.345,7.41,39653
1569525300000,7.405,7.445,7.4,7.44,14421
1569526200000,7.44,7.445,7.42,7.425,17852
1569527100000,7.425,7.46,7.42,7.44,69749
1569591000000,7.41,7.46,7.37,7.38,9437
1569591900000,7.39,7.39,7.25,7.33,57498
1569592800000,7.33,7.39,7.3,7.37,35296
1569593700000,7.37,7.3912,7.36,7.39,3125
1569594600000,7.39,7.39,7.37,7.39,3237
1569595500000,7.4,7.4,7.37,7.38,2500
1569596400000,7.385,7.4,7.38,7.39,5068
1569597300000,7.39,7.39,7.37,7.375,2022
1569598200000,7.37,7.38,7.29,7.3,3419
1569599100000,7.3,7.34,7.29,7.31,7382
1569600000000,7.31,7.32,7.27,7.32,4300
1569600900000,7.3265,7.3265,7.3,7.3,3350
1569601800000,7.28,7.28,7.24,7.26,2170
1569602700000,7.24,7.24,7.2,7.2,5814
1569603600000,7.19,7.32,7.19,7.32,15022
1569604500000,7.32,7.32,7.26,7.285,7191
1569605400000,7.285,7.3,7.26,7.27,8420
1569606300000,7.26,7.29,7.26,7.29,5004
1569607200000,7.28,7.29,7.24,7.24,4819
1569608100000,7.23,7.24,7.2,7.2,6973
1569609000000,7.2,7.21,7.19,7.19,5028
1569609900000,7.19,7.19,7.15,7.155,54773
1569610800000,7.16,7.1825,7.15,7.175,25460
1569611700000,7.17,7.1825,7.16,7.175,30630
1569612600000,7.175,7.19,7.16,7.17,28450
1569613500000,7.17,7.18,7.145,7.17,133178
1569850200000,7.23,7.28,7.0,7.075,80170
1569851100000,7.07,7.1,6.96,7.07,93728
1569852000000,7.06,7.075,7.04,7.07,47664
1569852900000,7.07,7.075,7.01,7.045,14916
1569853800000,7.05,7.065,7.03,7.055,22093
1569854700000,7.06,7.085,7.055,7.07,55754
1569855600000,7.07,7.075,7.02,7.02,8600
1569856500000,7.03,7.04,6.99,7.0,20155
1569857400000,7.0,7.005,6.95,6.965,48061
1569858300000,6.96,6.965,6.91,6.9155,52317
1569859200000,6.93,7.0,6.915,6.99,20813
1569860100000,6.98,7.0,6.975,6.985,10520
1569861000000,6.985,6.99,6.96,6.985,8768
1569861900000,6.9863,6.99,6.96,6.96,10772
1569862800000,6.96,6.97,6.95,6.96,4987
1569863700000,6.97,6.98,6.95,6.95,11577
1569864600000,6.95,6.96,6.945,6.955,11688
1569865500000,6.96,6.9757,6.96,6.975,10526
1569866400000,6.97,7.05,6.97,7.05,17108
1569867300000,7.05,7.05,7.04,7.045,2699
1569868200000,7.05,7.06,7.045,7.05,5509
1569869100000,7.055,7.06,7.045,7.055,8639
1569870000000,7.055,7.235,7.05,7.21,160861
1569870900000,7.215,7.25,7.21,7.25,36399
1569871800000,7.2475,7.25,7.21,7.23,18682
1569872700000,7.23,7.26,7.2,7.24,139959
1569936600000,7.3,7.39,7.29,7.36,20471
1569937500000,7.36,7.38,7.3354,7.34,3725
1569938400000,7.36,7.36,7.3,7.32,9236
1569939300000,7.33,7.365,7.32,7.3304,14523
1569940200000,7.32,7.3354,7.3,7.31,8936
1569941100000,7.32,7.328,7.29,7.3,15889
1569942000000,7.29,7.29,7.255,7.255,9626
1569942900000,7.255,7.28,7.23,7.23,9712
1569943800000,7.23,7.24,7.14,7.17,16410
1569944700000,7.175,7.175,7.157,7.16,8550
1569945600000,7.165,7.165,7.12,7.12,4313
1569946500000,7.115,7.1368,7.11,7.11,4400
1569947400000,7.11,7.115,7.1,7.1002,7755
1569948300000,7.1,7.11,7.08,7.1,8300
1569949200000,7.1,7.1,7.055,7.055,8329
1569950100000,7.0577,7.065,7.03,7.04,10084
1569951000000,7.045,7.045,7.02,7.0338,9702
1569951900000,7.03,7.06,7.02,7.03,6900
1569952800000,7.025,7.03,7.0,7.025,7996
1569953700000,7.02,7.03,7.02,7.03,4673
1569954600000,7.03,7.06,7.03,7.035,5782
1569955500000,7.04,7.0572,7.04,7.05,4830
1569956400000,7.055,7.1,7.03,7.095,31597
1569957300000,7.095,7.11,7.085,7.095,16053
1569958200000,7.095,7.11,7.07,7.11,24180
1569959100000,7.11,7.16,7.1,7.14,64828
1570023000000,7.07,7.1202,7.03,7.04,31384
1570023900000,7.03,7.04,6.935,6.94,29048
1570024800000,6.935,7.08,6.92,7.07,21613
1570025700000,7.065,7.08,7.01,7.011,7038
1570026600000,7.01,7.02,6.98,7.005,6408
1570027500000,7.0,7.02,6.97,7.02,4370
1570028400000,7.02,7.03,6.98,6.9828,4845
1570029300000,6.99,7.005,6.98,6.98,6272
1570030200000,6.97,6.98,6.96,6.97,4534
1570031100000,6.96,6.97,6.95,6.97,1880
1570032000000,6.96,6.97,6.92,6.94,8951
1570032900000,6.935,6.935,6.91,6.915,1691
1570033800000,6.915,6.915,6.86,6.865,37756
1570034700000,6.86,6.87,6.83,6.86,8620
1570035600000,6.86,6.8924,6.85,6.883,12045
1570036500000,6.885,6.885,6.82,6.83,37194
1570037400000,6.82,6.828,6.8,6.81,15597
1570038300000,6.81,6.84,6.81,6.82,7755
1570039200000,6.82,6.87,6.81,6.87,16373
1570040100000,6.87,6.88,6.86,6.87,7100
1570041000000,6.86,6.87,6.8597,6.86,6592
1570041900000,6.865,6.91,6.86,6.89,12388
1570042800000,6.89,6.89,6.85,6.873,23094
1570043700000,6.87,6.88,6.86,6.87,8299
1570044600000,6.87,6.875,6.86,6.865,12116
1570045500000,6.86,6.88,6.85,6.87,34929
1570109400000,6.83,6.8724,6.7702,6.7834,14543
1570110300000,6.79,6.825,6.77,6.7845,12115
1570111200000,6.77,6.77,6.67,6.72,31785
1570112100000,6.73,6.83,6.71,6.82,32744
1570113000000,6.81,6.82,6.75,6.755,48899
1570113900000,6.755,6.83,6.75,6.8001,24707
1570114800000,6.805,6.89,6.805,6.87,7255
