datetime,open,high,low,close,volume
1591968600000,24.25,24.47,23.08,23.41,183410
1591969500000,23.42,23.97,23.03,23.81,121204
1591970400000,23.73,23.86,23.27,23.31,107154
1591971300000,23.33,23.34,22.64,22.7,100104
1591972200000,22.7,22.9,22.57,22.67,121035
1591973100000,22.67,22.71,21.2,21.36,211086
1591974000000,21.35,21.96,21.2,21.29,185534
1591974900000,21.28,21.51,21.06,21.166,97982
1591975800000,21.1,21.49,21.01,21.4,56917
1591976700000,21.4,21.69,21.3,21.66,33584
1591977600000,21.6943,21.6999,21.27,21.275,48020
1591978500000,21.2912,21.63,21.21,21.28,44411
1591979400000,21.25,21.63,21.23,21.6,42945
1591980300000,21.53,21.78,21.42,21.64,24317
1591981200000,21.69,21.72,21.14,21.2,124523
1591982100000,21.21,21.21,20.76,21.0,54159
1591983000000,20.96,21.14,20.938,21.09,35694
1591983900000,21.08,21.135,20.83,20.8504,31901
1591984800000,20.84,21.09,20.81,21.01,31898
1591985700000,21.05,21.35,20.925,21.35,31494
1591986600000,21.33,21.49,21.29,21.39,29856
1591987500000,21.4,21.83,21.4,21.6561,38156
1591988400000,21.71,21.92,21.68,21.75,26130
1591989300000,21.745,22.0,21.58,22.0,52019
1591990200000,21.98,22.3,21.94,22.14,64912
1591991100000,22.17,22.36,22.09,22.21,147511
