symbol,putCall,description,exchangeName,bid,ask,last,mark,bidSize,askSize,bidAskSize,lastSize,highPrice,lowPrice,openPrice,closePrice,totalVolume,tradeDate,tradeTimeInLong,quoteTimeInLong,netChange,volatility,delta,gamma,theta,vega,rho,openInterest,timeValue,theoreticalOptionValue,theoreticalVolatility,optionDeliverablesList,strikePrice,expirationDate,daysToExpiration,expirationType,lastTradingDay,multiplier,settlementType,deliverableNote,isIndexOption,percentChange,markChange,markPercentChange,inTheMoney,mini,nonStandard
SPY_072920P317,PUT,SPY Jul 29 2020 317 Put (Weekly),OPR,0.37,0.38,0.38,0.38,25,100,25X100,0,0.73,0.15,0.0,0.31,24469,,1595967297100,1595967299835,0.06,18.694,-0.159,0.055,-0.272,0.058,-0.003,7277,0.38,0.375,29.0,,317.0,1596052800000,1,S,1596067200000,100.0, ,,,20.63,0.06,19.05,False,False,False
SPY_072920P318,PUT,SPY Jul 29 2020 318 Put (Weekly),OPR,0.52,0.53,0.51,0.53,25,25,25X25,0,0.88,0.22,0.0,0.43,28981,,1595967289170,1595967299835,0.09,18.079,-0.213,0.068,-0.316,0.069,-0.004,11685,0.51,0.525,29.0,,318.0,1596052800000,1,S,1596067200000,100.0, ,,,20.0,0.1,23.53,False,False,False
SPY_072920P319,PUT,SPY Jul 29 2020 319 Put (Weekly),OPR,0.72,0.73,0.72,0.73,85,10,85X10,0,1.01,0.31,0.0,0.56,26692,,1595967293223,1595967299667,0.16,17.412,-0.281,0.081,-0.353,0.08,-0.005,5402,0.72,0.725,29.0,,319.0,1596052800000,1,S,1596067200000,100.0, ,,,27.43,0.16,28.32,False,False,False
SPY_072920P320,PUT,SPY Jul 29 2020 320 Put (Weekly),OPR,0.99,1.0,1.0,1.0,248,2,248X2,0,1.33,0.44,0.0,0.75,79748,,1595967297168,1595967299946,0.25,16.763,-0.363,0.094,-0.379,0.089,-0.006,11445,1.0,0.995,29.0,,320.0,1596052800000,1,S,1596067200000,100.0, ,,,34.23,0.25,33.56,False,False,False
SPY_072920P321,PUT,SPY Jul 29 2020 321 Put (Weekly),OPR,1.36,1.38,1.3,1.37,50,50,50X50,0,1.71,0.61,0.0,0.98,72132,,1595967271762,1595967299667,0.32,16.328,-0.46,0.102,-0.392,0.094,-0.008,6160,1.3,1.37,29.0,,321.0,1596052800000,1,S,1596067200000,100.0, ,,,32.65,0.39,39.8,False,False,False
SPY_072920P322,PUT,SPY Jul 29 2020 322 Put (Weekly),OPR,1.82,1.85,1.83,1.84,57,25,57X25,0,2.18,0.86,0.0,1.28,107161,,1595967286996,1595967299876,0.55,15.787,-0.564,0.105,-0.378,0.094,-0.01,7430,1.0,1.835,29.0,,322.0,1596052800000,1,S,1596067200000,100.0, ,,,42.97,0.56,43.36,True,False,False
SPY_072920P323,PUT,SPY Jul 29 2020 323 Put (Weekly),OPR,2.39,2.44,2.42,2.42,25,25,25X25,0,2.77,1.18,0.0,1.67,68690,,1595967287040,1595967299798,0.75,15.325,-0.67,0.099,-0.34,0.086,-0.012,3618,0.59,2.415,29.0,,323.0,1596052800000,1,S,1596067200000,100.0, ,,,44.91,0.75,44.61,True,False,False
SPY_072920P324,PUT,SPY Jul 29 2020 324 Put (Weekly),OPR,3.08,3.15,2.95,3.12,25,95,25X95,0,3.5,1.62,0.0,2.14,19641,,1595967203277,1595967299880,0.81,15.036,-0.766,0.086,-0.285,0.073,-0.014,3012,0.12,3.115,29.0,,324.0,1596052800000,1,S,1596067200000,100.0, ,,,37.84,0.97,45.55,True,False,False
SPY_072920P325,PUT,SPY Jul 29 2020 325 Put (Weekly),OPR,3.81,4.06,3.69,3.93,200,200,200X200,0,4.3,2.17,0.0,2.71,13657,,1595967253846,1595967299932,0.98,15.229,-0.839,0.067,-0.233,0.058,-0.015,1573,-0.14,3.935,29.0,,325.0,1596052800000,1,S,1596067200000,100.0, ,,,36.14,1.22,45.18,True,False,False
SPY_072920P326,PUT,SPY Jul 29 2020 326 Put (Weekly),OPR,4.68,4.92,4.7,4.8,200,200,200X200,0,5.14,2.87,0.0,3.38,2597,,1595967273380,1595967299981,1.32,15.068,-0.899,0.049,-0.171,0.042,-0.016,1102,-0.13,4.8,29.0,,326.0,1596052800000,1,S,1596067200000,100.0, ,,,39.23,1.42,42.19,True,False,False
SPY_073120P317,PUT,SPY Jul 31 2020 317 Put (Weekly),OPR,1.28,1.3,1.29,1.29,5,1186,5X1186,0,1.45,0.75,0.0,1.01,8194,,1595967284022,1595967299950,0.28,22.284,-0.276,0.045,-0.317,0.112,-0.01,7132,1.29,1.29,29.0,,317.0,1596225600000,3,S,1596240000000,100.0, ,,,27.72,0.28,27.72,False,False,False
SPY_073120P318,PUT,SPY Jul 31 2020 318 Put (Weekly),OPR,1.51,1.54,1.55,1.53,65,96,65X96,0,1.72,0.89,0.0,1.19,7062,,1595967285936,1595967299931,0.36,21.684,-0.318,0.049,-0.33,0.12,-0.011,5613,1.55,1.525,29.0,,318.0,1596225600000,3,S,1596240000000,100.0, ,,,30.25,0.33,28.15,False,False,False
SPY_073120P319,PUT,SPY Jul 31 2020 319 Put (Weekly),OPR,1.8,1.83,1.81,1.82,60,208,60X208,0,2.03,1.1,0.0,1.4,10510,,1595967280390,1595967299956,0.41,21.194,-0.367,0.053,-0.341,0.127,-0.013,4341,1.81,1.815,29.0,,319.0,1596225600000,3,S,1596240000000,100.0, ,,,29.29,0.42,29.64,False,False,False
SPY_073120P320,PUT,SPY Jul 31 2020 320 Put (Weekly),OPR,2.13,2.15,2.09,2.14,50,5,50X5,0,2.36,1.3,0.0,1.64,40453,,1595967273430,1595967299667,0.44,20.607,-0.419,0.056,-0.345,0.131,-0.015,31170,2.09,2.14,29.0,,320.0,1596225600000,3,S,1596240000000,100.0, ,,,27.05,0.5,30.09,False,False,False
SPY_073120P321,PUT,SPY Jul 31 2020 321 Put (Weekly),OPR,2.51,2.54,2.4,2.53,78,13,78X13,0,2.75,1.58,0.0,1.93,14204,,1595967252532,1595967299959,0.47,20.077,-0.476,0.059,-0.343,0.134,-0.017,7186,2.4,2.525,29.0,,321.0,1596225600000,3,S,1596240000000,100.0, ,,,24.35,0.6,30.83,False,False,False
SPY_073120P322,PUT,SPY Jul 31 2020 322 Put (Weekly),OPR,2.95,2.99,2.91,2.97,50,100,50X100,0,3.27,1.87,0.0,2.26,33151,,1595967273368,1595967299931,0.65,19.564,-0.536,0.06,-0.335,0.134,-0.019,16356,2.08,2.97,29.0,,322.0,1596225600000,3,S,1596240000000,100.0, ,,,28.76,0.71,31.42,True,False,False
SPY_073120P323,PUT,SPY Jul 31 2020 323 Put (Weekly),OPR,3.45,3.49,3.45,3.47,57,25,57X25,0,3.76,2.22,0.0,2.64,19708,,1595967294044,1595967299846,0.81,18.997,-0.598,0.061,-0.318,0.13,-0.021,3945,1.62,3.47,29.0,,323.0,1596225600000,3,S,1596240000000,100.0, ,,,30.68,0.83,31.44,True,False,False
